Application Status,Admission Test,Admission Test 2,Terminal Degree,Document Verified,Offered
Application Fee Received,60,0,928,0,No
Admission Fee Challan Received,79,79,969,1,Yes
Application Fee Received,62,0,913,0,No
Challan Printed,53,0,974,0,No
Application Received,58,58,877,0,No
Application Fee Received,47,0,606,0,No
Application Fee Received,58,0,908,0,No
Application Fee Received,52,0,905,0,No
Application Fee Received,51,0,721,0,No
Application Fee Received,82,82,901,0,No
Application Fee Received,56,0,903,0,No
Application Fee Received,52,0,888,0,No
Application Fee Received,58,0,962,0,No
Application Fee Received,57,57,934,0,No
Application Fee Received,50,0,826,0,No
Application Fee Received,48,0,754,0,No
Application Fee Received,54,54,882,0,No
Challan Printed,58,0,809,0,No
Application Fee Received,61,0,874,0,No
Application Fee Received,60,0,883,0,No
Application Fee Received,62,62,911,0,No
Application Fee Received,47,0,759,0,No
Admission Fee Challan Received,77,0,972,1,Yes
Application Fee Received,53,0,774,0,No
Application Fee Received,54,0,867,0,No
Application Fee Received,56,0,777,0,No
Application Fee Received,67,0,574,0,No
Application Fee Received,47,0,879,0,No
Application Fee Received,51,0,821,0,No
Application Fee Received,68,68,963,1,No
Application Fee Received,63,0,916,0,No
Application Fee Received,59,0,937,0,No
Application Fee Received,52,0,810,0,No
Application Fee Received,63,63,904,0,No
Application Fee Received,59,0,807,0,No
Application Fee Received,64,0,942,0,No
Admission Fee Challan Received,83,83,992,1,Yes
Application Fee Received,61,0,834,0,No
Application Fee Received,58,0,869,0,No
Application Fee Received,53,0,789,0,No
Application Fee Received,69,0,960,0,No
Application Fee Received,72,0,975,1,Yes
Application Fee Received,44,0,927,0,No
Application Fee Received,51,0,864,0,No
Application Fee Received,41,41,820,0,No
Application Fee Received,50,0,874,0,No
Application Fee Received,65,0,865,0,No
Application Fee Received,53,53,896,0,No
Challan Printed,51,0,711,0,No
Application Fee Received,53,0,897,0,No
Application Fee Received,57,0,822,0,No
Admission Fee Challan Received,69,69,950,1,Yes
Application Fee Received,64,64,932,0,No
Application Fee Received,50,0,833,0,No
Application Fee Received,53,0,688,0,No
Challan Printed,66,66,838,0,No
Application Fee Received,51,0,775,0,No
Application Fee Received,47,0,769,0,No
Challan Printed,53,0,727,0,No
Application Fee Received,59,0,746,0,No
Application Fee Received,39,0,841,0,No
Challan Printed,67,0,739,0,No
Application Fee Received,57,0,897,0,No
Application Fee Received,58,0,959,1,No
Application Fee Received,83,83,919,0,No
Application Fee Received,51,0,876,0,No
Application Fee Received,51,0,801,0,No
Application Fee Received,53,0,899,0,No
Application Fee Received,74,74,963,0,No
Application Fee Received,62,0,961,1,No
Application Fee Received,61,0,887,0,No
Admission Fee Challan Received,76,0,967,1,Yes
Application Fee Received,41,0,779,0,No
Application Fee Received,73,0,965,0,No
Application Fee Received,72,72,1001,0,No
Application Fee Received,50,38,930,0,No
Application Fee Received,62,0,959,0,No
Application Fee Received,45,45,869,0,No
Application Fee Received,60,0,727,0,No
Application Fee Received,58,53,868,0,No
Challan Printed,66,0,903,0,No
Application Fee Received,54,0,835,0,No
Application Fee Received,48,0,940,0,No
Challan Printed,58,0,926,0,No
Application Fee Received,58,0,901,0,No
Admission Fee Challan Received,63,0,980,1,Yes
Application Fee Received,48,0,751,0,No
Application Fee Received,59,0,854,0,No
Application Fee Received,70,70,952,0,No
Application Received,55,55,958,0,No
Application Fee Received,71,0,933,0,No
Application Fee Received,73,73,950,1,No
Challan Printed,52,0,851,0,No
Application Fee Received,58,0,942,0,No
Challan Printed,52,0,783,0,No
Application Fee Received,68,0,939,0,No
Application Fee Received,64,0,916,0,No
Application Fee Received,50,0,862,0,No
Application Fee Received,72,72,951,1,No
Application Fee Received,74,0,894,0,No
Application Fee Received,42,0,690,0,No
Application Fee Received,88,88,969,0,No
Application Fee Received,53,0,855,0,No
Application Fee Received,88,88,942,1,No
Application Fee Received,43,0,863,0,No
Application Fee Received,60,0,946,0,No
Application Fee Received,75,75,968,1,Yes
Application Fee Received,67,67,919,0,No
Application Fee Received,67,0,825,0,No
Application Fee Received,40,0,557,0,No
Application Fee Received,50,0,686,0,No
Application Fee Received,48,0,836,0,No
Application Fee Received,89,89,953,1,Yes
Application Fee Received,60,0,860,0,No
Application Fee Received,69,0,972,1,Yes
Application Fee Received,68,0,825,0,No
Challan Printed,86,86,970,0,No
Application Fee Received,55,0,802,0,No
Application Fee Received,57,0,964,0,No
Admission Fee Challan Received,88,88,948,1,Yes
Application Fee Received,62,0,742,0,No
Application Fee Received,74,74,947,1,No
Application Received,0,0,827,0,No
Application Fee Received,46,0,571,0,No
Application Fee Received,64,0,949,0,No
Application Fee Received,46,0,811,0,No
Admission Fee Challan Received,79,79,993,1,Yes
Application Fee Received,54,0,903,0,No
Challan Printed,61,0,666,0,No
Application Fee Received,67,67,954,1,No
Application Fee Received,41,0,717,0,No
Application Fee Received,78,78,916,0,No
Application Fee Received,51,0,819,0,No
Application Fee Received,44,44,853,0,No
Application Fee Received,48,0,968,0,No
Application Fee Received,54,54,804,0,No
Application Fee Received,40,0,705,0,No
Application Fee Received,64,0,885,0,No
Application Fee Received,55,0,924,0,No
Application Fee Received,69,69,877,0,No
Application Received,50,0,571,0,No
Application Fee Received,58,0,871,0,No
Application Fee Received,53,0,801,0,No
Application Fee Received,64,0,955,1,No
Challan Printed,53,0,919,0,No
Application Fee Received,54,0,913,0,No
Application Fee Received,71,0,740,0,No
Application Fee Received,68,53,833,0,No
Application Fee Received,52,0,739,0,No
Application Received,43,0,802,0,No
Application Fee Received,56,0,855,0,No
Application Received,0,0,524,0,No
Application Fee Received,57,0,899,0,No
Application Fee Received,62,0,948,0,No
Application Fee Received,73,66,918,0,No
Challan Printed,64,64,955,0,No
Application Fee Received,56,0,874,0,No
Application Fee Received,78,78,966,0,No
Application Fee Received,52,0,596,0,No
Application Fee Received,59,59,921,0,No
Application Fee Received,59,0,724,0,No
Application Fee Received,62,0,771,0,No
Application Fee Received,60,0,829,0,No
Challan Printed,59,0,911,0,No
Application Fee Received,41,0,772,0,No
Application Fee Received,58,0,891,0,No
Application Fee Received,51,0,788,0,No
Challan Printed,68,0,924,0,No
Application Fee Received,45,0,755,0,No
Application Fee Received,78,78,920,0,No
Challan Printed,82,82,983,0,No
Application Fee Received,48,0,650,0,No
Challan Printed,60,60,935,0,No
Application Fee Received,39,39,812,0,No
Challan Printed,88,88,930,0,No
Application Fee Received,55,0,846,0,No
Application Fee Received,56,56,861,0,No
Application Fee Received,63,63,933,0,No
Challan Printed,66,64,884,0,No
Application Fee Received,42,0,839,0,No
Application Fee Received,55,0,904,0,No
Application Fee Received,74,74,887,0,No
Application Fee Received,84,84,950,1,No
Application Fee Received,69,0,885,0,No
Application Fee Received,47,0,837,0,No
Application Fee Received,75,75,933,0,No
Application Fee Received,67,0,980,0,No
Admission Fee Challan Received,69,0,799,1,No
Application Fee Received,52,0,832,0,No
Application Fee Received,42,0,667,0,No
Application Fee Received,52,0,889,0,No
Application Fee Received,50,0,702,0,No
Application Fee Received,49,47,760,0,No
Application Fee Received,74,74,922,0,No
Application Fee Received,82,0,946,1,No
Application Fee Received,81,81,947,0,No
Challan Printed,57,57,850,0,No
Application Fee Received,71,0,744,0,No
Application Fee Received,78,78,926,0,No
Application Fee Received,63,0,957,0,No
Challan Printed,64,0,648,0,No
Admission Fee Challan Received,82,82,974,1,Yes
Application Fee Received,67,67,911,0,No
Application Fee Received,53,53,836,0,No
Application Fee Received,79,79,993,1,Yes
Application Fee Received,76,76,914,0,No
Application Fee Received,49,49,980,1,No
Admission Fee Challan Received,86,86,978,1,Yes
Application Fee Received,49,0,598,0,No
Application Fee Received,54,0,844,0,No
Application Fee Received,63,0,947,0,No
Challan Printed,78,78,953,0,No
Application Fee Received,83,83,938,1,No
Application Fee Received,57,0,951,0,No
Application Fee Received,66,66,913,0,No
Application Fee Received,78,78,919,0,No
Application Fee Received,68,0,941,0,No
Application Fee Received,61,0,809,0,No
Application Fee Received,51,0,907,0,No
Admission Fee Challan Received,79,79,989,1,Yes
Application Fee Received,85,85,979,1,Yes
Application Fee Received,65,0,888,0,No
Application Fee Received,84,84,982,1,Yes
Application Fee Received,82,82,975,1,Yes
Challan Printed,69,69,883,0,No
Application Fee Received,67,26,647,0,No
Application Fee Received,71,0,770,0,No
Application Fee Received,78,78,937,0,No
Application Fee Received,44,0,824,0,No
Application Fee Received,65,0,888,0,No
Challan Printed,45,0,657,0,No
Application Fee Received,73,73,913,0,No
Application Fee Received,63,0,907,0,No
Application Fee Received,71,0,958,1,No
Challan Printed,52,0,784,0,No
Application Fee Received,66,66,885,0,No
Application Fee Received,77,77,849,0,No
Challan Printed,61,0,881,0,No
Application Fee Received,64,0,890,0,No
Admission Fee Challan Received,76,76,961,1,Yes
Application Fee Received,44,0,701,0,No
Application Fee Received,59,0,732,0,No
Application Fee Received,67,0,947,0,No
Application Fee Received,64,64,884,0,No
Challan Printed,79,79,890,0,No
Application Fee Received,40,0,833,0,No
Application Received,49,0,741,0,No
Application Fee Received,53,0,650,0,No
Application Fee Received,46,0,817,0,No
Application Fee Received,49,0,865,0,No
Application Fee Received,47,0,877,0,No
Application Fee Received,60,0,879,0,No
Application Fee Received,47,47,898,0,No
Application Fee Received,52,0,930,0,No
Application Fee Received,65,0,929,0,No
Application Fee Received,59,0,900,0,No
Application Fee Received,60,0,858,0,No
Application Fee Received,47,0,802,0,No
Application Fee Received,63,0,934,0,No
Application Received,48,0,853,0,No
Application Fee Received,50,0,917,0,No
Application Fee Received,69,69,957,1,No
Challan Printed,43,0,926,0,No
Application Fee Received,44,0,796,0,No
Application Fee Received,51,0,796,0,No
Application Fee Received,56,56,877,0,No
Admission Fee Challan Received,74,74,971,1,Yes
Application Fee Received,62,0,957,0,No
Challan Printed,52,0,745,0,No
Application Fee Received,55,0,901,0,No
Admission Fee Challan Received,82,0,972,1,Yes
Challan Printed,57,0,859,0,No
Application Fee Received,62,0,886,0,No
Challan Printed,50,27,825,0,No
Application Fee Received,54,0,853,0,No
Application Fee Received,53,0,618,0,No
Application Fee Received,70,0,900,0,No
Challan Printed,60,0,918,0,No
Application Fee Received,51,0,742,0,No
Application Fee Received,80,0,956,1,No
Application Fee Received,62,0,800,0,No
Application Fee Received,52,0,902,0,No
Application Fee Received,64,0,919,0,No
Challan Printed,55,0,800,0,No
Application Fee Received,55,0,773,0,No
Admission Fee Challan Received,81,81,961,1,Yes
Application Fee Received,57,0,879,0,No
Application Received,55,55,864,0,No
Application Fee Received,67,0,930,0,No
Application Fee Received,53,0,615,0,No
Application Fee Received,53,0,932,0,No
Application Fee Received,48,0,703,0,No
Admission Fee Challan Received,81,81,975,1,Yes
Application Fee Received,61,0,907,0,No
Application Fee Received,84,84,980,1,Yes
Application Fee Received,35,0,576,0,No
Application Fee Received,57,0,814,0,No
Application Received,52,0,586,0,No
Application Fee Received,85,0,868,0,No
Application Fee Received,69,69,973,0,No
Application Fee Received,58,0,756,0,No
Application Fee Received,67,0,964,1,No
Application Fee Received,59,59,897,0,No
Application Fee Received,59,0,912,0,No
Application Fee Received,69,69,930,0,No
Application Fee Received,63,0,928,0,No
Application Fee Received,72,72,975,1,No
Application Fee Received,56,0,691,0,No
Application Fee Received,50,0,889,0,No
Application Fee Received,45,0,618,0,No
Application Fee Received,45,45,804,0,No
Application Fee Received,44,0,913,0,No
Application Fee Received,58,0,852,0,No
Application Fee Received,60,0,892,0,No
Application Received,0,0,912,0,No
Application Fee Received,64,64,873,0,No
Application Fee Received,70,70,931,0,No
Application Fee Received,52,0,909,0,No
Application Fee Received,43,0,729,0,No
Application Fee Received,47,0,802,0,No
Challan Printed,59,0,916,0,No
Application Fee Received,74,74,937,0,No
Application Fee Received,84,84,978,0,No
Application Fee Received,62,0,874,0,No
Application Fee Received,54,54,824,0,No
Application Fee Received,80,80,953,1,No
Application Fee Received,51,0,862,0,No
Challan Printed,43,0,893,0,No
Application Fee Received,58,0,880,0,No
Application Fee Received,70,0,950,0,No
Challan Printed,50,50,878,0,No
Admission Fee Challan Received,84,84,965,1,Yes
Application Fee Received,70,0,935,0,No
Application Fee Received,73,73,940,0,No
Application Fee Received,60,0,869,0,No
Challan Printed,57,0,842,0,No
Application Received,0,0,0,0,No
Application Fee Received,67,67,942,0,No
Application Fee Received,48,0,841,0,No
Application Fee Received,69,69,939,0,No
Application Fee Received,48,0,796,0,No
Application Fee Received,29,29,800,0,No
Application Fee Received,53,0,705,0,No
Challan Printed,0,0,595,0,No
Challan Printed,83,83,944,0,No
Challan Printed,0,0,849,0,No
Application Fee Received,65,0,934,0,No
Application Fee Received,66,66,935,0,No
Application Fee Received,62,0,689,0,No
Admission Fee Challan Received,82,82,989,1,Yes
Application Fee Received,50,0,849,0,No
Application Fee Received,50,0,935,0,No
Application Fee Received,80,80,1013,0,No
Application Fee Received,53,0,931,0,No
Application Fee Received,63,0,901,0,No
Admission Fee Challan Received,81,0,975,1,Yes
Application Fee Received,65,0,814,0,No
Admission Fee Challan Received,70,0,982,1,Yes
Application Fee Received,51,0,755,0,No
Application Fee Received,57,0,689,0,No
Admission Fee Challan Received,72,72,971,1,Yes
Application Fee Received,66,0,852,0,No
Application Fee Received,64,0,950,0,No
Application Fee Received,42,0,755,0,No
Application Fee Received,58,0,928,0,No
Application Fee Received,58,0,697,1,No
Application Fee Received,50,0,752,0,No
Application Fee Received,62,0,972,1,No
Application Fee Received,51,0,907,0,No
Application Fee Received,42,0,757,0,No
Application Fee Received,65,0,936,0,No
Admission Fee Challan Received,85,85,981,1,Yes
Challan Printed,51,0,834,0,No
Application Fee Received,66,66,970,0,No
Challan Printed,55,0,817,0,No
Admission Fee Challan Received,76,76,979,1,Yes
Application Fee Received,55,0,882,0,No
Application Fee Received,67,67,959,1,No
Application Fee Received,52,0,897,0,No
Application Fee Received,60,0,951,0,No
Challan Printed,0,0,594,0,No
Application Fee Received,64,0,957,0,No
Application Fee Received,67,67,940,0,No
Challan Printed,64,64,891,0,No
Challan Printed,58,0,932,0,No
Application Fee Received,49,0,0,0,No
Challan Printed,38,0,651,0,No
Application Received,65,65,913,0,No
Application Fee Received,72,72,940,0,No
Application Fee Received,49,0,799,0,No
Application Fee Received,46,0,770,0,No
Application Fee Received,83,83,1005,0,No
Application Fee Received,84,84,948,0,No
Application Fee Received,58,0,782,0,No
Application Received,63,0,850,0,No
Application Fee Received,67,67,958,1,No
Application Fee Received,60,0,955,0,No
Application Fee Received,52,0,872,0,No
Application Fee Received,81,81,934,0,No
Application Fee Received,60,0,836,0,No
Application Fee Received,55,0,959,0,No
Application Fee Received,75,0,949,1,No
Challan Printed,50,0,843,0,No
Application Fee Received,32,32,713,0,No
Application Fee Received,51,0,842,0,No
Application Fee Received,37,0,748,0,No
Application Fee Received,47,0,837,0,No
Application Fee Received,40,0,817,0,No
Application Fee Received,47,41,851,0,No
Application Received,41,41,834,0,No
Application Fee Received,77,77,927,0,No
Application Fee Received,75,0,912,0,No
Application Fee Received,53,0,795,0,No
Application Fee Received,55,0,687,0,No
Challan Printed,70,0,958,0,No
Application Fee Received,53,53,859,0,No
Application Fee Received,71,71,932,0,No
Application Received,87,87,977,0,No
Application Fee Received,74,74,943,1,No
Application Fee Received,43,0,790,0,No
Application Fee Received,59,59,890,0,No
Application Fee Received,45,0,604,0,No
Application Fee Received,56,0,780,0,No
Challan Printed,59,0,894,0,No
Application Fee Received,51,0,893,0,No
Application Fee Received,84,84,949,0,No
Challan Printed,44,0,844,0,No
Application Fee Received,55,0,775,0,No
Application Fee Received,49,0,578,0,No
Application Fee Received,50,0,925,0,No
Application Fee Received,29,29,715,0,No
Application Fee Received,57,0,911,0,No
Challan Printed,69,69,966,0,No
Challan Printed,72,72,970,0,No
Application Fee Received,0,0,913,0,No
Challan Printed,47,0,804,0,No
Application Fee Received,70,70,940,0,No
Challan Printed,40,23,715,0,No
Application Fee Received,61,61,961,0,No
Application Fee Received,60,0,864,0,No
Challan Printed,60,60,861,0,No
Application Fee Received,44,0,901,0,No
Challan Printed,0,0,907,0,No
Challan Printed,42,42,912,0,No
Application Fee Received,59,0,953,0,No
Application Fee Received,45,45,908,0,No
Application Fee Received,47,35,916,0,No
Application Fee Received,38,0,804,1,No
Application Fee Received,79,79,992,0,No
Application Fee Received,79,79,970,1,No
Application Received,0,0,0,0,No
Challan Printed,52,0,882,0,No
Application Fee Received,55,0,945,0,No
Application Fee Received,71,71,948,0,No
Application Fee Received,86,86,934,0,No
Application Fee Received,44,0,946,0,No
Application Fee Received,65,65,953,0,No
Application Fee Received,59,59,932,0,No
Application Fee Received,75,75,934,0,No
Application Fee Received,87,87,983,1,Yes
Application Fee Received,82,82,921,0,No
Application Fee Received,82,82,969,0,No
Application Fee Received,54,0,919,0,No
Application Fee Received,72,72,935,0,No
Application Fee Received,82,82,950,0,No
Application Fee Received,48,0,924,0,No
Application Fee Received,54,0,891,0,No
Application Fee Received,37,0,702,0,No
Application Fee Received,78,78,945,0,No
Application Fee Received,62,0,887,0,No
Application Fee Received,76,76,961,0,No
Challan Printed,53,53,919,0,No
Application Fee Received,82,82,965,0,No
Application Fee Received,57,57,936,0,No
Application Fee Received,67,67,917,0,No
Application Fee Received,60,0,914,0,No
Application Fee Received,86,86,941,0,No
Application Fee Received,81,81,941,0,No
Challan Printed,60,60,930,0,No
Application Fee Received,78,78,927,0,No
Application Fee Received,0,0,902,0,No
Application Fee Received,23,23,722,0,No
Application Fee Received,69,69,969,0,No
Application Fee Received,0,0,961,0,No
Application Fee Received,50,50,907,0,No
Application Fee Received,87,87,963,0,No
Application Fee Received,62,62,914,0,No
Application Fee Received,67,67,931,0,No
Application Fee Received,84,84,937,0,No
Application Fee Received,38,29,858,0,No
Challan Printed,52,52,945,0,No
Application Fee Received,67,63,957,0,No
Challan Printed,77,0,940,0,No
Application Fee Received,50,0,932,0,No
Application Fee Received,55,55,950,0,No
Application Fee Received,72,72,932,0,No
Application Fee Received,56,56,936,0,No
Application Fee Received,68,68,940,0,No
Application Received,68,68,954,0,No
Application Fee Received,55,55,967,0,No
Application Fee Received,80,80,951,0,No
Application Fee Received,68,68,951,0,No
Challan Printed,42,0,910,0,No
Application Fee Received,52,0,756,1,No
Application Fee Received,46,46,919,0,No
Application Fee Received,87,87,973,1,No
Application Fee Received,48,48,956,0,No
Application Fee Received,41,41,902,0,No
Application Fee Received,51,0,928,0,No
Application Fee Received,63,0,884,0,No
Application Fee Received,50,0,913,0,No
Application Fee Received,30,0,836,0,No
Application Fee Received,65,65,961,0,No
Application Fee Received,49,49,934,0,No
Application Fee Received,61,61,942,0,No
Application Fee Received,41,41,902,0,No
Challan Printed,57,0,947,0,No
Admission Fee Challan Printed,62,62,933,0,No
Application Fee Received,66,20,814,0,No
Application Fee Received,46,46,941,0,No
Application Fee Received,32,0,839,0,No
Application Fee Received,64,64,950,0,No
Application Fee Received,78,78,981,0,No
Application Fee Received,59,59,933,0,No
Application Fee Received,54,0,891,0,No
Application Fee Received,49,0,933,0,No
Application Fee Received,52,0,899,0,No
Application Fee Received,40,0,780,0,No
Application Fee Received,59,0,889,0,No
Application Fee Received,44,0,856,0,No
Application Fee Received,45,45,931,0,No
Application Fee Received,38,38,804,0,No
Challan Printed,51,0,890,0,No
Challan Printed,54,0,850,0,No
Application Fee Received,57,0,933,0,No
Admission Fee Challan Received,80,80,969,1,Yes
Application Fee Received,52,47,923,0,No
Application Fee Received,50,0,924,0,No
Application Fee Received,52,35,832,0,No
Application Fee Received,42,0,869,0,No
Application Fee Received,46,45,810,1,No
Application Fee Received,41,41,926,0,No
Application Fee Received,58,58,875,0,No
Application Fee Received,56,0,951,0,No
Application Fee Received,74,0,866,0,No
Application Fee Received,47,0,906,0,No
Challan Printed,0,0,756,0,No
Application Fee Received,52,0,828,1,No
Application Fee Received,59,59,885,0,No
Application Fee Received,83,83,956,0,No
Application Fee Received,58,0,957,0,No
Application Fee Received,75,75,952,0,No
Challan Printed,52,0,875,0,No
Application Fee Received,64,0,927,0,No
Challan Printed,55,55,830,0,No
Challan Printed,64,64,899,0,No
Application Fee Received,61,61,936,0,No
Application Fee Received,81,81,949,0,No
Challan Printed,47,0,927,0,No
Challan Printed,49,0,744,0,No
Application Fee Received,49,49,945,0,No
Application Received,0,0,887,0,No
Application Fee Received,34,0,937,0,No
Admission Fee Challan Received,78,78,990,1,Yes
Challan Printed,84,84,933,0,No
Application Fee Received,50,0,957,0,No
Application Fee Received,82,82,957,0,No
Admission Fee Challan Received,82,82,963,1,Yes
Application Fee Received,64,0,908,0,No
Application Fee Received,64,64,953,0,No
Application Fee Received,70,70,959,0,No
Challan Printed,84,84,974,0,No
Application Received,0,0,960,0,No
Application Fee Received,72,72,960,1,No
Application Fee Received,73,73,948,0,No
Challan Printed,44,0,920,0,No
Challan Printed,64,64,956,0,No
Application Fee Received,44,0,915,0,No
Application Fee Received,67,67,962,0,No
Application Fee Received,54,0,955,0,No
Application Fee Received,63,0,945,0,No
Application Fee Received,50,0,853,0,No
Application Fee Received,43,0,606,0,No
Challan Printed,85,85,949,0,No
Application Fee Received,62,0,937,0,No
Application Fee Received,44,0,871,0,No
Challan Printed,84,84,985,0,No
Application Fee Received,48,0,881,0,No
Application Fee Received,58,58,943,0,No
Application Fee Received,79,79,977,0,No
Application Fee Received,58,58,882,0,No
Challan Printed,87,87,951,0,No
Admission Fee Challan Received,53,0,760,1,No
Application Fee Received,49,0,922,0,No
Challan Printed,0,0,871,0,No
Application Received,72,0,931,0,No
Challan Printed,77,77,927,0,No
Application Fee Received,59,0,822,0,No
Application Fee Received,46,0,931,0,No
Application Fee Received,0,0,789,0,No
Application Fee Received,65,0,880,0,No
Challan Printed,56,0,740,0,No
Application Fee Received,59,0,899,0,No
Application Fee Received,75,75,886,0,No
Application Fee Received,48,48,932,0,No
Application Fee Received,48,0,935,0,No
Application Received,47,0,877,0,No
Application Fee Received,57,54,973,0,No
Application Fee Received,47,0,886,0,No
Application Fee Received,76,76,931,0,No
Application Fee Received,82,82,954,0,No
Application Fee Received,45,45,905,0,No
Application Received,54,0,769,0,No
Application Fee Received,76,76,917,0,No
Challan Printed,47,0,856,0,No
Application Received,54,0,848,0,No
Application Fee Received,50,0,705,0,No
Application Fee Received,62,0,948,0,No
Application Fee Received,57,0,805,0,No
Challan Printed,74,74,945,0,No
Application Fee Received,63,63,889,0,No
Application Fee Received,53,0,860,0,No
Application Fee Received,80,73,931,0,No
Application Fee Received,48,0,954,0,No
Application Fee Received,57,0,880,0,No
Application Received,43,43,923,0,No
Application Fee Received,79,79,969,0,No
Challan Printed,80,80,917,0,No
Application Fee Received,76,76,958,0,No
Challan Printed,53,52,938,0,No
Challan Printed,51,51,849,0,No
Challan Printed,69,69,925,0,No
Application Fee Received,75,75,958,0,No
Challan Printed,50,0,903,0,No
Application Fee Received,85,85,953,1,Yes
Application Fee Received,48,0,779,0,No
Admission Fee Challan Received,59,59,926,1,No
Application Received,60,54,845,0,No
Application Received,79,79,935,0,No
Challan Printed,53,0,717,0,No
Application Fee Received,64,0,794,0,No
Application Fee Received,74,74,976,1,No
Application Fee Received,48,48,940,0,No
Application Fee Received,61,0,909,0,No
Application Fee Received,62,0,878,0,No
Application Fee Received,52,52,892,0,No
Application Fee Received,50,0,903,0,No
Application Fee Received,50,50,902,0,No
Application Fee Received,51,0,907,0,No
Application Fee Received,59,59,913,0,No
Application Fee Received,43,0,882,0,No
Application Fee Received,51,0,875,0,No
Application Fee Received,54,0,922,0,No
Application Fee Received,79,79,926,0,No
Application Fee Received,73,73,920,0,No
Challan Printed,70,70,944,0,No
Challan Printed,46,0,689,0,No
Application Fee Received,52,0,803,0,No
Application Fee Received,51,51,842,0,No
Application Fee Received,59,0,876,0,No
Application Fee Received,53,53,901,0,No
Challan Printed,63,0,941,0,No
Application Fee Received,65,65,893,0,No
Application Fee Received,61,61,912,0,No
Application Fee Received,44,0,836,0,No
Application Fee Received,57,0,905,0,No
Application Fee Received,49,0,808,0,No
Application Fee Received,52,0,873,0,No
Challan Printed,63,63,940,0,No
Application Fee Received,39,35,840,0,No
Challan Printed,50,0,929,0,No
Challan Printed,60,0,940,0,No
Application Fee Received,52,0,834,0,No
Application Fee Received,54,0,896,0,No
Application Fee Received,60,0,683,0,No
Application Fee Received,74,74,864,0,No
Application Fee Received,59,59,884,0,No
Challan Printed,57,0,921,0,No
Application Fee Received,43,0,872,0,No
Challan Printed,52,0,787,0,No
Application Fee Received,58,0,771,0,No
Application Fee Received,46,0,918,0,No
Application Fee Received,50,0,856,0,No
Application Fee Received,63,63,951,0,No
Application Fee Received,62,0,905,0,No
Application Fee Received,69,69,926,0,No
Challan Printed,76,76,909,0,No
Admission Fee Challan Received,68,0,992,1,Yes
Application Fee Received,52,0,939,0,No
Application Fee Received,59,59,890,1,No
Application Fee Received,62,0,938,0,No
Application Fee Received,42,0,779,0,No
Application Fee Received,34,0,765,0,No
Application Fee Received,53,0,945,0,No
Application Fee Received,57,0,982,0,No
Application Fee Received,69,69,904,0,No
Application Fee Received,63,60,947,0,No
Application Fee Received,63,0,937,0,No
Application Fee Received,56,0,851,0,No
Application Fee Received,56,0,662,0,No
