Application Status,Admission Test 2,ssc_obtained,Terminal Degree,Document Verified,English Marks,Offered
Application Fee Received,0,742,594,0,114,No
Challan Printed,30,788,768,0,0,No
Application Fee Received,0,731,677,0,137,No
Application Fee Received,0,714,699,0,158,No
Application Fee Received,0,651,565,0,100,No
Application Fee Received,0,802,889,0,165,No
Challan Printed,0,782,651,0,157,No
Application Fee Received,0,512,556,0,105,No
Admission Fee Challan Received,0,888,869,1,159,Yes
Application Fee Received,0,843,571,0,72,No
Application Fee Received,0,791,744,1,159,No
Admission Fee Challan Received,0,690,616,1,123,No
Application Fee Received,0,654,510,0,100,No
Application Fee Received,0,776,648,0,105,No
Application Fee Received,0,753,627,0,100,No
Application Fee Received,0,878,727,0,151,No
Application Fee Received,0,535,631,0,124,No
Application Fee Received,53,763,836,0,149,No
Application Fee Received,49,943,980,1,175,Yes
Application Fee Received,0,770,648,1,149,No
Application Fee Received,0,629,585,0,132,No
Application Received,0,611,545,0,102,No
Application Fee Received,0,846,770,0,139,No
Application Fee Received,0,832,670,0,106,No
Application Fee Received,0,643,641,0,135,No
Application Fee Received,0,678,505,0,0,No
Challan Printed,0,845,619,0,118,No
Application Fee Received,0,720,805,0,40,No
Application Fee Received,0,725,775,0,135,No
Application Fee Received,0,649,658,0,0,No
Application Fee Received,0,799,757,0,144,No
Application Fee Received,0,769,625,0,108,No
Admission Fee Challan Received,0,735,633,1,113,No
Application Fee Received,0,553,583,0,67,No
Application Fee Received,0,708,541,0,62,No
Challan Printed,0,641,596,0,143,No
Application Received,0,753,542,0,112,No
Challan Printed,0,552,556,0,64,No
Application Fee Received,0,775,724,0,157,No
Admission Fee Challan Received,0,931,850,1,176,Yes
Application Fee Received,0,643,555,0,109,No
Challan Printed,0,554,567,0,118,No
Challan Printed,0,526,506,0,0,No
Application Fee Received,0,849,841,1,173,Yes
Application Fee Received,0,611,671,0,111,No
Application Fee Received,0,819,798,0,158,No
Application Fee Received,0,660,622,0,127,No
Challan Printed,0,714,553,0,130,No
Application Fee Received,0,770,745,0,123,No
Application Fee Received,0,760,733,0,117,No
Application Fee Received,0,764,730,0,129,No
Admission Fee Challan Received,82,970,975,1,162,Yes
Challan Printed,0,796,738,0,142,No
Application Fee Received,0,857,800,0,146,No
Application Fee Received,0,850,786,1,139,No
Application Fee Received,0,747,738,0,139,No
Application Fee Received,0,581,740,0,118,No
Application Fee Received,0,752,597,0,95,No
Application Fee Received,0,802,627,0,0,No
Application Fee Received,26,841,647,1,112,No
Application Fee Received,78,848,937,1,162,Yes
Application Fee Received,0,618,552,0,90,No
Challan Printed,0,827,741,0,141,No
Application Fee Received,0,687,576,0,98,No
Application Fee Received,0,822,758,1,166,No
Application Received,0,663,670,0,72,No
Admission Fee Challan Received,66,886,885,1,166,Yes
Application Fee Received,0,757,573,0,128,No
Challan Printed,0,718,782,0,139,No
Application Fee Received,0,817,787,1,148,No
Application Fee Received,0,616,543,0,112,No
Application Fee Received,0,743,700,0,122,No
Application Fee Received,0,650,593,0,0,No
Application Fee Received,0,855,687,0,135,No
Application Fee Received,0,790,602,0,116,No
Application Fee Received,0,735,857,0,57,No
Application Fee Received,0,652,670,0,112,No
Application Fee Received,0,800,642,0,140,No
Challan Printed,0,907,701,0,112,No
Application Fee Received,0,718,643,0,101,No
Application Fee Received,0,826,690,0,118,No
Application Received,0,529,519,0,0,No
Application Fee Received,0,576,788,1,129,No
Application Fee Received,0,716,650,0,139,No
Challan Printed,0,843,717,0,138,No
Application Fee Received,0,972,879,1,166,Yes
Application Fee Received,47,925,898,0,179,No
Application Received,0,541,554,0,0,No
Application Fee Received,0,954,830,1,142,Yes
Application Received,0,866,681,0,142,No
Application Fee Received,0,944,934,1,164,Yes
Challan Printed,0,729,602,0,132,No
Application Fee Received,0,838,704,0,144,No
Application Fee Received,0,614,622,0,123,No
Application Fee Received,0,705,647,0,133,No
Application Fee Received,0,521,660,0,72,No
Application Fee Received,0,908,796,1,165,Yes
Application Fee Received,0,943,694,0,143,No
Application Fee Received,0,705,693,0,0,No
Application Fee Received,0,846,688,0,143,No
Challan Printed,74,939,971,0,150,No
Application Fee Received,0,676,639,0,122,No
Application Fee Received,0,961,972,1,181,Yes
Challan Printed,0,788,596,0,141,No
Application Fee Received,0,760,736,0,108,No
Application Fee Received,0,735,656,0,72,No
Challan Printed,27,794,825,0,144,No
Application Fee Received,0,749,599,0,108,No
Application Fee Received,0,714,585,0,110,No
Application Fee Received,0,737,611,0,119,No
Application Fee Received,0,905,811,0,143,No
Application Fee Received,0,578,603,0,146,No
Application Fee Received,0,526,521,0,60,No
Application Fee Received,0,731,731,0,111,No
Application Fee Received,0,702,629,0,108,No
Application Fee Received,0,792,584,0,121,No
Application Fee Received,0,778,717,0,146,No
Application Fee Received,0,590,680,0,117,No
Challan Printed,0,703,616,0,107,No
Application Fee Received,0,767,684,0,164,No
Application Fee Received,0,553,811,1,149,No
Application Fee Received,0,728,677,0,103,No
Admission Fee Challan Received,0,912,895,1,160,Yes
Application Fee Received,0,792,542,0,88,No
Admission Fee Challan Received,0,751,918,1,170,Yes
Application Fee Received,0,756,647,0,123,No
Application Fee Received,0,841,911,0,160,No
Application Fee Received,0,835,773,1,161,No
Application Fee Received,0,602,584,0,104,No
Application Fee Received,0,862,670,0,141,No
Application Fee Received,0,740,691,0,116,No
Application Fee Received,0,719,704,0,0,No
Application Fee Received,0,484,697,0,71,No
Application Fee Received,0,711,712,0,138,No
Application Fee Received,0,756,688,0,135,No
Application Fee Received,0,819,703,0,102,No
Application Fee Received,0,660,775,0,98,No
Application Fee Received,0,928,689,0,137,No
Application Fee Received,0,608,633,0,147,No
Application Fee Received,0,846,688,0,0,No
Application Fee Received,0,907,786,1,0,No
Application Fee Received,0,718,643,0,0,No
Application Received,0,663,670,0,0,No
Application Fee Received,0,576,788,1,0,No
Application Fee Received,0,770,745,0,0,No
Application Fee Received,0,680,579,0,0,No
Application Fee Received,0,667,576,0,128,No
Challan Printed,21,748,753,0,129,No
Application Fee Received,0,542,619,0,140,No
Application Fee Received,0,630,634,0,124,No
Challan Printed,0,687,689,0,97,No
Application Fee Received,0,885,814,0,147,No
Application Fee Received,0,907,921,0,161,No
Application Fee Received,0,624,604,0,0,No
Application Fee Received,69,941,973,1,172,Yes
Application Fee Received,0,778,681,0,0,No
Challan Printed,0,738,585,0,104,No
Challan Printed,0,557,526,0,99,No
Challan Printed,59,948,897,0,0,No
Application Received,0,661,544,0,0,No
Challan Printed,0,601,659,0,72,No
Application Fee Received,0,716,643,0,119,No
Application Fee Received,0,712,623,0,164,No
Challan Printed,0,657,533,0,90,No
Application Fee Received,0,710,604,0,0,No
Application Fee Received,0,705,628,0,99,No
Challan Printed,0,632,516,0,133,No
Application Fee Received,0,865,783,0,156,No
Application Fee Received,0,914,852,0,161,No
Application Fee Received,0,705,652,0,111,No
Application Fee Received,0,855,633,0,111,No
Application Fee Received,0,777,629,0,115,No
Application Fee Received,0,811,627,0,134,No
Application Fee Received,0,737,788,0,145,No
Application Fee Received,0,780,567,0,127,No
Admission Fee Challan Received,0,904,853,1,158,Yes
Application Fee Received,0,635,485,0,94,No
Application Fee Received,0,622,495,0,101,No
Challan Printed,0,779,612,0,111,No
Application Received,0,700,737,0,135,No
Application Fee Received,0,872,867,0,155,No
Application Received,0,773,570,0,0,No
Application Fee Received,0,779,726,0,115,No
Application Fee Received,0,609,683,0,76,No
Application Fee Received,0,833,637,1,118,No
Application Received,0,532,484,0,64,No
Admission Fee Challan Received,0,813,829,1,142,Yes
Challan Printed,0,917,810,0,139,No
Application Fee Received,80,941,953,1,173,Yes
Challan Printed,0,644,701,0,0,No
Application Fee Received,0,546,564,0,83,No
Challan Printed,0,520,583,0,68,No
Application Fee Received,0,793,698,0,108,No
Application Fee Received,0,626,644,0,104,No
Challan Printed,0,762,662,0,144,No
Application Fee Received,0,800,815,1,150,Yes
Application Fee Received,0,693,644,0,112,No
Application Fee Received,0,585,627,0,117,No
Application Fee Received,0,714,550,0,88,No
Application Fee Received,0,738,812,1,141,No
Application Fee Received,0,832,755,0,134,No
Application Received,0,655,660,0,59,No
Challan Printed,0,903,770,0,0,No
Application Fee Received,0,769,648,0,113,No
Application Fee Received,0,587,592,0,124,No
Application Fee Received,0,800,726,0,154,No
Application Fee Received,0,777,697,0,158,No
Application Fee Received,0,636,618,0,126,No
Application Fee Received,0,698,754,0,138,No
Challan Printed,0,782,694,0,143,No
Challan Printed,0,831,789,0,170,No
Application Fee Received,0,654,714,0,106,No
Application Fee Received,0,827,772,0,123,No
Application Fee Received,0,719,606,0,119,No
Application Fee Received,0,576,773,0,107,No
Application Fee Received,0,902,588,0,120,No
Application Received,0,769,527,0,79,No
Application Fee Received,0,583,552,0,126,No
Application Fee Received,0,797,670,0,150,No
Challan Printed,0,749,577,0,128,No
Application Fee Received,0,882,673,0,123,No
Application Fee Received,0,835,767,0,127,No
Application Fee Received,0,800,671,0,134,No
Application Fee Received,0,774,658,0,89,No
Application Fee Received,0,889,799,0,109,No
Application Fee Received,0,631,637,0,124,No
Application Fee Received,0,715,591,0,91,No
Admission Fee Challan Received,0,878,810,1,161,Yes
Admission Fee Challan Received,0,674,881,1,166,Yes
Application Fee Received,0,657,677,1,139,No
Application Fee Received,0,759,692,0,151,No
Application Fee Received,0,557,600,0,135,No
Application Fee Received,0,833,657,0,112,No
Application Fee Received,0,684,696,0,114,No
Application Fee Received,0,741,559,0,0,No
Application Fee Received,0,605,549,0,111,No
Application Fee Received,0,689,550,0,133,No
Challan Printed,0,730,800,0,134,No
Application Fee Received,0,720,643,0,120,No
Application Fee Received,0,839,837,0,160,No
Application Fee Received,0,786,746,0,127,No
Application Fee Received,0,522,559,0,99,No
Application Fee Received,0,858,795,0,141,No
Application Fee Received,0,741,612,0,105,No
Application Fee Received,0,709,553,0,89,No
Application Fee Received,74,945,943,1,157,Yes
Application Received,0,777,557,0,0,No
Application Fee Received,0,685,599,0,114,No
Application Received,0,574,473,0,85,No
Challan Printed,0,746,785,0,0,No
Challan Printed,0,760,722,0,106,No
Application Fee Received,61,907,961,0,174,No
Challan Printed,0,869,684,0,137,No
Application Fee Received,0,815,725,0,0,No
Challan Printed,0,735,622,0,124,No
Application Fee Received,0,849,717,0,164,No
Application Fee Received,0,920,953,1,167,Yes
Application Fee Received,0,767,804,1,121,No
Challan Printed,79,887,970,0,173,No
Challan Printed,0,798,655,0,117,No
Application Fee Received,0,792,741,0,103,No
Application Fee Received,0,857,830,0,147,No
Application Fee Received,0,679,734,0,0,No
Application Fee Received,0,819,946,0,164,No
Application Fee Received,65,923,953,0,0,No
Application Fee Received,0,605,692,0,93,No
Application Fee Received,0,719,637,0,90,No
Application Fee Received,0,837,891,1,154,Yes
Application Fee Received,0,601,670,0,99,No
Application Fee Received,0,525,600,0,0,No
Application Fee Received,22,808,785,0,0,No
Application Received,0,685,618,0,142,No
Application Fee Received,29,841,858,0,138,No
Application Fee Received,52,929,945,0,161,No
Application Fee Received,0,771,707,0,124,No
Application Fee Received,0,581,689,0,118,No
Admission Fee Challan Received,0,563,812,1,111,No
Application Fee Received,0,699,766,0,151,No
Application Fee Received,0,616,573,0,140,No
Application Fee Received,0,941,809,0,162,No
Application Fee Received,0,823,702,0,109,No
Application Fee Received,0,789,727,0,124,No
Application Fee Received,0,937,929,0,166,No
Application Fee Received,0,898,836,0,156,No
Application Fee Received,0,846,770,0,0,No
Application Received,0,904,857,0,146,No
Application Fee Received,59,895,933,1,158,No
Application Fee Received,0,706,780,0,158,No
Application Fee Received,67,945,952,1,165,Yes
Application Fee Received,0,715,756,0,129,No
Application Fee Received,80,926,969,1,171,Yes
Application Fee Received,49,864,885,0,172,No
Application Fee Received,0,800,735,0,174,No
Challan Printed,0,767,616,0,64,No
Application Fee Received,0,711,549,0,89,No
Challan Printed,81,967,949,0,176,No
Challan Printed,0,749,819,0,0,No
Application Fee Received,0,941,955,1,161,Yes
Challan Printed,0,585,743,0,138,No
Application Fee Received,82,941,957,0,173,No
Application Fee Received,0,839,828,0,134,No
Application Fee Received,0,610,874,0,141,No
Admission Fee Challan Received,0,920,920,1,152,Yes
Admission Fee Challan Received,0,864,915,1,156,Yes
Challan Printed,0,521,518,0,87,No
Application Fee Received,0,668,670,0,90,No
Application Fee Received,0,517,870,0,0,No
Application Fee Received,0,796,782,0,0,No
Application Fee Received,0,901,871,0,160,No
Application Fee Received,0,710,735,0,144,No
Application Fee Received,0,525,564,0,110,No
Challan Printed,0,706,610,0,69,No
Admission Fee Challan Received,58,878,943,1,166,Yes
Application Fee Received,0,905,815,0,146,No
Application Fee Received,0,791,757,0,145,No
Application Received,0,643,492,0,90,No
Application Fee Received,0,734,756,0,0,No
Application Fee Received,0,608,615,0,127,No
Challan Printed,0,794,565,0,102,No
Application Fee Received,0,760,736,0,131,No
Application Fee Received,0,737,822,0,148,No
Application Fee Received,0,778,959,0,0,No
Application Fee Received,0,697,728,0,111,No
Application Fee Received,0,859,750,0,135,No
Application Fee Received,0,704,597,0,123,No
Application Fee Received,0,588,735,0,114,No
Application Fee Received,0,882,800,0,152,No
Challan Printed,0,917,810,0,0,No
Application Fee Received,0,857,830,0,0,No
Challan Printed,0,730,800,0,0,No
Application Fee Received,0,608,615,0,0,No
Application Fee Received,0,889,799,0,0,No
Application Fee Received,0,462,694,0,126,No
Application Fee Received,0,735,749,0,144,No
Application Fee Received,0,677,776,0,127,No
Application Fee Received,0,611,675,0,0,No
Challan Printed,0,812,905,0,144,No
Application Fee Received,0,729,953,0,0,No
Challan Printed,0,533,652,0,0,No
Challan Printed,45,903,870,0,155,No
Application Fee Received,0,639,566,0,0,No
Challan Printed,0,536,624,0,0,No
Application Fee Received,0,783,766,0,125,No
Application Fee Received,0,884,705,0,124,No
Application Fee Received,0,765,529,0,95,No
Application Fee Received,0,770,764,0,128,No
Application Fee Received,0,713,747,0,0,No
Application Fee Received,0,782,852,1,132,No
Application Fee Received,0,788,774,0,129,No
Challan Printed,0,664,781,0,155,No
Application Fee Received,0,947,910,1,155,Yes
Application Fee Received,0,738,685,0,114,No
Application Fee Received,40,750,794,0,110,No
Admission Fee Challan Received,82,937,939,1,170,Yes
Application Fee Received,0,644,701,0,134,No
Application Fee Received,0,689,644,0,122,No
Application Fee Received,0,937,875,0,181,No
Application Fee Received,73,896,920,0,165,No
Application Fee Received,0,688,699,0,89,No
Application Fee Received,0,544,577,0,142,No
Application Fee Received,0,775,732,0,0,No
Application Fee Received,0,961,808,0,156,No
Application Fee Received,0,735,690,0,153,No
Application Fee Received,0,847,792,0,141,No
Application Fee Received,0,726,642,0,144,No
Challan Printed,0,805,711,0,131,No
Application Fee Received,69,952,972,0,0,No
Challan Printed,0,836,712,0,108,No
Application Fee Received,0,829,823,0,130,No
Application Fee Received,0,688,586,0,0,No
Application Fee Received,0,732,666,0,110,No
Application Fee Received,0,621,633,0,118,No
Admission Fee Challan Received,0,924,939,1,157,Yes
Application Fee Received,0,861,745,0,119,No
Application Fee Received,0,887,785,0,149,No
Application Fee Received,0,834,658,0,119,No
Challan Printed,0,819,707,0,130,No
Application Fee Received,0,631,553,0,128,No
Application Fee Received,0,685,774,0,0,No
Application Fee Received,0,665,592,0,0,No
Application Fee Received,0,720,666,0,94,No
Application Fee Received,0,809,785,0,141,No
Application Fee Received,0,917,637,0,140,No
Application Fee Received,0,886,759,0,0,No
Application Fee Received,0,557,606,0,89,No
Application Fee Received,0,706,674,0,127,No
Challan Printed,0,847,936,0,173,No
Application Fee Received,0,847,880,0,0,No
Challan Printed,0,685,701,0,121,No
Application Fee Received,0,699,774,0,145,No
Application Fee Received,0,567,622,0,119,No
Application Fee Received,0,919,727,1,151,No
Application Fee Received,0,619,582,0,0,No
Application Fee Received,0,704,752,0,115,No
Application Fee Received,0,830,837,0,165,No
Application Fee Received,0,792,870,0,168,No
Application Fee Received,0,745,710,0,0,No
Application Fee Received,0,752,829,0,0,No
Application Fee Received,79,914,939,0,153,No
Admission Fee Challan Received,54,850,921,1,170,Yes
Application Fee Received,0,802,772,0,123,No
Challan Printed,0,929,693,0,113,No
Application Fee Received,0,514,787,0,40,No
Application Fee Received,0,937,867,1,165,Yes
Application Fee Received,0,695,594,0,77,No
Application Fee Received,0,569,664,0,161,No
Application Fee Received,0,756,566,0,91,No
Application Fee Received,0,742,720,0,147,No
Challan Printed,0,807,724,0,113,No
Challan Printed,0,714,757,0,157,No
Challan Printed,0,735,682,0,110,No
Application Fee Received,0,777,705,0,106,No
Application Fee Received,0,852,894,0,162,No
Application Fee Received,0,873,766,0,118,No
Application Fee Received,0,814,731,0,162,No
Challan Printed,0,695,618,0,81,No
Application Fee Received,0,746,746,0,81,No
Application Fee Received,0,656,722,0,120,No
Application Fee Received,0,733,672,1,139,No
Application Fee Received,0,891,774,0,134,No
Challan Printed,0,693,888,0,135,No
Challan Printed,0,885,792,0,179,No
Application Fee Received,0,717,671,0,110,No
Challan Printed,0,613,717,0,139,No
Application Fee Received,0,747,697,0,116,No
Challan Printed,0,916,795,0,120,No
Challan Printed,0,745,776,0,121,No
Application Fee Received,12,607,782,0,134,No
Application Fee Received,0,798,781,0,160,No
Challan Printed,0,588,491,0,62,No
Application Fee Received,0,633,545,0,110,No
Application Fee Received,0,853,734,0,152,No
Application Fee Received,0,994,846,0,175,No
Application Fee Received,0,614,524,0,70,No
Application Fee Received,0,829,699,0,130,No
Challan Printed,63,932,864,0,0,No
Application Fee Received,0,613,579,0,98,No
Application Fee Received,0,560,517,0,81,No
Challan Printed,0,637,637,0,75,No
Application Fee Received,0,714,772,0,119,No
Application Fee Received,0,655,750,0,140,No
Application Fee Received,0,659,611,0,130,No
Application Fee Received,0,936,844,0,144,No
Application Fee Received,0,756,680,0,142,No
Application Fee Received,43,923,753,0,132,No
Application Fee Received,0,924,787,0,134,No
Challan Printed,0,664,644,0,102,No
Application Fee Received,0,596,497,0,67,No
Application Fee Received,0,984,841,0,170,No
Challan Printed,0,749,779,0,152,No
Application Fee Received,0,559,500,0,75,No
Challan Printed,0,912,797,0,0,No
Application Fee Received,0,647,599,0,0,No
Application Received,0,722,549,0,0,No
Application Received,0,0,0,0,0,No
Application Fee Received,0,672,839,0,148,No
Application Fee Received,0,720,755,0,153,No
Application Fee Received,0,895,748,0,128,No
Application Received,0,630,750,0,100,No
Application Fee Received,0,692,658,0,161,No
Application Fee Received,0,693,603,0,95,No
Challan Printed,86,896,946,0,169,No
Challan Printed,0,824,824,0,165,No
Challan Printed,72,866,971,0,177,No
Application Fee Received,27,826,824,0,173,No
