Application Status,Merit Score,Admission Test,ssc_obtained,Terminal Degree,Offered
Application Fee Received,58.218,54,823,652,No
Application Fee Received,60.8,64,750,660,No
Application Fee Received,49.509,45,537,562,No
Application Fee Received,69.4,63,842,781,Yes
Application Fee Received,66.218,58,570,751,No
Application Fee Received,60.291,48,616,697,No
Application Fee Received,72.112,47,563,867,No
Admission Fee Challan Received,66.673,49,817,782,Yes
Admission Fee Challan Received,66.091,57,944,752,Yes
Application Fee Received,64.291,60,738,719,No
Application Fee Received,62.709,55,835,711,No
Application Fee Received,64.736,17,819,842,No
Application Fee Received,61.945,57,702,695,No
Application Fee Received,52.164,47,662,588,No
Application Fee Received,58.927,47,851,681,No
Application Fee Received,54.218,38,749,641,No
Application Fee Received,62.873,50,537,737,No
Application Fee Received,73.127,50,838,868,Yes
Application Fee Received,54.618,40,900,641,No
Application Fee Received,55.636,48,689,633,No
Application Fee Received,54.436,50,603,611,No
Application Fee Received,55.491,44,805,642,No
Application Fee Received,53.073,53,602,584,No
Application Fee Received,63.145,55,655,722,No
Application Fee Received,64.673,59,821,732,No
Application Fee Received,64.127,53,613,736,No
Application Fee Received,58.945,38,690,711,No
Application Fee Received,62.073,46,802,727,No
Application Fee Received,64.036,52,656,742,No
Application Fee Received,58.055,55,674,652,No
Application Fee Received,52.545,50,558,585,No
Application Fee Received,60.018,47,747,701,No
Application Fee Received,59.782,48,675,695,No
Application Fee Received,61.636,54,654,679,No
Application Fee Received,63.545,61,729,706,No
Application Fee Received,68.036,50,840,798,Yes
Application Fee Received,63.145,55,655,722,No
Application Fee Received,57.047,57,696,627,No
Application Fee Received,38.429,52,532,390,No
Application Fee Received,49.6,0,783,687,No
Application Fee Received,61.673,56,896,704,No
Application Fee Received,72.329,35,921,903,No
Admission Fee Challan Received,70.161,48,650,817,Yes
Application Fee Received,56.091,47,800,642,No
Admission Fee Challan Received,0,0,525,754,No
Admission Fee Challan Printed,0,0,729,789,No
Admission Fee Challan Printed,71.873,71,763,793,Yes
Admission Fee Challan Received,70.473,52,903,826,Yes
Admission Fee Challan Received,69.036,51,660,809,Yes
Admission Fee Challan Received,68.927,49,910,813,Yes
Admission Fee Challan Received,81.727,81,844,901,Yes
Admission Fee Challan Printed,0,50,572,671,No
Admission Fee Challan Received,70.673,61,850,804,Yes
Admission Fee Challan Received,73.2,62,909,836,Yes
Admission Fee Challan Received,79.945,71,966,909,Yes
Application Fee Received,50.018,29,712,608,No
Admission Fee Challan Received,68.055,65,602,762,Yes
Admission Fee Challan Received,69.873,45,850,837,Yes
Admission Fee Challan Received,76.527,59,824,890,Yes
Application Fee Received,62.327,56,903,713,No
Application Fee Received,61.382,52,687,701,No
Application Fee Received,53.655,49,527,603,No
Application Fee Received,70.036,52,811,820,Yes
Admission Fee Challan Received,71.597,41,732,811,Yes
Application Fee Received,40.291,0,543,554,No
Application Fee Received,61.055,50,651,702,No
Application Fee Received,56.545,50,618,640,No
Application Fee Received,54,46,757,596,No
Application Fee Received,53.636,46,715,591,No
Application Fee Received,59.055,40,684,707,No
Application Fee Received,54.691,0,798,752,No
Application Fee Received,52.091,35,684,620,No
Application Fee Received,55.091,58,670,598,No
Application Fee Received,60.364,52,733,672,No
Application Fee Received,54.4,44,883,607,No
Application Fee Received,64.618,54,756,745,No
Application Fee Received,71.782,48,712,855,Yes
Application Fee Received,46.036,0,811,633,No
Application Fee Received,65.414,62,735,710,No
Application Fee Received,60.327,58,809,670,No
Application Fee Received,44.4,26,658,539,No
Application Fee Received,67.091,62,714,752,Yes
Application Fee Received,56.255,46,718,647,No
Admission Fee Challan Received,65.836,51,673,765,Yes
Application Fee Received,53.655,49,818,603,No
Application Fee Received,44.545,38,477,508,No
Application Fee Received,55.745,50,777,629,No
Application Fee Received,59.727,51,814,681,No
Application Fee Received,62.345,47,608,733,No
Application Fee Received,73.418,82,783,784,Yes
Admission Fee Challan Received,69.4,63,861,781,No
Application Fee Received,74.564,63,821,852,Yes
Application Fee Received,52.545,58,598,563,No
Application Fee Received,58.262,49,772,666,No
Application Fee Received,51.636,44,801,579,No
Application Fee Received,47.964,50,653,522,No
Application Fee Received,59.691,53,747,675,No
Admission Fee Challan Received,64.927,57,801,736,No
Application Fee Received,64.8,40,689,781,No
Application Fee Received,51.091,42,610,587,No
Application Fee Received,58.696,45,794,688,No
Application Fee Received,61.6,48,712,725,No
Application Fee Received,51.709,44,674,590,No
Application Fee Received,67.255,61,866,757,Yes
Application Fee Received,49.236,0,726,677,No
Application Fee Received,60,44,662,704,No
Application Fee Received,62.345,59,795,675,No
Application Fee Received,47.273,39,706,650,No
Application Fee Received,64.032,21,803,822,No
Application Fee Received,58.691,48,672,675,No
Application Fee Received,46.327,48,489,505,No
Application Fee Received,58.309,49,529,667,No
Application Fee Received,55.109,41,764,645,No
Application Fee Received,70,50,854,830,Yes
Application Fee Received,49.018,0,762,674,No
Application Fee Received,57.473,55,802,639,No
Application Fee Received,62.455,61,648,691,No
Application Fee Received,55.127,40,533,648,No
Application Fee Received,71.818,50,777,830,Yes
Application Fee Received,60.836,46,564,710,No
Application Fee Received,51.473,49,612,573,No
Application Fee Received,57.055,42,897,669,No
Admission Fee Challan Received,69.073,45,850,826,Yes
Application Fee Received,57.545,55,618,640,No
Application Fee Received,52.636,65,633,545,No
Application Fee Received,71.127,56,774,824,Yes
Application Fee Received,58.727,42,765,692,No
Application Fee Received,60.291,52,705,686,No
Application Fee Received,52.036,50,503,578,No
Application Fee Received,73.073,57,789,848,Yes
Application Fee Received,62.164,49,580,720,No
Application Fee Received,55.871,40,620,651,No
Application Fee Received,67.6,50,806,802,Yes
Application Fee Received,56.273,45,919,650,No
Application Fee Received,61.564,54,786,698,No
Admission Fee Challan Received,76.527,59,824,890,Yes
Application Fee Received,80.364,56,854,951,Yes
Application Fee Received,57.418,50,864,652,No
Application Fee Received,55.527,50,761,626,No
Application Fee Received,51.782,1,655,712,No
Application Fee Received,52.055,45,836,592,No
Application Fee Received,50.782,35,668,602,No
Application Fee Received,56.073,0,892,771,No
Admission Fee Challan Received,66.527,53,703,769,No
Application Fee Received,44.145,0,540,607,No
Application Fee Received,46.945,50,793,513,No
Application Fee Received,63.473,53,774,727,No
Application Fee Received,54.782,47,853,624,No
Application Fee Received,48.655,0,572,669,No
Application Fee Received,65.073,53,669,749,No
Application Fee Received,66.055,47,943,779,No
Application Fee Received,61.57,44,591,730,No
Application Fee Received,51.382,62,556,536,No
Application Fee Received,61.578,51,590,706,No
Application Fee Received,58.073,46,864,672,No
Application Fee Received,81.8,57,742,968,Yes
Application Fee Received,68.745,59,823,788,Yes
Application Fee Received,62,50,547,715,No
Application Fee Received,50.127,43,843,571,No
Application Fee Received,50.315,51,472,536,No
Application Fee Received,52.709,41,751,612,No
Application Fee Received,55.309,46,649,634,No
Application Fee Received,62.327,52,630,714,No
Admission Fee Challan Received,65.455,52,950,757,Yes
Application Fee Received,59.473,49,789,683,No
Application Fee Received,55.164,45,650,621,No
Application Fee Received,54.6,49,676,626,No
Application Fee Received,44.982,50,617,481,No
Application Fee Received,62.727,50,636,730,No
Application Fee Received,43.523,43,645,480,No
Application Fee Received,54.727,50,550,595,No
Application Fee Received,58.743,49,555,663,No
Application Fee Received,66.291,66,723,730,No
Application Fee Received,63.036,41,917,759,No
Application Fee Received,52.382,47,769,591,No
Admission Fee Challan Received,65.109,55,790,744,No
Application Fee Received,61,65,787,660,No
Application Fee Received,59.945,47,662,700,No
Application Fee Received,58.509,46,514,683,No
Application Fee Received,52.4,50,529,583,No
Admission Fee Challan Received,47.709,44,493,535,No
Application Fee Received,55.782,60,702,602,No
Application Fee Received,62.503,40,560,754,No
Application Fee Received,46.4,40,644,528,No
Application Fee Received,57.109,55,845,634,No
Application Fee Received,51.345,48,568,574,No
Application Fee Received,59.036,61,626,644,No
Application Fee Received,52.182,50,569,580,No
Application Fee Received,45.018,0,555,619,No
Application Fee Received,62.089,49,537,704,No
Application Fee Received,58.873,38,866,710,No
Application Fee Received,51.006,53,592,560,No
Application Fee Received,52.255,50,783,581,No
Application Fee Received,72.982,58,892,844,Yes
Application Fee Received,60.109,50,610,689,No
Application Fee Received,48.218,0,567,663,No
Admission Fee Challan Received,66.327,44,795,791,Yes
Application Fee Received,60.509,40,656,722,No
Application Fee Received,65.327,55,683,752,No
Application Fee Received,47.236,46,569,503,No
Application Fee Received,54,46,643,616,No
Application Fee Received,49.524,0,555,680,No
Application Fee Received,59.891,54,814,675,No
Application Fee Received,50.473,0,746,699,No
Application Fee Received,59.636,48,708,668,No
Application Fee Received,48.509,0,788,667,No
Application Fee Received,54.109,44,769,623,No
Application Fee Received,67.382,50,683,794,Yes
Application Fee Received,51.436,47,804,578,No
Application Fee Received,54.036,48,771,611,No
Application Fee Received,43.944,0,743,609,No
Application Fee Received,48.073,31,526,666,No
Application Fee Received,62.2,47,800,726,No
Application Fee Received,42.036,0,809,583,No
Application Fee Received,48.436,0,688,666,No
Application Fee Received,67.073,55,800,771,Yes
Application Fee Received,62.574,50,583,727,No
Application Fee Received,55.527,50,647,631,No
Admission Fee Challan Received,66.036,52,802,765,Yes
Application Fee Received,55.964,50,640,632,No
Admission Fee Challan Received,71.927,70,982,975,No
Application Fee Received,58.945,38,779,706,No
Application Fee Received,62.036,48,691,721,No
Application Fee Received,68.636,65,751,765,Yes
Application Fee Received,60.364,0,900,830,No
Application Fee Received,50.473,0,626,674,No
Application Fee Received,66.884,40,820,819,No
Application Fee Received,57.255,55,662,636,No
Application Fee Received,43.345,0,714,596,No
Application Fee Received,54.855,47,643,625,No
Application Fee Received,56.8,64,708,605,No
Application Fee Received,50.018,29,712,608,No
Application Fee Received,52.436,44,615,600,No
Application Fee Received,62.945,46,855,632,No
Application Fee Received,57.927,50,588,659,No
Application Fee Received,60.255,54,809,680,No
Application Fee Received,64.564,49,729,753,No
Application Fee Received,61.903,48,617,724,No
Application Fee Received,64.291,52,762,746,No
Application Fee Received,58.262,49,772,666,No
Application Fee Received,68.745,59,823,788,Yes
Application Fee Received,51.006,53,592,560,No
Application Fee Received,43.944,0,743,609,No
Application Fee Received,67.382,50,683,794,Yes
Admission Fee Challan Received,72.036,66,933,814,Yes
Admission Fee Challan Received,67.6,58,850,770,Yes
Admission Fee Challan Received,72.745,63,836,827,Yes
Admission Fee Challan Received,76.549,46,917,912,Yes
Admission Fee Challan Received,71.818,54,876,839,Yes
Admission Fee Challan Received,70.345,59,811,810,Yes
Admission Fee Challan Received,72.606,49,550,863,Yes
Application Fee Received,54.764,52,670,610,No
Application Fee Received,63.262,44,526,763,No
Application Fee Received,56.044,50,705,617,No
Application Fee Received,54.77,40,565,648,No
Application Fee Received,64.509,44,784,771,No
Application Fee Received,66.191,17,768,862,No
Application Fee Received,65.727,53,805,738,No
Application Fee Received,54.818,49,683,619,No
Application Fee Received,59.345,48,831,684,No
Application Fee Received,57.436,41,702,682,No
Application Fee Received,41.018,24,562,498,No
Application Fee Received,56.8,52,876,648,No
Application Fee Received,55.418,48,544,635,No
Application Fee Received,53.909,59,653,579,No
Application Fee Received,50.805,0,677,703,No
Application Fee Received,61.909,47,689,722,No
Application Fee Received,58.327,56,625,648,No
Admission Fee Challan Received,68.036,46,847,809,Yes
Application Fee Received,58.291,46,719,655,No
Application Fee Received,49.545,55,596,530,No
Application Fee Received,49.455,40,771,570,No
Application Fee Received,65.475,41,708,775,Yes
Admission Fee Challan Received,67.618,49,765,795,Yes
Application Fee Received,45.382,0,591,624,No
Application Fee Received,58.6,49,526,671,No
Application Fee Received,60,56,735,671,No
Application Fee Received,60.709,45,745,711,No
Admission Fee Challan Received,68.606,60,861,760,No
Application Fee Received,54.382,45,671,624,No
Application Fee Received,50.164,45,662,571,No
Application Fee Received,77.564,62,920,896,Yes
Application Fee Received,68.655,0,712,944,No
Admission Fee Challan Received,67.473,55,588,771,Yes
Application Fee Received,54.709,47,723,623,No
Admission Fee Challan Received,57.382,0,729,789,No
Application Fee Received,56.715,51,794,624,No
Application Fee Received,62.727,46,755,736,No
Application Fee Received,62.418,59,708,696,No
Application Fee Received,70.891,47,914,844,Yes
Application Fee Received,55.982,41,714,657,No
Application Fee Received,63.388,40,509,766,No
Application Fee Received,67.782,56,782,758,Yes
Application Fee Received,56.255,50,558,636,No
Application Fee Received,60.8,40,837,706,No
Application Fee Received,57.327,51,724,648,No
Application Fee Received,50.455,45,611,570,No
Application Fee Received,54.727,42,482,637,No
Application Fee Received,52.436,44,563,600,No
Application Fee Received,57.879,33,598,695,No
Application Fee Received,57.328,41,590,695,No
Application Fee Received,60.836,54,774,693,No
Application Fee Received,46.091,37,613,532,No
Application Fee Received,38.455,33,630,438,No
Application Fee Received,56.236,43,547,660,No
Application Fee Received,67.4,57,841,770,Yes
Application Fee Received,54.036,56,593,589,No
Application Fee Received,55.527,42,729,648,No
Application Fee Received,49.382,40,600,569,No
Application Fee Received,55.036,53,732,611,No
Admission Fee Challan Received,66.109,44,811,788,Yes
Application Fee Received,57.964,48,531,665,No
Application Fee Received,63.018,50,670,709,No
Application Fee Received,58.182,48,747,668,No
Application Fee Received,62.851,40,597,754,No
Application Fee Received,63.764,57,724,720,No
Application Fee Received,54.764,52,670,610,No
Application Fee Received,64.691,50,720,757,No
Application Fee Received,63.545,61,714,706,No
Admission Fee Challan Received,51.491,40,647,598,No
Application Fee Received,47.891,46,672,532,No
Application Fee Received,47.164,50,679,511,No
Admission Fee Challan Received,66.127,55,809,758,Yes
Admission Fee Challan Received,53.782,46,748,613,No
Application Fee Received,51.491,40,594,598,No
Application Fee Received,64.145,52,840,739,No
Application Fee Received,64.691,54,612,741,No
Application Fee Received,62.473,60,819,694,No
Application Fee Received,60.982,58,650,679,No
Admission Fee Challan Received,69.836,51,738,820,Yes
Application Fee Received,55.236,46,735,633,No
Application Fee Received,63.262,44,526,763,No
Application Fee Received,62.4,40,650,748,No
Application Fee Received,43.491,0,644,608,No
Application Fee Received,64.473,34,662,793,No
Application Fee Received,72.6,67,895,814,Yes
Application Fee Received,57.455,44,642,674,No
Application Fee Received,62.127,43,854,736,No
Application Fee Received,68.091,55,748,765,Yes
Application Fee Received,54.77,40,565,648,No
Application Fee Received,63.582,55,806,723,No
Admission Fee Challan Received,70.202,59,867,800,Yes
Admission Fee Challan Received,70.145,50,645,827,Yes
Application Fee Received,58.345,47,697,673,No
Application Fee Received,61.945,57,731,695,No
Application Fee Received,53.2,46,798,605,No
Application Fee Received,63.618,53,826,729,No
Application Fee Received,63.091,46,645,741,No
Application Fee Received,62.145,46,694,728,No
Application Fee Received,49.309,48,650,551,No
Application Fee Received,51.6,50,708,577,No
Application Fee Received,52.491,49,629,587,No
Application Fee Received,61.109,47,721,711,No
Application Fee Received,46.909,40,641,535,No
Application Fee Received,58.236,41,696,688,No
Application Fee Received,57.873,45,518,672,No
Application Fee Received,56.218,57,583,773,No
Application Fee Received,55.6,50,756,627,No
Application Fee Received,72.618,54,868,850,Yes
Application Fee Received,59.018,46,758,685,No
Application Fee Received,55.398,49,753,592,No
Application Fee Received,56.327,50,855,642,No
Application Fee Received,63.636,56,654,721,No
Application Fee Received,41.618,43,524,459,No
Application Fee Received,58.6,49,633,671,No
Application Fee Received,69.582,53,886,811,Yes
Application Fee Received,50.727,50,651,565,No
Application Fee Received,61.745,60,767,684,No
Application Fee Received,57.855,54,748,647,No
Application Fee Received,62.345,43,672,719,No
Application Fee Received,53.345,50,551,596,No
Application Fee Received,73.538,60,788,846,No
Application Fee Received,64.164,51,829,742,No
Application Fee Received,63,51,658,726,No
Application Fee Received,51.145,55,665,552,No
Application Fee Received,60.673,47,773,705,No
Application Fee Received,52.364,40,816,615,No
Admission Fee Challan Received,72.182,50,904,860,Yes
Application Fee Received,53.164,0,731,731,No
Application Fee Received,61.091,52,755,697,No
Admission Fee Challan Received,65.927,62,798,741,Yes
Application Fee Received,58.945,46,776,684,No
Application Fee Received,54.4,60,668,583,No
Application Fee Received,57.774,50,655,661,No
Application Fee Received,63.8,47,807,748,No
Application Fee Received,52.291,40,549,609,No
Application Fee Received,66.364,54,758,764,No
Application Fee Received,62.2,63,845,682,No
Application Fee Received,55.836,49,678,633,No
Application Fee Received,47,51,663,516,No
Application Fee Received,69.673,0,891,958,No
Application Fee Received,60.309,51,790,689,No
Application Fee Received,47.418,40,753,542,No
Admission Fee Challan Received,65.298,50,657,765,Yes
Admission Fee Challan Received,67.036,57,644,765,Yes
Admission Fee Challan Received,69.127,50,748,813,Yes
Application Fee Received,51.727,47,716,582,No
Application Fee Received,57.055,42,733,679,No
Application Fee Received,43.042,0,769,596,No
Application Fee Received,56.364,44,672,654,No
Application Fee Received,50.309,41,613,579,No
Application Fee Received,64.764,62,703,720,No
Application Fee Received,58.182,0,769,800,No
Application Fee Received,56.044,50,705,617,No
Application Fee Received,53.782,42,747,624,No
Application Fee Received,53.855,50,734,603,No
Application Fee Received,56.182,58,749,618,No
Application Fee Received,61.945,45,484,728,No
Application Fee Received,53.345,50,781,596,No
Application Fee Received,52.655,52,574,586,No
Application Fee Received,41.345,38,513,469,No
Application Fee Received,65.945,53,697,766,Yes
Application Fee Received,64.509,44,784,771,No
Application Fee Received,72.225,47,793,868,Yes
Application Fee Received,67.527,50,793,796,No
Application Fee Received,53.455,44,812,614,No
Admission Fee Challan Printed,66.039,55,718,782,Yes
Admission Fee Challan Received,65.291,61,813,730,Yes
Application Fee Received,52.145,36,630,607,No
Application Fee Received,56.673,51,738,639,No
Application Fee Received,53.655,45,707,614,No
Application Fee Received,52.291,48,734,592,No
Admission Fee Challan Received,66.273,59,689,749,Yes
Application Fee Received,53.455,48,475,613,No
Application Fee Received,65.655,37,882,801,No
Application Fee Received,59.382,50,832,679,No
Application Fee Received,56.582,0,917,778,No
Application Fee Received,54.255,44,649,605,No
Application Fee Received,56.582,0,917,778,No
Admission Fee Challan Received,69.964,48,840,830,Yes
Admission Fee Challan Received,73.2,58,877,847,Yes
Admission Fee Challan Received,67.709,60,782,766,Yes
Admission Fee Challan Printed,0,30,714,740,No
Admission Fee Challan Received,68.4,47,553,811,Yes
Admission Fee Challan Received,68.636,49,662,814,Yes
Admission Fee Challan Received,69.309,64,917,777,Yes
Admission Fee Challan Printed,50.252,0,636,695,No
Admission Fee Challan Received,81.673,60,874,938,Yes
Admission Fee Challan Received,67.673,50,686,793,Yes
Admission Fee Challan Printed,50.013,0,812,692,No
Admission Fee Challan Received,70.2,55,832,819,Yes
Admission Fee Challan Received,71.182,57,653,822,Yes
Admission Fee Challan Received,68.436,56,928,787,Yes
Application Fee Received,68.518,0,715,942,No
Application Fee Received,60.982,50,593,706,No
Application Fee Received,79.309,70,892,898,Yes
Application Fee Received,61.29,33,609,718,No
Application Fee Received,45.729,31,636,543,No
Application Fee Received,43.77,100,625,606,No
Application Fee Received,60.982,50,593,706,No
Application Fee Received,65.964,52,859,764,Yes
Application Fee Received,63.473,49,818,743,No
Application Fee Received,63.382,50,589,734,No
Application Fee Received,70.327,64,789,796,No
Application Fee Received,53.291,41,778,620,No
Application Fee Received,57.491,50,551,658,No
Application Fee Received,56.709,57,875,623,No
Application Fee Received,44.873,0,798,617,No
Application Fee Received,43.345,48,549,469,No
Admission Fee Challan Received,65.411,50,566,766,Yes
Application Fee Received,56.255,50,613,636,No
Application Fee Received,60.091,55,695,675,No
Application Fee Received,79.309,70,892,898,Yes
Application Fee Received,56.273,37,688,672,No
Application Fee Received,54.582,46,830,624,No
Admission Fee Challan Received,67,47,799,792,Yes
Application Fee Received,50.582,46,581,574,No
Admission Fee Challan Printed,68.891,51,892,807,Yes
Application Fee Received,52.073,0,737,721,No
Application Fee Received,56.509,0,788,777,No
Application Fee Received,45.729,31,636,543,No
Application Fee Received,50.382,45,703,569,No
Application Fee Received,57.455,44,649,679,No
Application Fee Received,52.036,42,639,600,No
Application Fee Received,56.236,55,614,622,No
Application Fee Received,54.673,61,546,584,No
Application Fee Received,52.764,50,885,588,No
Application Fee Received,61.29,33,609,718,No
Application Fee Received,68.518,0,715,942,No
Admission Fee Challan Received,52.745,43,733,607,No
Application Fee Received,70.327,48,844,815,Yes
Application Fee Received,63.109,57,801,711,No
Application Fee Received,49.382,52,609,536,No
Application Fee Received,58.909,56,638,661,No
Application Fee Received,72.236,71,819,798,No
Admission Fee Challan Received,65.777,40,638,799,Yes
Admission Fee Challan Received,53.491,46,669,609,No
Application Fee Received,58.891,45,734,686,No
Application Fee Received,56.127,53,546,606,No
Application Fee Received,59.158,49,706,663,No
Application Fee Received,74.855,59,912,867,Yes
Application Fee Received,58.4,52,806,660,No
Application Fee Received,62.964,57,756,709,No
Application Fee Received,44.945,48,499,486,No
Admission Fee Challan Received,67.346,44,538,805,Yes
Application Fee Received,51.709,44,698,590,No
Application Fee Received,52.509,48,700,590,No
Admission Fee Challan Received,74.382,61,942,860,Yes
Admission Fee Challan Received,72.964,51,823,863,Yes
Admission Fee Challan Received,78.909,60,793,925,Yes
Admission Fee Challan Received,74.982,68,651,844,Yes
Admission Fee Challan Printed,75.2,76,747,825,Yes
