Application Status,Merit Score,Admission Test,Admission Test 2,particular_test_total2,ssc_obtained,Terminal Degree,Offered
Application Fee Received,919,50,0,,857,869,No
Application Fee Received,1069,67,0,0,1026,1007,Yes
Application Fee Received,912.444,58,0,,775,858,No
Application Fee Received,1091,60,0,0,963,991,Yes
Application Fee Received,933,61,0,0,924,872,No
Application Fee Received,865.091,44,44,1100,867,821,No
Application Fee Received,933,67,0,0,818,866,No
Application Fee Received,796,44,0,0,804,752,No
Application Fee Received,727,61,0,0,786,666,No
Application Fee Received,899,48,0,0,788,851,No
Application Fee Received,959,47,0,0,920,912,No
Application Fee Received,875,59,0,0,636,816,No
Application Fee Received,805,59,0,,751,746,No
Application Fee Received,827,0,0,0,677,827,No
Application Fee Received,842,31,0,,905,811,No
Application Fee Received,972,63,0,0,824,909,No
Application Fee Received,834,51,0,0,867,783,No
Application Fee Received,876,0,0,0,918,876,No
Application Fee Received,846,47,0,0,878,799,No
Application Fee Received,857,56,0,0,823,801,No
Application Fee Received,913,50,0,0,921,863,No
Application Fee Received,805,58,0,0,813,747,No
Application Fee Received,752,52,0,,716,700,No
Application Fee Received,1013,44,0,0,951,969,No
Application Fee Received,870,0,0,1100,891,870,No
Application Fee Received,1007,57,0,0,934,950,No
Application Fee Received,822.273,27,27,1100,777,800,No
Application Fee Received,842,52,0,0,709,790,No
Application Fee Received,955,62,0,0,899,893,No
Application Fee Received,965,52,0,0,931,913,No
Application Fee Received,1086.636,71,71,1100,1008,1015,Yes
Application Fee Received,957.455,75,75,1100,829,887,No
Application Fee Received,891,75,0,0,844,816,No
Application Fee Received,917,53,0,,777,864,No
Application Fee Received,971,62,0,,1010,914,No
Application Fee Received,946,50,0,0,969,896,No
Application Fee Received,987.455,56,56,1100,963,931,No
Application Fee Received,804,52,0,,805,752,No
Application Fee Received,883,46,0,0,877,837,No
Application Fee Received,799,50,0,,781,749,No
Application Fee Received,898,54,0,,810,844,No
Application Fee Received,833,64,0,,946,774,No
Application Fee Received,831.733,70,0,,759,766,No
Application Fee Received,959,56,0,0,817,903,No
Application Fee Received,966,60,0,0,844,886,No
Application Fee Received,867,50,0,0,904,817,No
Application Fee Received,939,50,0,,895,889,No
Application Fee Received,1006.636,63,63,1100,795,943,No
Application Fee Received,795,50,0,0,806,745,No
Application Fee Received,1011,62,0,,967,954,No
Application Fee Received,956.455,65,65,1100,905,891,No
Application Fee Received,1010,62,62,1100,957,964,No
Application Fee Received,788,45,0,0,791,743,No
Application Fee Received,819,0,0,0,861,819,No
Application Fee Received,899,0,0,0,903,899,No
Application Fee Received,847.871,55,0,,764,792,No
Application Fee Received,801,0,0,0,876,801,No
Application Fee Received,810,52,0,,617,758,No
Application Fee Received,927,64,0,0,839,863,No
Application Fee Received,823,0,0,0,886,823,No
Application Fee Received,985.556,109,0,0,942,925,No
Application Fee Received,1038,68,0,,912,970,Yes
Application Fee Received,976.444,49,0,0,908,927,No
Application Fee Received,923,59,0,0,892,864,No
Application Fee Received,976.091,69,69,1100,813,907,No
Application Fee Received,956,0,0,0,819,956,No
Application Fee Received,709,40,0,0,859,669,No
Application Fee Received,1033,42,3,1100,840,933,No
Admission Fee Challan Received,1051,70,0,0,956,986,Yes
Application Fee Received,839,37,0,0,814,802,No
Application Fee Received,1024,82,82,1100,972,947,No
Application Fee Received,851,51,0,0,888,800,No
Application Fee Received,1006.727,82,82,1100,804,929,No
Application Fee Received,958,68,0,,980,890,No
Application Fee Received,1033,55,0,,900,978,Yes
Application Fee Received,684,54,0,0,810,635,No
Application Fee Received,756,0,0,0,796,756,No
Application Fee Received,940,52,0,0,921,888,No
Application Fee Received,831.727,22,22,1100,873,809,No
Application Fee Received,938.364,43,43,1100,850,895,No
Application Fee Received,956,56,0,,926,900,No
Application Fee Received,744,0,0,0,804,744,No
Application Fee Received,676.818,42,0,0,714,673,No
Application Fee Received,973.317,50,0,,912,908,No
Application Fee Received,925,58,0,0,846,867,No
Application Fee Received,963,57,0,0,903,906,No
Application Fee Received,798,57,0,0,875,741,No
Application Fee Received,733,46,0,,906,687,No
Application Fee Received,1003,73,0,0,930,940,No
Application Fee Received,976,68,0,0,898,908,No
Application Fee Received,801.842,51,0,,689,755,No
Application Fee Received,923,51,0,,936,872,No
Application Fee Received,817,1,0,0,917,817,No
Application Fee Received,939,64,0,0,789,875,No
Application Fee Received,928,54,0,0,910,874,No
Application Fee Received,750,47,0,0,688,703,No
Application Fee Received,915,52,0,0,874,863,No
Application Fee Received,871,0,0,0,862,871,No
Application Fee Received,853,53,0,,909,800,No
Application Fee Received,907.333,48,0,,923,854,No
Application Fee Received,940,55,0,0,801,885,No
Application Fee Received,1061.364,78,78,1100,930,983,Yes
Admission Fee Challan Printed,0,67,0,0,978,980,No
Application Fee Received,907,52,0,0,772,855,No
Application Fee Received,928,0,0,0,903,928,No
Application Fee Received,676,53,0,0,703,623,No
Application Fee Received,919,57,0,0,794,862,No
Application Fee Received,1013.727,57,57,1100,914,956,No
Application Fee Received,1030,58,0,,924,972,Yes
Application Fee Received,884.667,42,0,0,836,838,No
Application Fee Received,817,59,0,0,808,758,No
Application Fee Received,882.727,32,32,1100,808,850,No
Application Fee Received,943.644,73,0,,860,875,No
Application Fee Received,1000,55,0,0,867,900,No
Application Fee Received,893,61,0,,752,832,No
Application Fee Received,1004.909,80,80,1100,950,929,No
Application Fee Received,911,58,0,,844,853,No
Application Fee Received,976,72,0,0,876,904,No
Application Fee Received,945,63,0,0,913,882,No
Application Fee Received,935,65,0,,887,875,No
Application Fee Received,935,77,77,1100,886,885,No
Application Fee Received,1023.364,66,66,1100,956,957,No
Application Fee Received,827,53,0,,919,774,No
Application Fee Received,1017,58,0,0,864,959,No
Application Fee Received,879,52,0,0,789,827,No
Application Fee Received,1057.909,65,65,1100,872,992,Yes
Application Fee Received,981.909,58,58,1100,950,928,No
Application Fee Received,804,50,0,,729,754,No
Application Fee Received,902.636,49,49,1100,824,853,No
Application Fee Received,808,55,0,0,777,753,No
Application Fee Received,930,65,0,0,861,865,No
Application Fee Received,1017.273,72,72,1100,870,945,No
Application Fee Received,794,50,0,,604,744,No
Application Fee Received,1023.091,70,70,1100,806,953,No
Application Fee Received,872.818,31,31,1100,904,841,No
Application Fee Received,958,71,0,0,880,887,No
Application Fee Received,1044,71,70,1100,914,978,Yes
Application Fee Received,812,52,0,0,850,760,No
Application Fee Received,967,58,0,,921,909,No
Application Fee Received,873.909,55,55,1100,822,818,No
Application Fee Received,877.455,45,45,1100,669,812,No
Application Fee Received,894.444,40,0,0,802,850,No
Application Fee Received,588,42,0,,630,556,No
Application Fee Received,956,52,0,,902,904,No
Application Fee Received,975,71,0,0,966,909,No
Application Fee Received,880,68,0,,865,812,No
Application Fee Received,935,56,0,,804,884,No
Application Fee Received,956,52,0,,902,904,No
Application Fee Received,895.273,57,57,1100,872,848,No
Application Fee Received,893,61,0,,752,832,No
Application Fee Received,982.818,64,64,1100,962,928,No
Application Fee Received,1058.182,67,67,1100,971,991,Yes
Application Fee Received,833,64,0,,946,774,No
Application Fee Received,588,42,0,,630,556,No
Application Fee Received,831.727,22,22,1100,873,809,No
Application Fee Received,733,46,0,,906,687,No
Application Fee Received,795.099,9,0,,576,710,No
Application Fee Received,1019,61,0,,951,963,No
Application Fee Received,43,42,0,,852,1,No
Application Fee Received,902,51,0,0,806,856,No
Application Fee Received,54,53,0,,798,1,No
Application Fee Received,1024,82,82,1100,972,947,No
Admission Fee Challan Received,0,0,0,,634,568,No
Application Fee Received,855.364,38,38,1100,846,817,No
Application Fee Received,871,61,0,,847,810,No
Application Fee Received,985,64,0,,820,926,No
Application Fee Received,857,56,0,,781,801,No
Application Fee Received,1066.636,76,76,1100,966,990,Yes
Application Fee Received,857,49,0,,875,813,No
Application Fee Received,896,73,0,,977,823,No
Application Fee Received,1021,62,0,0,896,959,No
Application Fee Received,975,60,0,,845,915,No
Application Fee Received,852,0,0,0,851,852,No
Application Fee Received,907,52,0,0,798,855,No
Application Fee Received,970,70,0,0,927,900,No
Application Fee Received,926,65,0,,890,871,No
Application Fee Received,857,40,0,,680,817,No
Application Fee Received,859,50,50,1100,898,809,No
Application Fee Received,912,55,0,0,788,837,No
Application Fee Received,887,0,0,0,788,887,No
Application Fee Received,1025,67,0,,944,958,Yes
Application Fee Received,871,46,0,,903,825,No
Application Fee Received,810,47,0,,756,763,No
Application Fee Received,900,57,0,0,870,843,No
Application Fee Received,954,52,0,,886,902,No
Application Fee Received,782,50,0,0,884,712,No
Application Fee Received,1031,75,0,0,904,956,Yes
Application Fee Received,732,42,0,0,843,690,No
Application Fee Received,933,47,0,0,921,886,No
Application Fee Received,744.96,66,0,,802,683,No
Application Fee Received,847,58,0,0,838,789,No
Application Fee Received,982,40,40,1100,888,862,No
Application Fee Received,891,48,0,,967,853,No
Application Fee Received,813.444,49,0,0,770,759,No
Application Fee Received,878,55,0,0,825,823,No
Application Fee Received,789,0,0,0,714,789,No
Application Fee Received,917,56,0,0,837,817,No
Application Fee Received,920.167,65,48,1100,866,866,No
Application Fee Received,874,44,0,0,794,830,No
Application Fee Received,777,44,0,,870,733,No
Application Fee Received,982.667,51,0,,961,926,No
Application Fee Received,985,53,0,0,764,942,No
Application Fee Received,1043,61,0,,942,962,Yes
Application Fee Received,912,56,0,0,940,856,No
Application Fee Received,799,51,0,0,865,748,No
Application Fee Received,779,54,0,0,776,705,No
Application Fee Received,839.545,30,30,1100,818,809,No
Application Fee Received,1013,62,0,,902,956,No
Admission Fee Challan Received,1085,54,0,0,906,985,Yes
Application Fee Received,872,53,0,,794,799,No
Application Fee Received,919,45,0,0,892,874,No
Application Fee Received,734,46,0,,738,688,No
Application Fee Received,1019,55,0,0,907,964,No
Application Fee Received,855.364,38,38,1100,846,817,No
Application Fee Received,985,64,0,,820,926,No
Application Fee Received,835,57,0,,793,778,No
Application Fee Received,1045,70,70,1100,950,975,Yes
Application Fee Received,824,50,0,,858,779,No
Application Fee Received,943,57,0,,890,886,No
Application Fee Received,968.545,52,52,1100,916,916,No
Application Fee Received,842,43,0,0,834,784,No
Application Fee Received,915,55,0,,806,865,No
Application Fee Received,1042.091,73,73,1100,854,969,Yes
Application Fee Received,923,66,0,0,847,857,No
Application Fee Received,1022.444,58,0,0,870,958,No
Application Fee Received,895,0,0,0,953,895,No
Application Fee Received,908,44,0,0,882,864,No
Application Fee Received,970.636,74,74,1100,813,901,No
Application Fee Received,920,57,0,0,871,863,No
Application Fee Received,871,0,0,0,833,876,No
Application Fee Received,872,0,0,0,707,872,No
Application Fee Received,849,50,0,0,882,804,No
Admission Fee Challan Received,1036,68,0,,948,968,Yes
Application Fee Received,1003,45,0,0,841,953,No
Application Fee Received,872,53,0,0,840,819,No
Application Fee Received,963,57,0,0,754,906,No
Application Fee Received,993,63,0,0,979,930,No
Application Fee Received,800,45,0,,821,755,No
Application Fee Received,830,0,0,1100,881,830,No
Application Fee Received,948,50,0,0,785,898,No
Application Fee Received,941,50,0,0,933,891,No
Application Fee Received,949,0,0,0,868,949,No
Application Fee Received,881,40,0,0,882,841,No
Application Fee Received,882,54,0,0,944,828,No
Application Fee Received,838,38,0,0,883,800,No
Application Fee Received,715,0,0,0,727,715,No
Application Fee Received,898,44,0,,930,859,No
Application Fee Received,885,51,0,0,739,834,No
Application Fee Received,868,60,0,0,623,813,No
Application Fee Received,1037.727,72,72,1100,903,970,Yes
Application Fee Received,839,51,0,0,819,788,No
Application Fee Received,954,57,0,,719,897,No
Application Fee Received,290,20,0,0,752,280,No
Application Fee Received,937,48,0,0,861,889,No
Application Fee Received,830,44,0,,801,786,No
Application Fee Received,1019,57,0,0,914,962,No
Application Fee Received,946,51,0,0,826,895,No
Application Fee Received,932,51,0,0,806,861,No
Application Fee Received,635,46,0,0,756,589,No
Application Fee Received,1070,72,0,0,972,1003,Yes
Application Fee Received,1028,54,0,,903,974,Yes
Application Fee Received,832,0,0,0,798,832,No
Application Fee Received,836,53,0,,866,783,No
Application Fee Received,904,56,0,0,801,848,No
Application Fee Received,974,66,0,,971,918,No
Application Fee Received,1028,67,0,1100,971,961,Yes
Application Fee Received,990.277,63,0,,955,932,No
Application Fee Received,870,0,0,0,854,870,No
Application Fee Received,839,43,0,0,908,796,No
Application Fee Received,910,69,0,,857,841,No
Application Fee Received,888,61,0,,707,827,No
Application Fee Received,949.455,80,80,1100,828,869,No
Application Fee Received,969.273,78,78,1100,937,891,No
Application Fee Received,958,60,0,0,892,883,No
Application Fee Received,849,50,0,0,688,779,No
Application Fee Received,891,60,0,,790,831,No
Application Fee Received,1017,67,0,0,967,950,No
Application Fee Received,906.727,45,45,1100,931,861,No
Application Fee Received,766,62,0,0,819,704,No
Application Fee Received,887,59,0,,926,828,No
Application Fee Received,943,59,0,0,866,894,No
Application Fee Received,945,61,0,0,826,884,No
Application Fee Received,821.624,44,0,,844,777,No
Application Fee Received,944,57,0,0,913,887,No
Application Fee Received,649,43,0,0,734,606,No
Application Fee Received,879,57,0,0,820,822,No
Application Fee Received,951,0,0,1100,912,951,No
Application Fee Received,669,48,0,0,758,621,No
Application Fee Received,869,0,0,,895,869,No
Application Fee Received,785,50,0,0,737,735,No
Application Fee Received,754,59,0,0,795,675,No
Application Fee Received,865,53,0,0,839,812,No
Application Fee Received,920,0,0,0,892,920,No
Application Fee Received,993,63,0,,894,930,No
Application Fee Received,983,74,0,,861,909,No
Application Fee Received,807,51,0,,879,756,No
Application Fee Received,871,61,0,,847,810,No
Application Fee Received,995,63,0,,893,932,No
Application Fee Received,873,50,0,,931,823,No
Application Fee Received,906,55,0,0,937,851,No
Application Fee Received,995,63,0,,893,932,No
Application Fee Received,873,50,0,,931,823,No
Application Fee Received,967,59,0,,931,908,No
Application Fee Received,907,53,0,0,840,854,No
Application Fee Received,941.367,63,63,1100,967,877,No
Application Fee Received,949.455,65,65,1100,945,884,No
Application Fee Received,602,58,0,,676,544,No
Application Fee Received,944,51,0,,888,893,No
Admission Fee Challan Received,1029,63,0,0,885,966,Yes
Application Fee Received,983,66,66,1100,924,931,No
Application Fee Received,832,56,0,0,793,776,No
Application Fee Received,945,54,0,0,960,896,No
Application Fee Received,821,36,0,0,842,785,No
Application Fee Received,945,51,0,,960,894,No
Application Fee Received,875,53,0,0,594,822,No
Application Fee Received,1032.636,70,70,1100,908,972,Yes
Application Fee Received,853,55,0,,789,798,No
Application Fee Received,801.416,68,0,,840,738,No
Application Fee Received,749,31,0,0,573,718,No
Application Fee Received,937,0,0,0,849,917,No
Application Fee Received,757,0,0,,660,737,No
Application Fee Received,1020,67,0,0,945,958,No
Application Fee Received,883,50,0,,786,833,No
Application Fee Received,953,45,0,0,769,913,No
Application Fee Received,964.364,36,36,1100,932,928,No
Admission Fee Challan Received,1052,74,0,0,906,983,Yes
Application Fee Received,1020,64,0,,792,956,No
Application Fee Received,813,41,0,0,672,772,No
Application Fee Received,945.091,60,60,1100,816,885,No
Admission Fee Challan Received,944,54,0,0,865,890,No
Application Fee Received,911,42,0,0,870,869,No
Application Fee Received,1030.273,77,77,1100,779,953,Yes
Application Fee Received,958.818,56,56,1100,843,902,No
Application Fee Received,998,63,0,,922,935,No
Application Fee Received,1017.455,59,59,1100,633,958,No
Application Fee Received,942.644,52,0,,883,875,No
Application Fee Received,873,0,0,,891,873,No
Application Fee Received,921.222,65,0,0,929,849,No
Application Fee Received,934,0,0,0,897,939,No
Application Fee Received,888,46,0,0,778,842,No
Application Fee Received,744,0,0,0,731,744,No
Application Fee Received,927.5,75,50,1100,904,865,No
Application Fee Received,1032,65,0,0,938,967,Yes
Application Fee Received,1014.727,54,54,1100,940,960,No
Application Fee Received,992,64,0,0,931,928,No
Application Fee Received,956,55,0,,918,901,No
Application Fee Received,831.941,73,0,0,780,789,No
Application Fee Received,744.333,30,0,0,755,711,No
Application Fee Received,652,39,0,0,819,613,No
Application Fee Received,895,30,0,0,939,845,No
Application Fee Received,855,61,0,,838,794,No
Application Fee Received,887,56,0,,851,831,No
Application Fee Received,785,32,0,0,847,733,No
Application Fee Received,1040.636,63,63,1100,923,977,Yes
Application Fee Received,947,60,0,,743,892,No
Application Fee Received,903,0,0,0,882,903,No
Application Fee Received,1000,64,0,,893,936,No
Application Fee Received,1025,56,0,,871,969,Yes
Application Fee Received,869.911,348,72,1100,814,801,No
Application Fee Received,964.545,46,46,1100,950,918,No
Application Fee Received,702,46,0,,694,656,No
Application Fee Received,748,33,0,,932,715,No
Application Fee Received,1039.182,76,76,1100,772,968,Yes
Application Fee Received,980,52,0,0,850,908,No
Application Fee Received,741,0,0,0,912,741,No
Application Fee Received,975.909,65,65,1100,898,910,No
Application Fee Received,972,53,0,0,942,919,No
Application Fee Received,791,50,0,0,749,741,No
Application Fee Received,965,60,0,,987,905,No
Application Fee Received,934,52,0,0,834,882,No
Application Fee Received,932,52,0,,941,880,No
Application Fee Received,812,53,0,0,671,759,No
Application Fee Received,880,0,0,0,768,880,No
Application Fee Received,956,54,0,,871,901,No
Application Fee Received,997,59,0,0,952,938,No
Application Fee Received,824,50,0,,858,779,No
Application Fee Received,941.367,63,63,1100,967,877,No
Application Fee Received,879,57,0,0,820,822,No
Application Fee Received,945,51,0,,960,894,No
Application Fee Received,821.624,44,0,,844,777,No
Application Fee Received,801.416,68,0,,840,738,No
Application Fee Received,947,60,0,,743,892,No
Application Fee Received,744.96,66,0,,802,683,No
Application Fee Received,915,63,0,,754,862,No
Application Fee Received,1039,85,85,1100,972,983,Yes
Application Fee Received,884.636,53,53,1100,860,836,No
Application Fee Received,830,60,0,,767,770,No
Application Fee Received,1082.406,68,0,,1002,1019,No
Application Fee Received,783,54,0,0,752,729,No
Application Fee Received,956,65,0,,969,896,No
Application Fee Received,951,77,0,,936,879,No
Application Fee Received,978,70,70,1100,770,908,No
Application Fee Received,819,51,0,,794,768,No
Application Fee Received,1023,66,0,,928,962,No
Application Fee Received,800,50,0,0,743,700,No
Application Fee Received,931,55,0,0,853,876,No
Application Fee Received,1026,61,0,0,890,965,Yes
Admission Fee Challan Received,1034,75,0,0,912,959,Yes
Application Fee Received,836,52,0,0,869,784,No
Application Fee Received,881,59,0,0,737,822,No
Application Fee Received,785,0,0,0,768,785,No
Application Fee Received,854,51,0,0,808,808,No
Application Fee Received,931.636,63,63,1100,891,868,No
Application Fee Received,1038.273,77,77,1100,849,961,Yes
Application Fee Received,772,57,0,0,737,715,No
Application Fee Received,885.091,39,39,1100,761,831,No
Application Fee Received,846.222,85,0,0,888,799,No
Application Fee Received,931,50,0,0,674,881,No
Application Fee Received,963,55,0,0,962,908,No
Application Fee Received,956,65,0,,969,896,No
Application Fee Received,964,53,0,0,865,911,No
Application Fee Received,958.877,64,64,1100,840,899,No
Application Fee Received,1026,56,0,,871,970,No
Application Fee Received,888,49,0,,740,839,No
Application Fee Received,850.727,72,72,1100,698,778,No
Application Fee Received,956,0,0,0,983,956,No
Application Fee Received,896,47,0,0,856,849,No
Application Fee Received,827,44,0,,810,783,No
Admission Fee Challan Printed,1059,60,0,,939,999,Yes
Application Fee Received,973,70,0,,918,903,No
Application Fee Received,955,40,0,0,893,915,No
Application Fee Received,1000.667,42,0,0,968,954,No
Application Fee Received,939,50,0,,868,869,No
Application Fee Received,931,43,0,,959,893,No
Application Fee Received,1040.727,75,75,1100,898,970,Yes
Application Fee Received,854,0,0,0,924,854,No
Application Fee Received,875.667,42,0,,832,809,No
Application Fee Received,963.111,46,0,0,917,912,No
Application Fee Received,878.182,44,44,1100,877,834,No
Application Fee Received,659,0,0,,735,664,No
Application Fee Received,997.182,73,73,1100,855,924,No
Application Fee Received,936,48,0,,764,898,No
Application Fee Received,644,44,0,0,707,600,No
Application Fee Received,950,58,0,,95,892,No
Application Fee Received,993,47,0,0,872,946,No
Application Fee Received,861,57,0,0,885,814,No
Application Fee Received,1034.455,77,77,1100,937,957,Yes
Admission Fee Challan Printed,1053,53,0,0,913,1000,Yes
Application Fee Received,884.636,53,53,1100,860,836,No
Application Fee Received,932,67,0,0,928,865,No
Application Fee Received,892,53,0,,936,844,No
Application Fee Received,1060,65,0,,964,995,Yes
Application Fee Received,684.752,45,0,,646,644,No
Application Fee Received,896,0,0,0,848,896,No
Application Fee Received,807,42,0,0,670,765,No
Application Fee Received,1036.455,65,65,1100,981,976,Yes
Application Fee Received,899,42,0,0,899,857,No
Application Fee Received,855,53,0,0,731,802,No
Application Fee Received,916,54,0,0,911,862,No
Application Fee Received,1029.091,80,80,1100,945,949,Yes
Application Fee Received,920.222,56,0,0,867,858,No
Application Fee Received,948,62,0,0,954,886,No
Application Fee Received,988,71,0,0,895,933,No
Application Fee Received,755,50,0,,843,705,No
Application Fee Received,797,53,0,0,892,744,No
Application Fee Received,902,52,0,,954,830,No
Application Fee Received,898,56,0,0,749,842,No
Application Fee Received,870,58,0,0,872,812,No
Admission Fee Challan Received,1073,64,0,1100,875,989,Yes
Application Fee Received,886,56,0,0,866,830,No
Application Fee Received,945,0,0,1100,932,950,No
Application Fee Received,1002,52,0,,901,950,No
Application Fee Received,836,45,45,1100,855,836,No
Application Fee Received,1039,85,85,1100,972,983,Yes
Application Fee Received,905,40,0,0,895,865,No
Application Fee Received,928,44,0,,963,884,No
Application Fee Received,983,56,0,0,858,932,No
Application Fee Received,830,60,0,,767,770,No
Application Fee Received,978,70,70,1100,770,908,No
Application Fee Received,756,0,0,0,703,736,No
Application Fee Received,983,54,0,,989,923,No
Application Fee Received,619,49,0,,708,575,No
Application Fee Received,1035,63,0,,830,972,Yes
Application Fee Received,631,40,0,,728,591,No
Application Fee Received,945.091,59,59,1100,926,886,No
Application Fee Received,989.545,54,54,1100,724,935,No
Application Fee Received,889,59,0,,868,830,No
Application Fee Received,842.333,96,51,1100,790,789,No
Application Fee Received,956,48,0,,902,908,No
Application Fee Received,972.364,66,66,1100,872,906,No
Application Fee Received,850,51,0,0,873,804,No
Application Fee Received,1001,70,0,,933,931,No
Application Fee Received,865,0,0,0,916,865,No
Application Fee Received,874,50,0,0,809,804,No
Application Fee Received,807,52,0,0,810,755,No
Application Fee Received,821,49,0,,917,772,No
Application Fee Received,840,50,0,0,921,790,No
Application Fee Received,864,52,0,,843,817,No
Application Fee Received,838,55,0,0,881,783,No
Application Fee Received,884,56,0,,815,828,No
Application Fee Received,1016,69,0,0,840,947,No
Application Fee Received,855,56,0,0,798,799,No
Admission Fee Challan Received,714,57,0,0,739,657,No
Application Fee Received,869,65,0,0,715,809,No
Application Fee Received,930,58,0,,823,877,No
Application Fee Received,1023,65,0,,873,958,No
Application Fee Received,944,60,60,100,899,884,No
Application Fee Received,866,0,0,0,868,866,No
Application Fee Received,899,52,0,0,831,847,No
Application Fee Received,809,0,0,0,800,809,No
Application Fee Received,1019,57,0,0,759,899,No
Admission Fee Challan Received,954,53,0,0,695,901,No
Application Fee Received,811,57,0,0,790,754,No
Application Fee Received,993,60,0,0,899,938,No
Admission Fee Challan Received,1071,80,0,,926,991,Yes
Application Fee Received,817,52,0,0,802,765,No
Application Fee Received,951,77,0,,936,879,No
Application Fee Received,862,57,0,,819,805,No
Application Fee Received,859.444,58,0,0,915,795,No
Application Fee Received,1045.545,79,79,1100,935,971,Yes
Application Fee Received,958,40,40,1100,962,918,No
Application Fee Received,1038.818,61,61,1100,960,977,Yes
Application Fee Received,1006,71,0,0,882,920,No
Application Fee Received,976.364,56,56,1100,824,920,No
Application Fee Received,881,41,0,,766,840,No
Application Fee Received,1082.406,68,0,,1002,1019,No
Application Fee Received,850,45,0,0,648,805,No
Application Fee Received,749,47,0,0,738,702,No
Application Fee Received,1006,76,0,0,711,930,No
Application Fee Received,886,48,0,0,826,838,No
Application Fee Received,788,45,0,0,782,743,No
Application Fee Received,879,55,0,0,824,824,No
Application Fee Received,939,55,55,1100,923,897,No
Application Fee Received,793,42,0,0,739,751,No
Application Fee Received,811,44,0,,833,767,No
Application Fee Received,914,51,0,,893,863,No
Application Fee Received,992.636,73,73,1100,912,919,No
Application Fee Received,847,55,0,,771,797,No
Application Fee Received,891,0,0,0,888,891,No
Application Fee Received,895,50,0,0,920,850,No
Application Fee Received,944,44,0,0,801,900,No
Application Fee Received,867.091,59,59,1100,790,808,No
Application Fee Received,987.182,68,68,1100,831,919,No
Application Fee Received,795,51,0,0,654,749,No
Application Fee Received,845,54,0,0,757,791,No
Application Fee Received,863,45,0,0,749,818,No
Application Fee Received,783,54,0,0,752,729,No
Application Fee Received,945,65,0,0,908,880,No
Application Fee Received,775,41,0,0,697,734,No
Application Fee Received,730,44,0,0,676,686,No
Application Fee Received,858,56,0,,738,802,No
Application Fee Received,898,61,0,,902,837,No
Application Fee Received,989,52,0,0,883,937,No
Application Fee Received,916,0,0,0,906,916,No
Application Fee Received,934,55,0,,925,879,No
Admission Fee Challan Received,1077,44,0,,957,977,Yes
Application Fee Received,1010.909,60,60,1100,877,950,No
Application Fee Received,813,52,0,,830,761,No
Application Fee Received,982,57,0,,914,925,No
