Application Status,Merit Score,Admission Test,ssc_obtained,Terminal Degree,hsc_opt_5_obtained,Offered
Admission Fee Challan Received,76.327,58,908,890,0,Yes
Application Fee Received,71.073,55,822,831,152,No
Application Fee Received,66.997,43,610,812,0,No
Application Fee Received,58.382,49,537,668,81,No
Application Fee Received,58.145,46,718,673,105,No
Application Fee Received,64.651,53,829,727,0,No
Application Fee Received,61.545,43,573,708,134,No
Application Fee Received,56.182,62,661,602,0,No
Application Fee Received,56.533,50,564,639,0,No
Application Fee Received,70.335,56,871,801,0,No
Application Fee Received,70.6,69,657,786,152,No
Application Fee Received,55.764,45,560,643,108,No
Application Fee Received,58.364,50,649,670,109,No
Application Fee Received,65.564,50,811,764,46,No
Application Fee Received,63.745,54,781,733,138,No
Application Fee Received,61.836,51,847,710,105,No
Application Fee Received,59.327,57,756,659,111,No
Application Fee Received,56.347,50,598,622,0,No
Application Fee Received,64.673,51,863,749,0,No
Application Fee Received,48.564,53,534,522,0,No
Application Fee Received,64.836,42,677,776,110,No
Application Fee Received,46.545,0,691,640,97,No
Application Fee Received,70.345,47,740,838,0,No
Application Fee Received,53.909,51,615,601,67,No
Application Fee Received,57.782,50,781,662,155,No
Application Fee Received,61.629,48,684,720,42,No
Application Fee Received,57.545,55,708,640,95,No
Application Fee Received,53.818,48,623,608,143,No
Application Fee Received,68.855,77,924,740,140,No
Application Fee Received,63.745,50,757,739,126,No
Application Fee Received,62.036,48,836,721,101,No
Application Fee Received,47.055,0,680,627,0,No
Application Fee Received,71.8,55,791,836,39,No
Admission Fee Challan Received,77.891,68,780,884,0,Yes
Application Fee Received,66.836,60,777,754,185,No
Application Fee Received,48.764,46,609,544,80,No
Application Fee Received,59.8,63,593,649,104,No
Application Fee Received,70.673,61,850,804,44,No
Application Fee Received,58.564,47,793,676,105,No
Application Fee Received,74.145,47,789,761,176,No
Application Fee Received,57.855,50,663,658,0,No
Application Fee Received,39.709,0,527,546,41,No
Application Fee Received,66.4,52,831,770,125,No
Application Fee Received,59.255,49,679,680,41,No
Application Fee Received,64.418,41,667,773,109,No
Application Fee Received,68.055,57,754,779,125,No
Application Fee Received,48.364,36,729,566,108,No
Application Fee Received,47.382,50,640,514,125,No
Application Fee Received,65.618,43,862,789,0,No
Application Fee Received,63.545,49,806,739,0,No
Application Fee Received,64.655,48,805,757,151,No
Application Fee Received,51.527,50,816,571,94,No
Application Fee Received,79.164,62,922,918,180,Yes
Application Fee Received,66.055,59,786,746,125,No
Application Fee Received,57.273,50,508,650,83,No
Application Fee Received,53.527,52,767,593,89,No
Application Fee Received,49.036,35,632,578,42,No
Application Fee Received,68.854,53,552,800,0,No
Application Fee Received,79.945,71,966,909,0,Yes
Application Fee Received,67.309,54,786,777,0,No
Application Fee Received,68.855,77,924,740,140,No
Application Fee Received,61.836,51,847,710,105,No
Application Fee Received,58.855,47,670,685,164,No
Application Fee Received,68.854,53,552,800,0,No
Application Fee Received,59.113,49,539,683,54,No
Application Fee Received,70.161,48,650,817,0,No
Application Fee Received,38.429,52,532,390,0,No
Application Fee Received,60.178,58,821,672,58,No
Admission Fee Challan Received,79.345,56,775,942,185,Yes
Application Fee Received,67.793,50,652,799,0,No
Application Fee Received,53.909,51,615,601,67,No
Admission Fee Challan Received,0,0,602,610,0,No
Application Fee Received,62.306,19,839,808,62,No
Application Fee Received,67.745,50,734,799,0,No
Application Fee Received,59.236,46,761,688,87,No
Application Fee Received,69.582,45,841,833,0,No
Application Fee Received,62.891,53,921,719,90,No
Application Fee Received,74.164,53,917,874,42,Yes
Application Fee Received,65.709,58,924,744,0,No
Application Fee Received,58.945,50,679,673,111,No
Application Fee Received,70.855,59,921,812,0,No
Application Fee Received,67.764,49,904,797,0,No
Application Fee Received,54.129,44,604,628,0,No
Application Fee Received,75.575,52,847,901,91,No
Application Fee Received,57.745,0,762,794,172,No
Application Fee Received,59.345,52,635,673,115,No
Application Fee Received,62.655,50,651,724,133,No
Application Fee Received,58.218,54,823,652,102,No
Application Fee Received,60.8,64,750,660,109,No
Application Fee Received,60.2,49,750,693,0,No
Application Fee Received,62.036,52,580,710,120,No
Application Fee Received,54.129,44,604,628,0,No
Application Fee Received,75.575,52,847,901,91,No
Application Fee Received,62.018,61,841,685,98,No
Application Fee Received,59.182,53,623,668,0,No
Admission Fee Challan Received,48.036,42,639,525,65,No
Application Fee Received,58.455,45,555,680,91,No
Application Fee Received,72.112,47,563,867,41,No
Application Fee Received,68,52,756,792,0,No
Application Fee Received,66.673,49,817,782,122,No
Application Fee Received,54.319,34,752,643,0,No
Application Fee Received,54.091,41,755,631,114,No
Application Fee Received,28.109,50,604,254,44,No
Application Fee Received,70.764,60,858,808,139,No
Application Fee Received,60.127,53,630,686,95,No
Application Fee Received,64.736,17,819,842,170,No
Application Fee Received,73.236,56,791,858,0,No
Application Fee Received,57.882,22,830,714,95,No
Application Fee Received,59.681,29,753,732,0,No
Application Fee Received,52.036,50,674,578,110,No
Application Fee Received,54.218,38,749,641,125,No
Application Fee Received,73.455,56,940,856,160,No
Application Fee Received,64.6,51,865,748,103,No
Application Fee Received,62.927,59,711,703,120,No
Application Fee Received,55.782,0,852,767,74,No
Application Fee Received,58.236,57,654,644,0,No
Application Fee Received,66.964,53,712,775,0,No
Application Fee Received,73.127,50,838,868,0,No
Application Fee Received,54.618,40,900,641,44,No
Application Fee Received,71.164,58,789,819,0,No
Application Fee Received,63.439,11,717,841,0,No
Application Fee Received,65.309,64,861,722,136,No
Application Fee Received,61.78,54,678,700,142,No
Application Fee Received,56.318,10,699,729,45,No
Application Fee Received,67.745,50,734,799,0,No
Application Fee Received,66.345,59,807,755,142,No
Application Fee Received,62.527,53,840,714,116,No
Application Fee Received,60,52,735,682,144,No
Application Fee Received,61.418,54,547,696,162,No
Application Fee Received,65.747,51,735,773,95,No
Application Fee Received,67.062,49,606,792,90,No
Application Fee Received,71.855,52,857,845,0,No
Application Fee Received,83.255,61,873,977,175,Yes
Application Fee Received,69.418,50,861,817,122,No
Application Fee Received,66.127,47,903,780,124,No
Application Fee Received,53.4,47,688,615,87,No
Application Fee Received,54.509,58,751,595,29,No
Application Fee Received,66.891,49,835,770,157,No
Application Fee Received,70.164,45,777,841,131,No
Application Fee Received,52.545,50,558,585,0,No
Application Fee Received,65.673,44,816,782,0,No
Application Fee Received,60.018,47,747,701,0,No
Application Fee Received,53.236,52,684,589,117,No
Application Fee Received,58.2,43,779,682,32,No
Application Fee Received,61.782,46,479,723,0,No
Application Fee Received,63.692,49,600,761,42,No
Application Fee Received,67.99,41,816,827,50,No
Application Fee Received,67.636,64,845,754,129,No
Application Fee Received,57.782,50,768,657,100,No
Application Fee Received,56.236,51,706,633,150,No
Application Fee Received,63.545,61,729,706,80,No
Application Fee Received,79.741,62,765,907,170,Yes
Application Fee Received,55.026,47,665,613,127,No
Application Fee Received,68.036,50,840,798,0,No
Admission Fee Challan Received,77.2,58,867,902,0,Yes
Application Fee Received,54.745,49,691,618,0,No
Application Fee Received,59.164,50,574,681,166,No
Application Fee Received,55.655,39,793,658,143,No
Application Fee Received,70.564,47,857,841,0,No
Application Fee Received,60.129,50,645,674,40,No
Application Fee Received,62,50,641,720,42,No
Application Fee Received,69.354,47,878,810,136,No
Application Fee Received,61.382,52,687,701,113,No
Application Fee Received,60.65,61,770,792,149,No
Application Fee Received,53.655,49,527,603,82,No
Application Fee Received,72.291,56,651,820,44,No
Application Fee Received,59.527,54,782,670,126,No
Application Fee Received,70.036,52,811,820,0,No
Admission Fee Challan Received,79.8,59,909,935,180,Yes
Application Fee Received,72.036,66,933,814,126,No
Application Fee Received,60.811,42,584,725,0,No
Application Fee Received,61.364,45,837,720,0,No
Application Fee Received,46.4,0,566,638,0,No
Application Fee Received,46.182,44,648,514,0,No
Admission Fee Challan Received,75.164,54,868,885,0,Yes
Application Fee Received,61.055,50,651,702,171,No
Application Fee Received,58.655,54,738,658,41,No
Application Fee Received,58.091,41,715,686,116,No
Application Fee Received,57.345,58,831,629,35,No
Application Fee Received,63.782,48,760,725,107,No
Application Fee Received,52.036,46,756,589,76,No
Application Fee Received,74.909,48,729,878,45,Yes
Application Fee Received,49.873,41,750,573,0,No
Application Fee Received,55.091,58,670,598,113,No
Application Fee Received,75.164,58,840,874,0,Yes
Application Fee Received,60.364,52,733,672,0,No
Application Fee Received,61.018,46,545,564,27,No
Admission Fee Challan Received,60.564,53,788,687,139,No
Application Fee Received,59.836,49,590,668,143,No
Application Fee Received,71.782,48,712,855,177,No
Application Fee Received,60.327,58,809,670,0,No
Application Fee Received,70.282,42,574,850,68,No
Application Fee Received,61.782,50,708,712,0,No
Admission Fee Challan Received,75.455,62,815,872,0,Yes
Application Fee Received,65.127,50,686,758,0,No
Application Fee Received,66.145,50,840,772,144,No
Application Fee Received,65.018,52,810,751,124,No
Application Fee Received,65.836,51,673,765,116,No
Application Fee Received,53.655,49,818,603,35,No
Application Fee Received,82.036,56,880,974,189,Yes
Application Fee Received,56.364,48,679,643,30,No
Application Fee Received,56.255,50,739,636,179,No
Application Fee Received,64.364,48,748,753,142,No
Application Fee Received,63.618,53,747,729,0,No
Application Fee Received,44.545,38,477,508,0,No
Application Fee Received,73.276,54,620,859,90,No
Application Fee Received,54.764,56,788,604,0,No
Application Fee Received,52.4,50,646,588,0,No
Application Fee Received,67.968,37,728,832,0,No
Application Fee Received,59.091,50,691,675,0,No
Application Fee Received,57.127,50,649,653,131,No
Application Fee Received,74.564,63,821,852,0,Yes
Application Fee Received,69.364,69,918,764,0,No
Application Fee Received,52.545,58,598,563,0,No
Application Fee Received,58.2,43,644,682,42,No
Application Fee Received,68.177,53,796,791,0,No
Admission Fee Challan Received,74.855,63,873,861,135,Yes
Application Fee Received,67.618,57,720,773,118,No
Admission Fee Challan Received,75.764,49,981,907,47,Yes
Application Fee Received,58.636,47,697,682,0,No
Application Fee Received,62.145,50,703,717,0,No
Application Fee Received,62.327,60,778,692,0,No
Application Fee Received,59.691,53,747,675,42,No
Application Fee Received,64.927,57,801,736,0,No
Application Fee Received,51.709,44,674,590,28,No
Application Fee Received,67.255,61,866,757,0,No
Application Fee Received,67.636,40,852,820,176,No
Application Fee Received,63.782,48,780,745,0,No
Application Fee Received,71.473,53,775,837,0,No
Application Fee Received,65.2,54,785,748,134,No
Application Fee Received,45.855,54,469,482,31,No
Application Fee Received,52.636,49,614,589,35,No
Application Fee Received,47.345,52,708,513,0,No
Application Fee Received,63.582,71,778,679,97,No
Application Fee Received,51.691,45,686,587,0,No
Application Fee Received,69.927,54,903,813,0,No
Application Fee Received,59.273,44,791,674,87,No
Application Fee Received,62.313,49,529,667,110,No
Application Fee Received,73.273,50,869,870,74,No
Application Fee Received,73.109,63,773,832,137,No
Application Fee Received,54.873,42,796,639,29,No
Application Fee Received,71.745,66,678,805,175,No
Application Fee Received,70.109,28,739,689,45,No
Application Fee Received,62.306,19,839,808,62,No
Application Fee Received,20.8,0,832,291,41,No
Application Fee Received,60.927,41,860,725,84,No
Application Fee Received,62.018,53,794,707,149,No
Application Fee Received,74.582,54,835,877,178,Yes
Admission Fee Challan Received,74.065,47,733,894,102,Yes
Application Fee Received,44.218,0,595,608,0,No
Application Fee Received,70.208,50,594,837,0,No
Application Fee Received,65.455,48,867,768,128,No
Application Fee Received,79.255,49,735,960,0,Yes
Application Fee Received,71.818,50,777,830,140,No
Application Fee Received,60.891,51,702,697,44,No
Application Fee Received,51.143,40,755,586,119,No
Application Fee Received,54.545,52,823,607,94,No
Application Fee Received,70.745,45,790,849,45,No
Admission Fee Challan Received,87.564,58,894,929,86,Yes
Application Fee Received,72.436,64,776,825,0,No
Application Fee Received,64.723,53,676,728,113,No
Application Fee Received,71.491,56,799,829,44,No
Admission Fee Challan Received,77.764,55,952,918,166,Yes
Application Fee Received,58.036,52,729,635,0,No
Admission Fee Challan Received,78.036,60,874,908,0,Yes
Application Fee Received,47.709,30,836,656,87,No
Application Fee Received,46.709,47,691,513,66,No
Application Fee Received,55.982,57,671,623,0,No
Application Fee Received,50.509,50,592,562,67,No
Application Fee Received,54.073,58,709,584,75,No
Admission Fee Challan Received,74.382,61,922,860,155,Yes
Application Fee Received,61.891,48,989,734,85,No
Application Fee Received,69.036,63,806,776,117,No
Application Fee Received,62.527,53,798,724,78,No
Application Fee Received,69.091,44,848,829,90,No
Application Fee Received,70.782,55,881,802,126,No
Application Fee Received,67.927,56,805,780,126,No
Application Fee Received,51.836,53,626,567,0,No
Application Fee Received,67.58,58,697,742,129,No
Application Fee Received,64.723,53,676,728,113,No
Application Fee Received,60.127,53,630,686,95,No
Application Fee Received,51.143,40,755,586,119,No
Application Fee Received,68.177,53,796,791,0,No
Admission Fee Challan Received,0,61,860,895,150,No
Application Fee Received,59.818,54,806,674,0,No
Application Fee Received,53.564,50,672,599,72,No
Application Fee Received,77.917,64,840,899,67,No
Application Fee Received,68.055,65,602,762,46,No
Application Fee Received,67.382,50,683,794,180,No
Application Fee Received,73.04,58,776,849,62,No
Application Fee Received,67.2,48,538,792,0,No
Application Fee Received,59.519,61,678,632,0,No
Application Fee Received,68.745,59,803,783,125,No
Application Fee Received,80.364,56,854,951,187,Yes
Application Fee Received,62.855,55,648,713,0,No
Application Fee Received,71.2,52,886,836,0,No
Application Fee Received,66.164,53,758,769,116,No
Application Fee Received,60.582,56,752,684,0,No
Application Fee Received,66.957,58,815,748,49,No
Application Fee Received,81.073,57,741,958,0,Yes
Application Fee Received,60.655,56,690,680,105,No
Application Fee Received,69.509,53,664,810,0,No
Application Fee Received,69.435,48,595,822,0,No
Application Fee Received,73.018,56,819,855,163,No
Application Fee Received,55.636,52,694,622,78,No
Application Fee Received,65.964,64,842,731,143,No
Application Fee Received,66.527,53,703,769,143,No
Application Fee Received,67.855,48,756,801,148,No
Application Fee Received,44.8,36,554,507,0,No
Application Fee Received,48.291,0,621,664,122,No
Application Fee Received,63.473,53,774,727,108,No
Application Fee Received,63.691,45,815,752,131,No
Application Fee Received,71.418,52,672,839,165,No
Application Fee Received,71.418,43,733,707,160,No
Application Fee Received,72.692,54,667,851,133,No
Application Fee Received,57.855,46,700,669,0,No
Application Fee Received,63.305,30,650,792,117,No
Application Fee Received,66.296,52,741,798,0,No
Application Fee Received,59.673,54,705,677,109,No
Application Fee Received,65.073,53,669,749,168,No
Application Fee Received,71.873,67,836,804,126,No
Application Fee Received,61.578,51,590,706,0,No
Application Fee Received,54.327,48,674,615,86,No
Application Fee Received,71.2,56,804,825,0,No
Application Fee Received,56.764,50,653,643,139,No
Application Fee Received,71.2,56,833,830,47,No
Application Fee Received,57.909,43,891,678,0,No
Application Fee Received,53.564,50,672,599,72,No
Application Fee Received,50.127,43,843,571,53,No
Application Fee Received,47.57,53,517,513,0,No
Application Fee Received,63.418,52,868,729,148,No
Application Fee Received,56.218,52,597,630,151,No
Application Fee Received,48,0,738,660,104,No
Application Fee Received,52.709,41,751,612,89,No
Application Fee Received,67.127,48,871,791,128,No
Application Fee Received,75.456,47,462,772,0,No
Application Fee Received,70.683,52,827,833,158,No
Application Fee Received,65.345,50,906,761,129,No
Application Fee Received,50.436,50,822,556,146,No
Application Fee Received,64.105,44,851,747,179,No
Application Fee Received,66.164,53,758,769,116,No
Application Fee Received,60.582,56,752,684,0,No
Application Fee Received,52.455,47,560,592,31,No
Application Fee Received,62.327,56,687,703,0,No
Application Fee Received,70.951,46,770,849,0,No
Application Fee Received,54.6,49,676,626,0,No
Application Fee Received,70.6,53,836,825,164,No
Application Fee Received,71,63,831,808,49,No
Application Fee Received,72.327,54,828,846,142,No
Application Fee Received,73.564,50,949,874,0,No
Application Fee Received,67.127,0,884,923,184,No
Application Fee Received,57.473,59,780,638,123,No
Application Fee Received,77.917,64,840,899,67,No
Application Fee Received,67.127,64,883,747,43,No
Application Fee Received,68.945,44,787,827,0,No
Application Fee Received,69.102,59,809,767,143,No
Application Fee Received,43.523,43,645,480,0,No
Application Fee Received,60.727,60,672,670,107,No
Application Fee Received,55.218,47,831,630,85,No
Application Fee Received,79.2,56,891,935,0,Yes
Application Fee Received,41.091,0,765,565,69,No
Application Fee Received,54.727,50,550,595,0,No
Application Fee Received,66.291,66,723,730,116,No
Application Fee Received,61,65,787,660,36,No
Application Fee Received,61.764,55,818,698,112,No
Application Fee Received,68.709,41,865,832,0,No
Application Fee Received,67.273,56,693,771,46,No
Application Fee Received,66.236,53,765,765,166,No
Application Fee Received,58.309,49,773,692,25,No
Application Fee Received,59.182,41,666,701,102,No
Application Fee Received,53.655,33,601,647,0,No
Application Fee Received,68.109,50,823,804,165,No
Application Fee Received,67.745,58,557,772,130,No
Application Fee Received,67.426,56,746,756,108,No
Admission Fee Challan Received,79.333,70,866,890,0,Yes
Application Fee Received,70.418,55,764,817,42,No
Application Fee Received,50.764,36,720,604,0,No
Application Fee Received,73.021,60,798,844,38,No
Application Fee Received,87.375,68,1002,1019,0,No
Application Fee Received,69.218,61,878,784,151,No
Application Fee Received,51.006,53,592,560,28,No
Application Fee Received,65.745,52,835,761,0,No
Application Fee Received,58.909,52,602,667,0,No
Application Fee Received,57.473,43,630,672,141,No
Application Fee Received,72.982,58,832,844,182,No
Application Fee Received,62.8,50,714,731,0,No
Application Fee Received,73.04,58,776,849,62,No
Application Fee Received,74.018,53,775,872,141,No
Application Fee Received,38.982,0,497,536,97,No
Admission Fee Challan Received,76.273,57,802,892,45,Yes
Application Fee Received,70.073,50,682,826,197,No
Application Fee Received,63.673,50,710,718,0,No
Application Fee Received,72.982,58,892,844,156,No
Application Fee Received,68.055,65,602,762,46,No
Application Fee Received,47.231,0,676,649,0,No
Application Fee Received,64.182,50,561,745,132,No
Application Fee Received,66.218,62,917,750,0,No
Application Fee Received,63.855,0,884,878,153,No
Application Fee Received,71.055,52,602,859,45,Yes
Application Fee Received,72.436,68,772,809,145,No
Application Fee Received,46.945,50,661,513,87,No
Application Fee Received,59.418,56,811,663,84,No
Application Fee Received,52.836,58,719,567,83,No
Application Fee Received,59.891,54,814,675,125,No
Application Fee Received,70.945,58,920,796,0,No
Application Fee Received,66.006,58,835,753,55,No
Application Fee Received,64.345,53,811,739,146,No
Application Fee Received,61.636,46,859,721,136,No
Application Fee Received,71.236,50,824,842,0,No
Application Fee Received,60.491,53,718,686,130,No
Application Fee Received,59.709,52,694,678,123,No
Application Fee Received,72.655,52,818,856,143,No
Application Fee Received,67.382,50,683,794,180,No
Application Fee Received,68.364,52,816,797,0,No
Application Fee Received,62.2,47,800,726,135,No
Application Fee Received,56.073,40,553,661,127,No
Application Fee Received,63.036,55,518,720,35,No
Application Fee Received,65.613,50,685,769,0,No
Application Fee Received,46.273,47,605,507,71,No
Application Fee Received,72.055,61,678,823,135,No
Application Fee Received,65.203,45,736,772,0,No
Application Fee Received,53.164,0,544,731,92,No
Application Fee Received,58.873,50,655,677,144,No
Application Fee Received,59.145,67,561,609,104,No
Application Fee Received,58.727,50,761,670,122,No
Application Fee Received,60.473,50,649,699,117,No
Application Fee Received,62.036,48,691,721,0,No
Application Fee Received,43.055,40,674,482,0,No
Application Fee Received,56.226,56,798,602,0,No
Application Fee Received,70.527,65,890,791,122,No
Application Fee Received,64.764,58,693,731,0,No
Application Fee Received,56.236,59,649,611,126,No
Application Fee Received,71.8,63,764,814,0,No
Application Fee Received,71.883,62,798,822,0,No
Application Fee Received,64.356,48,610,752,0,No
Application Fee Received,45.727,49,554,479,106,No
Application Fee Received,72.4,42,882,885,0,No
Application Fee Received,66.727,46,836,791,48,No
Application Fee Received,73.021,60,798,844,38,No
Application Fee Received,87.375,68,1002,1019,0,No
Application Fee Received,70.2,59,761,803,148,No
Application Fee Received,46.436,50,677,516,0,No
Application Fee Received,62.927,59,706,708,0,No
Application Fee Received,70.345,59,811,810,134,No
Application Fee Received,56.109,50,623,634,0,No
Application Fee Received,65.309,52,642,760,133,No
Application Fee Received,58.841,43,484,710,0,No
Application Fee Received,50.909,52,678,557,89,No
Application Fee Received,61.236,52,775,699,92,No
Application Fee Received,62.327,44,824,736,130,No
Application Fee Received,68.6,55,771,797,147,No
Application Fee Received,67.703,42,698,830,0,No
Application Fee Received,65.655,61,771,740,120,No
Application Fee Received,56.341,16,697,730,0,No
Application Fee Received,54.509,50,696,612,134,No
Application Fee Received,60.091,35,615,730,101,No
Application Fee Received,66.873,58,798,760,131,No
Application Fee Received,72.618,58,893,839,150,No
Application Fee Received,64.818,51,680,751,132,No
Application Fee Received,74.19,62,830,854,0,No
Application Fee Received,55.709,60,629,601,101,No
Application Fee Received,71.364,43,869,863,0,No
Application Fee Received,49.018,40,586,564,126,No
Application Fee Received,58.436,50,683,671,100,No
Application Fee Received,71.091,50,616,840,33,No
Application Fee Received,71.345,60,832,816,139,No
Application Fee Received,62.618,44,857,740,134,No
Application Fee Received,58.618,52,643,663,86,No
Application Fee Received,57.945,53,731,651,40,No
Admission Fee Challan Received,51.964,50,664,577,108,No
Application Fee Received,64.836,50,742,754,173,No
Application Fee Received,50.982,0,745,701,126,No
Application Fee Received,73.436,49,765,880,66,No
Application Fee Received,57.191,12,789,752,138,No
Application Fee Received,69.236,52,843,809,123,No
Application Fee Received,74.255,50,865,746,131,No
