Application Status,ssc_obtained,Terminal Degree,hsc_opt_1_obtained,hsc_opt_2_obtained,hsc_opt_4_obtained,Offered
Admission Fee Challan Received,831,868,0,0,0,No
Admission Fee Challan Received,617,601,121,131,73,No
Admission Fee Challan Received,670,721,145,152,100,No
Admission Fee Challan Received,834,878,144,170,171,Yes
Admission Fee Challan Received,907,969,166,181,182,Yes
Admission Fee Challan Received,701,977,181,192,194,Yes
Admission Fee Challan Received,1010,914,170,159,185,Yes
Admission Fee Challan Received,931,916,161,171,179,Yes
Admission Fee Challan Received,821,880,178,127,160,Yes
Admission Fee Challan Received,926,975,176,168,177,Yes
Application Fee Received,767,770,129,142,146,No
Application Fee Received,722,690,117,130,34,No
Application Fee Received,729,862,113,44,164,No
Application Fee Received,599,556,68,119,0,No
Application Fee Received,695,702,85,65,0,No
Application Fee Received,806,544,101,75,90,No
Application Fee Received,481,697,120,125,49,No
Application Fee Received,719,897,154,163,166,Yes
Application Fee Received,813,731,159,144,116,No
Application Fee Received,882,823,130,163,158,No
Application Fee Received,807,724,122,108,133,No
Application Fee Received,684,653,110,147,122,No
Application Fee Received,617,616,131,123,30,No
Application Fee Received,515,541,102,55,80,No
Application Fee Received,712,855,149,170,138,Yes
Admission Fee Challan Received,736,807,149,117,145,No
Application Fee Received,764,630,0,0,0,No
Application Fee Received,777,629,115,119,99,No
Application Fee Received,558,813,0,0,0,No
Application Fee Received,695,702,85,65,0,No
Application Fee Received,852,746,106,163,146,No
Application Fee Received,622,598,130,39,101,No
Application Fee Received,799,748,135,130,151,No
Application Fee Received,827,741,141,135,115,No
Application Fee Received,813,775,46,161,134,No
Application Fee Received,721,701,104,149,131,No
Application Fee Received,726,642,90,118,0,No
Application Fee Received,743,625,124,88,95,No
Application Fee Received,665,702,121,143,117,No
Application Fee Received,895,869,0,0,0,No
Application Fee Received,778,771,134,117,183,No
Application Fee Received,684,576,118,77,105,No
Application Fee Received,603,504,102,73,80,No
Application Fee Received,779,708,125,139,126,No
Application Fee Received,796,714,92,173,129,No
Application Fee Received,854,830,134,125,171,Yes
Application Fee Received,733,894,55,95,0,Yes
Application Fee Received,672,701,99,141,126,No
Application Fee Received,776,663,119,129,101,No
Application Fee Received,782,683,107,119,129,No
Application Fee Received,630,638,65,0,0,No
Application Fee Received,735,729,0,0,0,No
Application Fee Received,776,801,127,139,147,No
Application Fee Received,790,528,0,0,0,No
Application Fee Received,794,726,133,131,111,No
Application Fee Received,922,931,140,178,182,No
Application Fee Received,808,672,128,0,0,No
Application Fee Received,633,545,85,130,110,No
Application Fee Received,627,764,0,0,0,No
Application Fee Received,801,708,0,0,0,No
Application Fee Received,783,794,167,147,129,No
Application Fee Received,709,584,142,110,88,No
Application Fee Received,866,963,158,158,174,Yes
Application Fee Received,873,835,0,0,0,No
Application Fee Received,685,658,97,130,90,No
Application Fee Received,570,665,114,105,121,No
Application Fee Received,570,648,160,120,111,No
Application Fee Received,739,657,145,147,72,No
Application Fee Received,672,642,0,0,0,No
Application Fee Received,617,731,117,135,22,No
Application Fee Received,751,572,72,68,40,No
Application Fee Received,778,701,125,120,123,No
Application Fee Received,714,597,89,132,96,No
Admission Fee Challan Received,602,734,127,94,156,No
Application Fee Received,716,808,163,157,167,No
Application Fee Received,793,513,118,72,95,No
Application Fee Received,775,640,119,116,82,No
Application Fee Received,700,669,0,0,0,No
Application Fee Received,567,670,126,114,119,No
Application Fee Received,794,825,167,165,144,Yes
Application Fee Received,843,571,96,96,126,No
Application Fee Received,946,938,168,177,175,Yes
Application Fee Received,472,536,37,23,45,No
Application Fee Received,536,624,79,42,106,No
Application Fee Received,850,818,160,116,170,Yes
Application Fee Received,509,753,50,20,21,No
Application Fee Received,825,840,126,157,159,Yes
Application Fee Received,714,723,139,131,131,No
Application Fee Received,640,752,135,138,115,No
Application Fee Received,669,563,142,124,57,No
Admission Fee Challan Received,896,887,189,160,0,Yes
Application Fee Received,610,606,125,99,117,No
Application Fee Received,746,600,103,0,0,No
Application Fee Received,729,748,129,140,133,No
Application Fee Received,729,862,113,44,164,No
Application Fee Received,555,663,50,117,102,No
Application Fee Received,799,757,144,119,141,No
Application Fee Received,555,609,0,0,0,No
Application Fee Received,693,577,110,97,117,No
Application Fee Received,746,798,142,129,134,No
Application Fee Received,810,783,0,0,0,No
Application Fee Received,753,627,100,136,103,No
Application Fee Received,632,552,94,129,74,No
Application Fee Received,661,687,139,125,144,No
Application Fee Received,575,504,0,0,0,No
Application Fee Received,917,759,134,99,168,No
Application Fee Received,881,760,137,0,0,No
Application Fee Received,599,556,68,119,0,No
Application Fee Received,525,729,0,0,0,No
Application Fee Received,879,824,139,152,160,Yes
Application Fee Received,774,658,114,134,106,No
Application Fee Received,722,690,117,130,34,No
Application Fee Received,835,641,79,97,132,No
Admission Fee Challan Received,909,824,170,161,132,Yes
Application Fee Received,761,631,0,0,0,No
Application Fee Received,728,637,126,30,113,No
Application Fee Received,644,528,85,95,109,No
Application Fee Received,682,775,0,0,0,No
Application Fee Received,555,619,147,83,118,No
Application Fee Received,936,844,168,144,136,No
Application Fee Received,705,628,109,99,93,No
Application Fee Received,656,690,129,90,136,No
Application Fee Received,785,721,124,113,150,No
Application Fee Received,743,687,145,114,117,No
Application Fee Received,777,623,104,88,101,No
Application Fee Received,905,902,186,149,145,Yes
Application Fee Received,617,731,117,135,22,No
Application Fee Received,751,572,72,68,40,No
Application Fee Received,843,830,57,80,78,No
Application Fee Received,767,770,129,142,146,No
Application Fee Received,834,725,145,105,156,No
Application Fee Received,890,692,151,153,76,No
Application Fee Received,746,746,126,81,166,No
Application Fee Received,681,658,136,136,106,No
Application Fee Received,751,636,136,127,83,No
Application Fee Received,917,772,139,154,137,No
Admission Fee Challan Received,815,828,139,141,156,Yes
Application Fee Received,633,559,127,100,97,No
Application Fee Received,608,554,0,0,0,No
Application Fee Received,769,623,111,43,122,No
Application Fee Received,704,597,0,0,0,No
Application Fee Received,864,809,0,0,0,No
Application Fee Received,554,567,125,74,77,No
Application Fee Received,672,569,131,103,82,No
Application Fee Received,800,726,147,154,131,No
Application Fee Received,827,660,0,0,0,No
Application Fee Received,814,650,0,0,0,No
Application Fee Received,808,785,0,0,0,No
Application Fee Received,688,666,95,126,161,No
Application Fee Received,731,666,118,0,0,No
Admission Fee Challan Received,896,856,148,149,178,No
Application Fee Received,712,623,164,68,75,No
Application Fee Received,921,756,143,150,100,No
Application Fee Received,809,784,135,153,109,No
Application Fee Received,552,586,119,93,93,No
Application Fee Received,819,713,138,147,118,No
Application Fee Received,732,756,139,148,88,No
Admission Fee Challan Received,962,918,144,166,177,Yes
Application Fee Received,697,686,127,92,113,No
Admission Fee Challan Received,751,765,118,163,147,No
Application Fee Received,878,874,162,163,149,Yes
Application Fee Received,690,722,163,131,115,No
Application Fee Received,950,993,162,175,177,No
Application Fee Received,832,755,160,42,129,No
Admission Fee Challan Received,948,912,172,47,167,Yes
Application Fee Received,625,712,136,120,134,No
Application Fee Received,945,796,142,140,147,No
Application Fee Received,675,548,84,34,25,No
Application Fee Received,575,504,0,0,0,No
Application Fee Received,576,773,107,124,162,No
Admission Fee Challan Received,581,550,134,106,69,No
Application Fee Received,919,820,120,151,160,Yes
Application Fee Received,540,834,0,0,0,No
Application Fee Received,623,603,125,105,123,No
Application Fee Received,829,699,130,120,103,No
Application Fee Received,689,672,122,116,120,No
Application Fee Received,853,734,152,114,127,No
Application Fee Received,511,605,0,0,0,No
Application Fee Received,831,684,130,123,119,No
Application Fee Received,823,760,122,150,129,No
Application Fee Received,941,809,162,47,139,No
Application Fee Received,813,783,136,150,126,No
Application Fee Received,731,662,138,115,117,No
Application Fee Received,735,710,138,142,101,No
Application Fee Received,849,737,120,144,136,No
Application Fee Received,876,648,83,132,126,No
Application Fee Received,882,729,135,96,117,No
Application Fee Received,556,672,105,39,104,No
Application Fee Received,639,581,96,107,80,No
Application Fee Received,895,901,167,145,173,Yes
Application Fee Received,738,802,143,149,154,Yes
Application Fee Received,569,525,0,0,0,No
Application Fee Received,647,619,0,0,0,No
Application Fee Received,756,707,130,167,126,No
Application Fee Received,749,604,122,111,66,No
Application Fee Received,769,615,108,125,119,No
Admission Fee Challan Received,962,918,144,166,177,Yes
Application Fee Received,672,642,0,0,0,No
Application Fee Received,625,712,136,120,134,No
Admission Fee Challan Received,694,738,94,129,148,Yes
Admission Fee Challan Received,891,907,132,145,44,Yes
Admission Fee Challan Received,800,885,157,169,171,Yes
Application Fee Received,759,619,99,152,105,No
Application Fee Received,770,611,94,90,127,No
Application Fee Received,867,754,120,154,142,No
Application Fee Received,826,748,147,138,124,No
Application Fee Received,653,554,0,0,0,No
Application Fee Received,903,840,121,0,0,Yes
Application Fee Received,580,684,70,46,53,No
Admission Fee Challan Printed,640,700,0,0,0,No
Application Fee Received,684,700,110,139,118,No
Application Fee Received,909,816,135,0,0,No
Admission Fee Challan Received,935,843,132,160,138,Yes
Application Fee Received,618,580,0,0,0,No
Application Fee Received,717,592,127,100,91,No
Application Fee Received,765,795,151,150,135,No
Application Fee Received,919,716,0,0,0,No
Application Fee Received,729,953,170,142,177,Yes
Application Fee Received,779,612,111,139,103,No
Application Fee Received,702,629,108,0,0,No
Application Fee Received,881,711,143,112,0,No
Application Fee Received,700,601,0,0,0,No
Application Fee Received,645,700,113,120,119,No
Application Fee Received,875,740,137,144,125,No
Application Fee Received,861,760,0,0,0,No
Application Fee Received,662,571,128,133,79,No
Application Fee Received,507,636,0,0,0,No
Application Fee Received,666,654,120,128,87,No
Application Fee Received,867,754,120,154,142,No
Application Fee Received,723,623,0,0,0,No
Admission Fee Challan Received,855,781,151,147,122,No
Application Fee Received,814,731,162,129,120,No
Application Fee Received,822,812,170,161,124,No
Application Fee Received,609,598,79,46,17,No
Application Fee Received,520,511,94,103,0,No
Application Fee Received,509,766,35,0,0,No
Application Fee Received,647,722,0,0,0,No
Application Fee Received,760,579,137,78,112,No
Application Fee Received,702,508,79,90,68,No
Application Fee Received,759,790,160,135,163,No
Application Fee Received,552,781,185,135,102,No
Application Fee Received,680,650,131,123,121,No
Application Fee Received,552,673,88,76,97,No
Application Fee Received,835,766,67,59,76,No
Application Fee Received,746,646,122,116,124,No
Admission Fee Challan Received,828,823,124,149,172,Yes
Application Fee Received,599,597,95,102,154,No
Application Fee Received,737,611,118,119,84,No
Application Fee Received,778,684,159,145,114,No
Admission Fee Challan Received,763,823,170,128,134,Yes
Application Fee Received,787,875,0,0,0,No
Admission Fee Challan Received,915,879,154,149,154,Yes
Application Fee Received,667,784,158,151,104,No
Application Fee Received,714,706,131,110,107,No
Application Fee Received,651,601,86,123,102,No
Application Fee Received,822,751,132,128,135,No
Application Fee Received,698,754,155,115,138,No
Application Fee Received,710,744,0,0,0,No
Application Fee Received,555,468,81,75,74,No
Application Fee Received,672,599,91,89,128,No
Application Fee Received,756,804,136,129,147,Yes
Application Fee Received,612,559,73,120,0,No
Application Fee Received,643,641,108,0,0,No
Application Fee Received,802,721,160,124,117,No
Admission Fee Challan Received,857,829,154,48,118,No
Application Fee Received,671,758,141,141,137,No
Application Fee Received,840,636,160,78,98,No
Application Fee Received,832,903,153,142,170,Yes
Application Fee Received,557,532,91,100,104,No
Application Fee Received,725,723,132,117,122,No
Application Fee Received,601,589,96,95,59,No
Application Fee Received,923,907,168,155,170,Yes
Application Fee Received,638,588,102,143,96,No
Application Fee Received,621,619,109,140,0,No
Application Fee Received,728,632,140,111,97,No
Application Fee Received,734,606,111,124,78,No
Application Fee Received,608,633,72,132,147,No
Application Fee Received,654,678,168,127,88,No
Application Fee Received,822,750,121,156,114,No
Application Fee Received,903,840,121,0,0,Yes
Application Fee Received,692,723,144,121,130,No
Application Fee Received,844,649,128,133,123,No
Application Fee Received,915,746,142,110,129,No
Application Fee Received,650,551,110,84,82,No
Admission Fee Challan Received,829,875,129,147,163,Yes
Application Fee Received,826,748,147,138,124,No
Application Fee Received,630,634,124,91,96,No
Application Fee Received,814,657,150,87,124,No
Application Fee Received,807,736,129,127,128,No
Application Fee Received,901,820,150,167,120,No
Application Fee Received,781,612,93,112,110,No
Application Fee Received,761,699,96,40,128,No
Application Fee Received,783,678,0,0,0,No
Application Fee Received,679,653,125,127,115,No
Application Fee Received,744,708,118,0,0,No
Application Fee Received,659,512,69,99,113,No
Admission Fee Challan Received,786,853,153,170,120,Yes
Application Fee Received,708,645,100,123,112,No
Application Fee Received,767,684,117,28,121,No
Application Fee Received,798,771,151,148,123,No
Application Fee Received,832,661,0,0,0,No
Application Fee Received,658,726,138,122,137,No
Application Fee Received,890,930,153,170,190,Yes
Application Fee Received,670,632,0,0,0,No
Application Fee Received,657,677,93,139,132,No
Application Fee Received,739,574,125,89,103,No
Application Fee Received,791,757,0,0,0,No
Application Fee Received,777,679,100,118,132,No
Application Fee Received,919,878,155,154,158,Yes
Application Fee Received,755,697,137,132,83,No
Application Fee Received,720,709,138,32,87,No
Application Fee Received,606,646,106,72,107,No
Application Fee Received,824,582,118,132,64,No
Application Fee Received,842,660,148,115,92,No
Application Fee Received,636,611,128,86,0,No
Application Fee Received,604,677,96,92,0,No
Application Fee Received,899,643,89,118,151,No
Application Fee Received,590,680,141,107,117,No
Application Fee Received,771,618,134,108,97,No
Application Fee Received,928,892,153,165,178,Yes
Application Fee Received,723,547,97,105,79,No
Admission Fee Challan Received,824,792,150,138,117,Yes
Application Fee Received,882,857,185,162,153,Yes
Application Fee Received,611,671,111,142,90,No
Application Fee Received,695,708,111,175,0,No
Application Fee Received,721,738,116,144,119,No
Application Fee Received,731,799,132,48,141,No
Application Fee Received,673,662,132,125,93,No
Application Fee Received,781,619,108,131,115,No
Admission Fee Challan Received,886,567,110,118,109,No
Application Fee Received,739,756,159,114,117,No
Application Fee Received,801,653,158,110,121,No
Application Fee Received,757,863,0,0,0,No
Application Fee Received,777,697,158,86,128,No
Application Fee Received,753,542,112,89,89,No
Application Fee Received,621,596,111,97,106,No
Application Fee Received,793,798,146,115,140,No
Application Fee Received,907,814,140,174,0,No
Application Fee Received,818,734,136,0,0,No
Application Fee Received,792,782,159,158,133,No
Application Fee Received,880,834,167,136,138,Yes
Application Fee Received,673,662,132,125,93,No
Application Fee Received,781,619,108,131,115,No
Application Fee Received,761,704,0,0,0,No
Application Fee Received,730,758,138,0,0,No
Application Fee Received,506,667,122,114,131,No
Admission Fee Challan Received,735,780,0,0,0,No
Application Fee Received,665,556,103,88,117,No
Application Fee Received,890,880,138,39,183,Yes
Application Fee Received,821,561,122,103,99,No
Application Fee Received,759,619,99,152,105,No
Application Fee Received,851,708,132,111,147,No
Application Fee Received,749,618,120,124,83,No
Application Fee Received,770,745,0,0,0,No
Application Fee Received,866,718,118,161,139,No
Admission Fee Challan Printed,640,700,0,0,0,No
Application Fee Received,738,659,130,85,114,No
Application Fee Received,822,837,142,153,160,No
Application Fee Received,770,611,94,90,127,No
Admission Fee Challan Received,846,888,149,47,174,Yes
Application Fee Received,785,751,176,109,109,No
Application Fee Received,630,607,115,85,66,No
Application Fee Received,738,639,105,110,152,No
Application Fee Received,762,662,143,144,145,No
Application Fee Received,662,535,94,101,102,No
Application Fee Received,715,553,99,77,99,No
Application Fee Received,778,717,141,146,125,No
Application Fee Received,819,777,145,45,132,No
Application Fee Received,631,668,125,136,104,No
Application Fee Received,718,666,94,140,119,No
Application Fee Received,808,786,58,0,0,No
Application Fee Received,722,648,75,96,107,No
Application Fee Received,800,702,131,118,0,No
Application Fee Received,790,721,161,145,112,No
Application Fee Received,580,684,70,46,53,No
Application Fee Received,879,722,152,168,83,No
Application Fee Received,881,795,140,174,144,Yes
Application Fee Received,755,728,145,152,112,No
Application Fee Received,654,572,123,87,121,No
Application Fee Received,653,554,0,0,0,No
Application Fee Received,853,844,181,143,168,Yes
Application Fee Received,714,731,152,89,179,No
Application Fee Received,769,684,128,107,115,No
Application Fee Received,874,755,69,71,43,No
Application Fee Received,657,754,119,151,0,No
Application Fee Received,740,648,88,0,0,No
Application Fee Received,689,623,145,110,88,No
Application Fee Received,672,807,88,80,65,No
Application Fee Received,820,648,0,0,0,No
Application Fee Received,614,622,0,0,0,No
Application Fee Received,901,820,150,167,120,No
Application Fee Received,901,820,150,167,120,No
Application Fee Received,698,754,155,115,138,No
Application Fee Received,666,654,120,128,87,No
Admission Fee Challan Received,900,923,183,0,0,Yes
Admission Fee Challan Received,868,871,157,153,165,Yes
Admission Fee Challan Received,846,922,149,43,176,Yes
Admission Fee Challan Received,935,954,175,0,0,Yes
Application Fee Received,735,657,144,119,99,No
Application Fee Received,813,750,136,37,153,No
Application Fee Received,781,758,110,150,140,No
Application Fee Received,756,680,142,150,111,No
Application Fee Received,830,716,129,135,120,No
Application Fee Received,553,613,114,114,88,No
Application Fee Received,687,577,137,80,114,No
Application Fee Received,731,654,144,91,110,No
Application Fee Received,601,527,128,100,94,No
Application Fee Received,747,738,139,118,132,No
Admission Fee Challan Received,863,834,134,138,158,Yes
Application Fee Received,806,778,143,117,123,Yes
Application Fee Received,870,788,140,123,168,No
Application Fee Received,802,727,125,170,116,No
Application Fee Received,546,680,122,134,113,No
Application Fee Received,462,694,126,105,134,No
Application Fee Received,557,600,135,100,74,No
Application Fee Received,634,668,104,147,134,No
Application Fee Received,802,627,0,0,0,No
Application Fee Received,704,752,115,136,117,No
Application Fee Received,838,665,100,111,131,No
Application Fee Received,566,548,93,50,141,No
Application Fee Received,736,846,0,0,0,No
Application Fee Received,667,555,72,71,126,No
Application Fee Received,791,677,0,0,0,No
Application Fee Received,462,694,126,105,134,No
