Application Status,Merit Score,Admission Test,ssc_obtained,Terminal Degree,Offered
Application Fee Received,57.873,45,518,672,No
Application Fee Received,56.218,57,583,773,No
Application Fee Received,55.6,50,756,627,No
Application Fee Received,72.618,54,868,850,Yes
Application Fee Received,59.018,46,758,685,No
Application Fee Received,55.398,49,753,592,No
Application Fee Received,56.327,50,855,642,No
Application Fee Received,63.636,56,654,721,No
Application Fee Received,41.618,43,524,459,No
Application Fee Received,58.6,49,633,671,No
Application Fee Received,69.582,53,886,811,Yes
Application Fee Received,50.727,50,651,565,No
Application Fee Received,61.745,60,767,684,No
Application Fee Received,57.855,54,748,647,No
Application Fee Received,62.345,43,672,719,No
Application Fee Received,53.345,50,551,596,No
Application Fee Received,73.538,60,788,846,No
Application Fee Received,64.164,51,829,742,No
Application Fee Received,63,51,658,726,No
Application Fee Received,51.145,55,665,552,No
Application Fee Received,60.673,47,773,705,No
Application Fee Received,52.364,40,816,615,No
Admission Fee Challan Received,72.182,50,904,860,Yes
Application Fee Received,53.164,0,731,731,No
Application Fee Received,61.091,52,755,697,No
Admission Fee Challan Received,65.927,62,798,741,Yes
Application Fee Received,58.945,46,776,684,No
Application Fee Received,54.4,60,668,583,No
Application Fee Received,57.774,50,655,661,No
Application Fee Received,63.8,47,807,748,No
Application Fee Received,52.291,40,549,609,No
Application Fee Received,66.364,54,758,764,No
Application Fee Received,62.2,63,845,682,No
Application Fee Received,55.836,49,678,633,No
Application Fee Received,47,51,663,516,No
Application Fee Received,69.673,0,891,958,No
Application Fee Received,60.309,51,790,689,No
Application Fee Received,47.418,40,753,542,No
Admission Fee Challan Received,65.298,50,657,765,Yes
Admission Fee Challan Received,67.036,57,644,765,Yes
Admission Fee Challan Received,69.127,50,748,813,Yes
Application Fee Received,51.727,47,716,582,No
Application Fee Received,57.055,42,733,679,No
Application Fee Received,43.042,0,769,596,No
Application Fee Received,56.364,44,672,654,No
Application Fee Received,50.309,41,613,579,No
Application Fee Received,64.764,62,703,720,No
Application Fee Received,58.182,0,769,800,No
Application Fee Received,56.044,50,705,617,No
Application Fee Received,53.782,42,747,624,No
Application Fee Received,53.855,50,734,603,No
Application Fee Received,56.182,58,749,618,No
Application Fee Received,61.945,45,484,728,No
Application Fee Received,53.345,50,781,596,No
Application Fee Received,52.655,52,574,586,No
Application Fee Received,41.345,38,513,469,No
Application Fee Received,65.945,53,697,766,Yes
Application Fee Received,64.509,44,784,771,No
Application Fee Received,72.225,47,793,868,Yes
Application Fee Received,67.527,50,793,796,No
Application Fee Received,53.455,44,812,614,No
Admission Fee Challan Printed,66.039,55,718,782,Yes
Admission Fee Challan Received,65.291,61,813,730,Yes
Application Fee Received,52.145,36,630,607,No
Application Fee Received,56.673,51,738,639,No
Application Fee Received,53.655,45,707,614,No
Application Fee Received,52.291,48,734,592,No
Admission Fee Challan Received,66.273,59,689,749,Yes
Application Fee Received,53.455,48,475,613,No
Application Fee Received,65.655,37,882,801,No
Application Fee Received,59.382,50,832,679,No
Application Fee Received,56.582,0,917,778,No
Application Fee Received,54.255,44,649,605,No
Application Fee Received,56.582,0,917,778,No
Admission Fee Challan Received,69.964,48,840,830,Yes
Admission Fee Challan Received,73.2,58,877,847,Yes
Admission Fee Challan Received,67.709,60,782,766,Yes
Admission Fee Challan Printed,0,30,714,740,No
Admission Fee Challan Received,68.4,47,553,811,Yes
Admission Fee Challan Received,68.636,49,662,814,Yes
Admission Fee Challan Received,69.309,64,917,777,Yes
Admission Fee Challan Printed,50.252,0,636,695,No
Admission Fee Challan Received,81.673,60,874,938,Yes
Admission Fee Challan Received,67.673,50,686,793,Yes
Admission Fee Challan Printed,50.013,0,812,692,No
Admission Fee Challan Received,70.2,55,832,819,Yes
Admission Fee Challan Received,71.182,57,653,822,Yes
Admission Fee Challan Received,68.436,56,928,787,Yes
Application Fee Received,68.518,0,715,942,No
Application Fee Received,60.982,50,593,706,No
Application Fee Received,79.309,70,892,898,Yes
Application Fee Received,61.29,33,609,718,No
Application Fee Received,45.729,31,636,543,No
Application Fee Received,43.77,100,625,606,No
Application Fee Received,60.982,50,593,706,No
Application Fee Received,65.964,52,859,764,Yes
Application Fee Received,63.473,49,818,743,No
Application Fee Received,63.382,50,589,734,No
Application Fee Received,70.327,64,789,796,No
Application Fee Received,53.291,41,778,620,No
Application Fee Received,57.491,50,551,658,No
Application Fee Received,56.709,57,875,623,No
Application Fee Received,44.873,0,798,617,No
Application Fee Received,43.345,48,549,469,No
Admission Fee Challan Received,65.411,50,566,766,Yes
Application Fee Received,56.255,50,613,636,No
Application Fee Received,60.091,55,695,675,No
Application Fee Received,79.309,70,892,898,Yes
Application Fee Received,56.273,37,688,672,No
Application Fee Received,54.582,46,830,624,No
Admission Fee Challan Received,67,47,799,792,Yes
Application Fee Received,50.582,46,581,574,No
Admission Fee Challan Printed,68.891,51,892,807,Yes
Application Fee Received,52.073,0,737,721,No
Application Fee Received,56.509,0,788,777,No
Application Fee Received,45.729,31,636,543,No
Application Fee Received,50.382,45,703,569,No
Application Fee Received,57.455,44,649,679,No
Application Fee Received,52.036,42,639,600,No
Application Fee Received,56.236,55,614,622,No
Application Fee Received,54.673,61,546,584,No
Application Fee Received,52.764,50,885,588,No
Application Fee Received,61.29,33,609,718,No
Application Fee Received,68.518,0,715,942,No
Admission Fee Challan Received,52.745,43,733,607,No
Application Fee Received,70.327,48,844,815,Yes
Application Fee Received,63.109,57,801,711,No
Application Fee Received,49.382,52,609,536,No
Application Fee Received,58.909,56,638,661,No
Application Fee Received,72.236,71,819,798,No
Admission Fee Challan Received,65.777,40,638,799,Yes
Admission Fee Challan Received,53.491,46,669,609,No
Application Fee Received,58.891,45,734,686,No
Application Fee Received,56.127,53,546,606,No
Application Fee Received,59.158,49,706,663,No
Application Fee Received,74.855,59,912,867,Yes
Application Fee Received,58.4,52,806,660,No
Application Fee Received,62.964,57,756,709,No
Application Fee Received,44.945,48,499,486,No
Admission Fee Challan Received,67.346,44,538,805,Yes
Application Fee Received,51.709,44,698,590,No
Application Fee Received,52.509,48,700,590,No
Admission Fee Challan Received,74.382,61,942,860,Yes
Admission Fee Challan Received,72.964,51,823,863,Yes
Admission Fee Challan Received,78.909,60,793,925,Yes
Admission Fee Challan Received,74.982,68,651,844,Yes
Admission Fee Challan Printed,75.2,76,747,825,Yes
