Application Status,Merit Score,nts_ok_flag,every_thing_ok_in_education,Admission Test,ssc_obtained,Terminal Degree,hsc_opt_1_obtained,hsc_opt_2_obtained,hsc_opt_4_obtained,hsc_opt_5_obtained,Offered
Application Fee Received,788,1,1,49,806,739,0,0,0,0,Yes
Application Fee Received,640,1,1,51,679,594,144,117,84,75,No
Application Fee Received,815,1,1,51,840,764,155,122,116,159,Yes
Application Fee Received,837,1,1,38,838,799,137,0,0,136,Yes
Application Fee Received,930,1,1,44,854,886,144,153,183,44,Yes
Application Fee Received,812,1,1,52,850,760,139,146,134,124,Yes
Application Fee Received,799,1,1,43,837,756,151,123,105,151,Yes
Application Fee Received,880,1,1,68,865,812,0,0,0,0,Yes
Application Fee Received,651.636,1,1,38,792,613,124,103,93,35,No
Application Fee Received,609,1,1,46,597,573,122,78,77,37,No
Application Fee Received,1013,1,1,60,804,933,170,170,162,168,Yes
Application Fee Received,884,1,1,44,598,840,44,155,172,166,Yes
Application Fee Received,962.636,1,1,66,919,896,149,131,178,167,Yes
Application Fee Received,576,0,1,0,627,576,95,98,126,100,No
Application Fee Received,892,1,1,40,846,857,177,0,0,0,Yes
Application Fee Received,888,1,1,56,785,842,131,147,174,179,Yes
Application Fee Received,681,1,1,47,576,614,99,76,127,109,No
Application Fee Received,888,1,1,50,784,838,0,0,0,0,Yes
Application Fee Received,629,0,1,0,641,629,116,0,0,0,No
Application Fee Received,666,1,1,47,630,619,0,0,0,0,No
Application Fee Received,671,1,1,43,656,633,89,140,128,121,No
Application Fee Received,708.782,1,0,32,740,681,141,135,120,83,No
Application Fee Received,715,1,1,50,651,665,117,90,108,42,No
Application Fee Received,699,1,1,28,676,671,103,0,0,0,No
Application Fee Received,954,1,1,52,886,902,172,35,152,165,Yes
Application Fee Received,677,1,1,34,752,643,0,0,0,0,No
Application Fee Received,735,1,1,55,756,680,0,0,0,0,No
Admission Fee Challan Received,0,1,1,50,884,712,151,0,0,90,Yes
Application Fee Received,633,1,1,50,521,588,102,81,0,106,No
Application Fee Received,732,1,1,42,843,690,110,136,115,0,Yes
Application Fee Received,738,1,1,43,788,700,141,125,127,107,No
Application Fee Received,651,1,1,27,690,624,137,92,117,105,No
Application Fee Received,859.5,1,1,17,819,842,141,158,156,170,Yes
Application Fee Received,665,1,1,30,738,635,99,102,113,139,No
Application Fee Received,732,1,1,100,640,676,0,0,0,0,No
Application Fee Received,600,1,1,70,623,515,88,65,96,34,No
Application Fee Received,618,0,1,0,753,628,103,116,103,0,No
Application Fee Received,767,0,1,0,852,767,150,159,131,74,No
Application Fee Received,647,1,1,56,717,591,127,73,94,105,No
Application Fee Received,701,1,1,57,654,644,130,0,0,0,No
Application Fee Received,681,1,1,40,900,641,114,114,119,44,No
Application Fee Received,545,0,1,0,579,550,122,116,92,66,No
Application Fee Received,661,1,1,50,603,611,95,92,113,39,No
Application Fee Received,686,1,1,44,805,642,117,105,112,0,No
Application Fee Received,750,1,1,54,547,696,153,0,0,162,Yes
Application Fee Received,856,1,1,42,758,814,150,137,124,158,Yes
Application Fee Received,696,1,1,56,838,640,113,111,126,89,No
Application Fee Received,709.75,1,1,13,627,676,0,0,0,0,No
Application Fee Received,652,1,1,47,688,615,110,123,102,87,No
Application Fee Received,902.909,1,1,36,848,866,132,142,165,167,Yes
Application Fee Received,842,1,1,43,834,784,167,154,116,45,Yes
Application Fee Received,950.909,1,1,65,798,870,172,50,165,139,Yes
Application Fee Received,821,1,1,53,785,773,133,129,153,137,Yes
Application Fee Received,902,1,1,51,806,856,132,139,171,45,Yes
Application Fee Received,831.727,1,1,22,873,809,152,147,154,39,Yes
Admission Fee Challan Received,750,1,1,56,896,704,138,120,96,141,No
Application Fee Received,579,1,1,45,572,539,73,108,104,89,No
Admission Fee Challan Received,752,1,1,52,716,700,128,108,120,42,Yes
Application Fee Received,518.851,1,0,44,643,474,37,28,28,44,No
Application Fee Received,688,1,1,76,718,617,0,0,0,0,No
Admission Fee Challan Received,0,,,50,861,778,115,137,0,0,No
Admission Fee Challan Received,900,1,1,48,790,852,0,0,0,0,Yes
Admission Fee Challan Received,842,1,1,53,755,789,0,0,0,0,Yes
Admission Fee Challan Received,845,1,1,53,824,792,140,143,138,139,Yes
Admission Fee Challan Received,899,1,1,59,720,840,135,151,151,162,Yes
Admission Fee Challan Received,975,1,1,58,769,917,158,171,169,45,Yes
Admission Fee Challan Printed,768,1,1,49,868,719,141,115,129,146,Yes
Admission Fee Challan Received,798,1,1,50,804,748,140,128,123,142,Yes
Admission Fee Challan Received,808,1,1,53,648,755,104,119,147,155,Yes
Admission Fee Challan Received,901,1,1,50,797,831,161,0,0,123,Yes
Admission Fee Challan Received,790,1,1,47,702,743,114,136,149,137,Yes
Admission Fee Challan Received,720,1,1,44,900,676,129,117,112,0,No
Admission Fee Challan Received,736,1,1,53,915,683,131,130,117,92,Yes
Admission Fee Challan Received,738,1,1,56,695,682,135,118,123,110,Yes
Admission Fee Challan Received,755,1,1,51,867,704,0,0,0,0,Yes
Admission Fee Challan Received,853.889,1,1,62,798,785,132,151,131,133,Yes
Admission Fee Challan Received,960,1,1,50,815,890,175,0,0,162,Yes
Admission Fee Challan Received,761,1,1,46,847,715,119,139,116,121,Yes
Admission Fee Challan Received,933,1,1,67,818,866,0,0,0,0,Yes
Admission Fee Challan Received,855,1,1,58,805,802,141,154,145,0,Yes
Admission Fee Challan Received,776,1,1,49,817,727,149,140,100,127,Yes
Admission Fee Challan Received,875,1,1,59,636,816,140,163,153,131,Yes
Admission Fee Challan Received,868,1,1,57,809,811,160,155,159,112,Yes
Admission Fee Challan Received,776,1,1,56,843,720,132,119,120,112,Yes
Admission Fee Challan Received,802,1,1,44,781,758,140,141,110,140,Yes
Admission Fee Challan Received,939,1,1,50,895,889,130,164,163,48,Yes
Admission Fee Challan Received,795,1,1,50,806,745,135,145,152,81,Yes
Admission Fee Challan Received,767,1,1,44,666,723,0,0,0,0,No
Admission Fee Challan Received,1011,1,1,56,970,945,0,0,0,0,Yes
Admission Fee Challan Received,854,1,1,53,842,754,149,140,96,0,Yes
Admission Fee Challan Received,859,1,1,48,699,811,141,144,113,173,Yes
Admission Fee Challan Received,927,1,1,42,922,885,177,157,175,158,Yes
Admission Fee Challan Received,770,1,1,43,843,727,141,122,144,132,Yes
Admission Fee Challan Received,746,1,1,48,707,698,0,0,0,0,No
Admission Fee Challan Received,976,1,1,68,898,908,132,157,177,173,Yes
Admission Fee Challan Received,849.111,1,1,46,770,798,146,145,149,131,Yes
Admission Fee Challan Received,754,1,1,46,630,708,114,141,145,125,No
Admission Fee Challan Received,844,1,1,60,824,789,160,132,153,114,Yes
Admission Fee Challan Received,782,1,1,50,870,732,142,124,126,0,Yes
Admission Fee Challan Received,868,1,1,64,703,804,94,134,171,181,Yes
Admission Fee Challan Printed,771,1,1,44,748,727,129,123,113,131,Yes
Admission Fee Challan Received,805,1,1,46,832,739,125,134,117,124,Yes
Admission Fee Challan Received,736,1,1,54,822,682,91,137,142,130,Yes
Admission Fee Challan Received,759,1,1,48,707,711,145,122,112,0,Yes
Admission Fee Challan Received,878,1,1,45,841,833,0,0,0,0,Yes
Admission Fee Challan Received,774,1,1,50,651,724,113,139,144,133,Yes
Admission Fee Challan Received,926,1,1,65,890,871,128,158,170,153,Yes
Admission Fee Challan Received,871,1,1,46,903,825,137,162,145,143,Yes
Admission Fee Challan Received,882,1,1,54,808,828,117,166,146,45,No
Admission Fee Challan Received,728,1,1,47,851,681,123,114,151,114,Yes
Admission Fee Challan Received,770,1,1,46,810,724,108,136,151,121,Yes
Admission Fee Challan Received,918,1,1,50,838,868,0,0,0,0,Yes
Admission Fee Challan Received,772,1,1,55,713,717,133,111,132,122,Yes
Admission Fee Challan Received,786,1,1,59,821,732,136,172,0,0,Yes
Admission Fee Challan Received,733,1,1,40,771,693,132,106,115,0,Yes
Admission Fee Challan Received,891,1,1,54,691,837,145,141,180,140,Yes
Admission Fee Challan Received,754,1,1,47,875,707,153,125,138,89,Yes
Application Fee Received,685,1,1,42,716,648,94,117,140,100,No
Admission Fee Challan Received,871,1,1,61,847,810,151,132,147,138,No
Application Fee Received,916.909,1,1,50,879,866,168,146,44,146,Yes
Application Fee Received,818,1,1,64,845,754,155,140,117,129,Yes
Application Fee Received,697,1,1,44,777,653,103,108,124,0,No
Application Fee Received,1001,1,1,62,939,939,0,0,0,0,Yes
Application Fee Received,695,1,1,30,733,665,122,109,132,41,No
Application Fee Received,872,0,1,0,707,872,166,161,150,0,No
Application Fee Received,575,1,1,43,576,532,98,82,112,90,No
Application Fee Received,849,1,1,50,883,799,145,45,130,161,Yes
Application Fee Received,941,1,1,50,933,891,0,0,0,0,Yes
Application Fee Received,800,1,1,47,898,753,0,0,0,0,Yes
Application Fee Received,954,1,1,48,909,906,158,144,174,181,Yes
Admission Fee Challan Received,0,1,1,42,728,818,126,155,137,144,Yes
Application Fee Received,651,0,1,0,921,651,122,138,35,83,No
Application Fee Received,899,1,1,54,827,845,154,162,144,0,Yes
Application Fee Received,1014,1,1,64,891,935,0,0,0,0,Yes
Application Fee Received,608,1,1,51,609,557,114,84,0,76,No
Application Fee Received,640,1,1,45,634,595,117,105,127,78,No
Application Fee Received,664,1,1,44,825,620,121,114,110,86,No
Application Fee Received,678,1,1,41,683,622,135,120,59,40,No
Application Fee Received,687,1,1,58,831,629,122,39,86,35,No
Application Fee Received,678,1,1,54,610,604,150,75,98,121,No
Application Fee Received,772,1,1,41,840,711,0,0,0,0,Yes
Application Fee Received,690,1,1,47,831,623,86,127,101,36,No
Application Fee Received,768,1,1,52,750,701,108,126,47,161,Yes
Application Fee Received,891,1,1,51,527,825,166,0,0,170,Yes
Application Fee Received,879.545,1,1,24,860,855,161,0,0,141,Yes
Application Fee Received,614,1,1,41,570,573,74,126,112,83,No
Application Fee Received,780,0,1,0,726,780,0,0,0,0,No
Application Fee Received,588,1,1,40,809,538,107,76,75,0,No
Application Fee Received,782,1,1,41,794,746,149,167,0,0,Yes
Application Fee Received,671,1,1,44,883,607,137,87,106,96,No
Application Fee Received,696.535,1,0,30,661,666,42,39,39,62,No
Application Fee Received,708,1,1,41,828,667,126,44,119,93,No
Application Fee Received,904,0,1,0,842,904,169,155,166,155,No
Application Fee Received,745,1,1,45,729,700,155,0,0,123,Yes
Application Fee Received,589,1,1,47,631,552,75,101,0,0,No
Application Fee Received,679,1,1,50,777,629,115,119,99,0,No
Application Fee Received,775,1,1,47,608,733,142,98,155,137,Yes
Application Fee Received,654,1,1,42,640,612,75,0,0,0,No
Application Fee Received,884.727,1,1,35,859,829,153,157,154,139,Yes
Application Fee Received,661,1,1,49,777,612,129,107,113,94,No
Application Fee Received,949,1,1,56,895,893,165,153,145,162,Yes
Application Fee Received,817,1,1,1,863,816,150,156,39,152,Yes
Application Fee Received,685,1,1,42,716,648,94,117,140,100,No
Application Fee Received,906.727,1,1,45,931,861,174,157,145,46,Yes
Application Fee Received,690,0,1,0,644,690,135,142,121,102,No
Application Fee Received,580,0,1,0,532,580,0,0,0,0,No
Application Fee Received,728.317,1,0,45,794,688,90,125,108,95,No
Application Fee Received,887,1,1,59,926,828,169,151,143,120,Yes
Application Fee Received,763,1,1,48,712,725,135,154,123,118,No
Application Fee Received,650,0,1,39,706,650,137,109,0,0,No
Application Fee Received,553,1,1,48,489,505,99,96,101,71,No
Application Fee Received,553,1,1,49,603,504,102,73,80,0,No
Application Fee Received,554,1,1,44,703,510,109,75,75,90,No
Application Fee Received,713,1,1,54,717,659,141,126,111,82,No
Application Fee Received,818,1,1,47,845,771,144,140,114,161,Yes
Application Fee Received,753,1,1,60,768,693,126,99,142,0,Yes
Application Fee Received,922,1,1,65,941,857,155,173,124,170,Yes
Application Fee Received,832,1,1,43,865,789,133,135,121,138,Yes
Application Fee Received,602,1,1,58,676,544,92,39,96,81,No
Application Fee Received,939,1,1,65,920,874,152,179,160,0,Yes
Application Fee Received,839,1,1,52,793,787,148,127,140,155,Yes
Application Fee Received,714,0,1,1,875,714,137,47,114,115,No
Application Fee Received,827,1,1,45,877,782,145,143,133,124,Yes
Application Fee Received,610,1,1,65,633,545,85,130,110,68,No
Application Fee Received,799.455,1,1,27,859,772,153,109,153,134,Yes
Application Fee Received,645,1,1,50,861,600,143,113,77,74,No
Application Fee Received,734,1,1,42,765,692,0,0,0,0,No
Application Fee Received,660,1,1,41,705,629,85,137,121,96,No
Application Fee Received,937.182,1,1,36,752,906,155,167,169,94,Yes
Application Fee Received,879,1,1,32,800,852,136,163,159,154,Yes
Application Fee Received,914,1,1,65,929,849,164,153,129,156,Yes
Application Fee Received,927.5,1,1,75,904,865,150,165,180,44,Yes
Application Fee Received,711,1,1,40,548,671,135,87,146,100,No
Application Fee Received,1014.727,1,1,54,940,960,166,153,191,180,Yes
Application Fee Received,692,1,1,43,751,649,136,128,148,78,No
Application Fee Received,805,1,1,52,924,753,130,102,148,0,Yes
Application Fee Received,661,1,1,33,754,628,110,100,117,104,No
Application Fee Received,652,1,1,39,819,613,0,0,0,0,No
Application Fee Received,625,1,1,44,632,581,129,99,94,85,No
Application Fee Received,682,0,1,0,679,687,102,122,120,45,No
Application Fee Received,711,1,1,45,761,671,122,145,125,104,No
Application Fee Received,1041.364,1,1,56,904,985,169,153,188,192,Yes
Application Fee Received,683,1,1,43,775,640,119,116,82,45,No
Application Fee Received,683,1,1,49,640,634,87,36,113,44,No
Application Fee Received,890,1,1,63,836,827,130,173,145,161,Yes
Application Fee Received,780,0,1,32,855,785,151,124,150,125,No
Application Fee Received,711,1,1,45,761,671,122,145,125,104,No
Application Fee Received,1041.364,1,1,56,904,985,169,153,188,192,Yes
Application Fee Received,614,1,1,43,843,571,96,96,126,53,No
Application Fee Received,751,1,1,51,650,700,151,117,106,129,Yes
Application Fee Received,812,1,1,53,671,759,141,110,153,117,Yes
Application Fee Received,777,1,1,50,757,727,166,83,125,47,Yes
Application Fee Received,590,0,1,0,863,595,0,0,0,0,No
Application Fee Received,882,1,1,45,850,837,134,125,172,148,Yes
Application Fee Received,997,1,1,59,952,938,175,177,173,0,Yes
Application Fee Received,662,1,1,42,654,620,102,102,128,0,No
Application Fee Received,682,1,1,44,790,638,119,110,95,141,No
Application Fee Received,1172,1,1,52,615,1100,118,0,0,0,Yes
Application Fee Received,589,1,1,43,654,546,120,64,98,105,No
Application Fee Received,893,1,1,50,722,843,0,0,0,0,Yes
Application Fee Received,772,1,1,57,737,715,162,108,131,38,Yes
Application Fee Received,829,1,1,43,778,786,127,45,141,43,Yes
Application Fee Received,586,0,1,0,688,586,89,142,98,62,No
Application Fee Received,735,0,1,0,864,735,117,160,135,103,No
Application Fee Received,689,1,1,29,529,660,154,104,98,100,No
Application Fee Received,710,1,1,52,736,658,102,80,116,88,No
Application Fee Received,952,1,1,69,903,883,157,42,176,154,Yes
Application Fee Received,623,1,1,44,677,579,107,89,125,95,No
Application Fee Received,554,0,1,0,577,554,138,42,93,73,No
Application Fee Received,804,1,1,55,898,749,151,157,121,0,Yes
Application Fee Received,873,1,1,41,865,832,0,0,0,0,Yes
Application Fee Received,890,1,1,50,916,840,143,152,154,128,Yes
Application Fee Received,707,1,1,52,672,655,85,122,127,107,No
Application Fee Received,689,1,1,55,845,634,120,97,136,98,No
Application Fee Received,661,1,1,45,629,616,0,0,0,0,No
Application Fee Received,655,1,1,50,784,605,107,40,109,114,No
Application Fee Received,530,1,0,47,652,483,113,86,71,41,No
Application Fee Received,619,0,1,0,555,619,147,83,118,117,No
Application Fee Received,755,1,1,50,843,705,144,106,130,0,Yes
Application Fee Received,1002,1,1,52,901,950,150,140,150,150,Yes
Application Fee Received,742.364,1,1,400,621,686,119,40,138,122,No
Application Fee Received,973,1,1,47,851,926,175,171,45,172,Yes
Application Fee Received,802.358,1,0,34,762,773,62,45,69,44,No
Application Fee Received,805,0,1,0,949,805,144,149,150,0,No
Application Fee Received,673,0,1,0,882,673,143,43,115,89,No
Application Fee Received,632,0,1,0,730,632,96,91,109,0,No
Application Fee Received,851,0,1,0,867,851,0,0,0,0,No
Application Fee Received,901,1,1,38,905,863,0,0,0,0,Yes
Application Fee Received,808,1,1,45,730,763,123,133,131,0,Yes
Application Fee Received,599,1,1,45,608,554,0,0,0,0,No
Application Fee Received,553,0,1,0,631,553,133,128,74,70,No
Application Fee Received,682,0,1,0,665,687,129,123,159,105,No
Application Fee Received,653,1,1,46,758,607,133,126,96,79,No
Application Fee Received,607,1,1,50,554,567,125,74,77,37,No
Application Fee Received,690,0,1,0,811,690,0,0,0,0,No
Application Fee Received,800,1,1,50,740,750,135,137,122,122,Yes
Application Fee Received,631,1,1,44,732,587,89,86,109,38,No
Application Fee Received,1039.909,1,1,65,887,974,187,193,166,160,Yes
Application Fee Received,619,1,1,46,641,573,61,81,121,116,No
Application Fee Received,710,1,1,44,731,666,118,0,0,0,No
Application Fee Received,908,1,1,57,896,856,148,149,178,144,Yes
Application Fee Received,840.333,1,1,69,756,807,137,157,169,119,Yes
Application Fee Received,853,1,1,58,915,795,0,0,0,0,Yes
Application Fee Received,654,1,1,51,700,603,123,127,0,0,No
Application Fee Received,665,1,1,35,602,635,130,118,99,100,No
Application Fee Received,782,1,1,51,662,731,96,134,136,0,Yes
Application Fee Received,755,1,1,54,805,701,141,104,117,145,Yes
Application Fee Received,930,1,1,63,820,867,0,0,0,0,Yes
Application Fee Received,661,1,1,45,723,616,125,115,94,46,No
Application Fee Received,806,1,1,55,764,751,0,0,0,0,Yes
Application Fee Received,799,1,1,42,646,757,139,115,138,125,Yes
Application Fee Received,1082.406,1,0,68,1002,1019,93,0,0,0,No
Application Fee Received,867,1,1,54,925,813,160,44,124,147,Yes
Application Fee Received,726,1,1,38,783,688,150,106,140,135,No
Application Fee Received,1082.406,1,0,68,1002,1019,93,0,0,0,No
Application Fee Received,1002,1,1,52,901,950,150,140,150,150,Yes
Admission Fee Challan Received,932,1,1,56,861,876,0,0,0,0,Yes
Admission Fee Challan Received,896,1,1,56,651,820,159,41,161,44,Yes
Admission Fee Challan Received,827,1,1,50,900,757,0,0,0,0,Yes
Admission Fee Challan Received,727,1,1,41,715,686,137,145,119,116,No
Admission Fee Challan Received,937,1,1,48,861,889,0,0,0,0,Yes
Admission Fee Challan Received,905,1,1,57,912,828,160,160,162,130,Yes
Admission Fee Challan Received,825,1,1,46,891,779,161,137,151,136,Yes
Admission Fee Challan Received,815,1,1,52,855,763,139,145,147,125,Yes
Admission Fee Challan Received,888,1,1,61,707,827,158,139,134,152,Yes
Admission Fee Challan Received,732,1,1,51,814,681,122,108,114,99,Yes
Admission Fee Challan Received,906,1,1,52,926,854,149,141,151,41,Yes
Admission Fee Challan Printed,774,1,1,56,728,698,128,140,113,34,Yes
Admission Fee Challan Received,820,1,1,52,788,768,153,105,0,151,Yes
Admission Fee Challan Received,802,1,1,54,785,748,109,145,127,134,Yes
Admission Fee Challan Received,748,1,1,44,662,704,144,143,98,44,No
Admission Fee Challan Received,775,1,1,46,615,729,122,0,0,0,Yes
Admission Fee Challan Received,907,1,1,53,840,854,166,144,0,156,Yes
Admission Fee Challan Received,875,1,1,50,854,830,134,125,171,154,Yes
Admission Fee Challan Received,891,1,1,54,819,837,138,121,174,155,Yes
Admission Fee Challan Received,893,1,1,50,904,843,146,167,150,157,Yes
Admission Fee Challan Received,780,1,1,50,892,730,0,0,0,0,Yes
Admission Fee Challan Received,718,1,1,46,864,672,120,120,108,40,No
Admission Fee Challan Received,781,1,1,52,868,729,153,115,116,148,Yes
Admission Fee Challan Received,739,1,1,51,751,688,122,126,126,113,Yes
Admission Fee Challan Received,796,1,1,44,640,752,135,138,115,44,Yes
Admission Fee Challan Received,767,1,1,57,738,715,134,127,122,127,No
Admission Fee Challan Received,840,1,1,42,746,798,142,129,134,150,Yes
Admission Fee Challan Received,872,1,1,53,854,819,144,155,169,132,Yes
Admission Fee Challan Received,814,1,1,57,878,757,142,132,123,153,Yes
Admission Fee Challan Received,909,1,1,54,800,855,178,164,155,120,Yes
Admission Fee Challan Received,936,1,1,48,764,898,163,156,171,0,Yes
Admission Fee Challan Received,932,1,1,67,928,865,0,0,0,0,Yes
Admission Fee Challan Received,782,1,1,40,728,742,0,0,0,0,Yes
Admission Fee Challan Received,753,1,1,46,768,707,151,122,0,90,No
Admission Fee Challan Received,781,1,1,46,787,735,114,148,111,0,Yes
Admission Fee Challan Received,846,1,1,52,738,794,114,129,161,141,Yes
Admission Fee Challan Received,838,1,1,55,881,783,0,0,0,0,Yes
Admission Fee Challan Received,768,1,1,51,731,717,126,113,142,0,Yes
Admission Fee Challan Received,736,1,1,48,708,668,141,140,83,0,Yes
Admission Fee Challan Received,883,1,1,44,681,819,148,157,167,150,Yes
Admission Fee Challan Received,846,1,1,44,807,802,162,164,151,130,Yes
Admission Fee Challan Received,778,1,1,48,740,730,131,112,129,136,Yes
Admission Fee Challan Received,869,1,1,65,715,809,125,152,160,0,Yes
Admission Fee Challan Received,930,1,1,58,823,877,160,166,158,151,Yes
Admission Fee Challan Received,729,1,1,53,769,666,88,111,122,41,Yes
Admission Fee Challan Received,737,1,1,40,766,677,137,129,108,104,Yes
Admission Fee Challan Received,886,1,1,51,756,840,145,153,174,0,Yes
Admission Fee Challan Received,806,1,1,50,921,756,143,150,100,127,Yes
Admission Fee Challan Received,862,1,1,57,819,805,111,152,125,165,Yes
Admission Fee Challan Printed,830,1,1,65,751,765,118,163,147,108,Yes
Application Fee Received,856,1,1,56,777,800,130,80,45,150,Yes
Application Fee Received,662,1,1,52,670,610,124,112,108,44,No
Application Fee Received,1025,1,1,74,787,931,154,170,169,46,Yes
Admission Fee Challan Received,748,1,1,59,747,689,138,113,0,93,No
