Application Status,Admission Test,SSC,Terminal Degree,Optional Subject 5,Offered
Application Fee Received,63,593,649,104,No
Application Fee Received,61,850,804,44,No
Application Fee Received,47,793,676,105,No
Application Fee Received,47,789,761,176,No
Application Fee Received,50,663,658,0,No
Application Fee Received,0,527,546,41,No
Application Fee Received,52,831,770,125,No
Application Fee Received,49,679,680,41,No
Application Fee Received,41,667,773,109,No
Application Fee Received,57,754,779,125,No
Application Fee Received,36,729,566,108,No
Application Fee Received,50,640,514,125,No
Application Fee Received,43,862,789,0,No
Application Fee Received,49,806,739,0,No
Application Fee Received,48,805,757,151,No
Application Fee Received,50,816,571,94,No
Application Fee Received,62,922,918,180,Yes
Application Fee Received,59,786,746,125,No
Application Fee Received,50,508,650,83,No
Application Fee Received,52,767,593,89,No
Application Fee Received,35,632,578,42,No
Application Fee Received,53,552,800,0,No
Application Fee Received,71,966,909,0,Yes
Application Fee Received,54,786,777,0,No
Application Fee Received,77,924,740,140,No
Application Fee Received,51,847,710,105,No
Application Fee Received,47,670,685,164,No
Application Fee Received,53,552,800,0,No
Application Fee Received,49,539,683,54,No
Application Fee Received,48,650,817,0,No
Application Fee Received,52,532,390,0,No
Application Fee Received,58,821,672,58,No
Admission Fee Challan Received,56,775,942,185,Yes
Application Fee Received,50,652,799,0,No
Application Fee Received,51,615,601,67,No
Admission Fee Challan Received,0,602,610,0,No
Application Fee Received,19,839,808,62,No
Application Fee Received,50,734,799,0,No
Application Fee Received,46,761,688,87,No
Application Fee Received,45,841,833,0,No
Application Fee Received,53,921,719,90,No
Application Fee Received,53,917,874,42,Yes
Application Fee Received,58,924,744,0,No
Application Fee Received,50,679,673,111,No
Application Fee Received,59,921,812,0,No
Application Fee Received,49,904,797,0,No
Application Fee Received,44,604,628,0,No
Application Fee Received,52,847,901,91,No
Application Fee Received,0,762,794,172,No
Application Fee Received,52,635,673,115,No
Application Fee Received,50,651,724,133,No
Application Fee Received,54,823,652,102,No
Application Fee Received,64,750,660,109,No
Application Fee Received,49,750,693,0,No
Application Fee Received,52,580,710,120,No
Application Fee Received,44,604,628,0,No
Application Fee Received,52,847,901,91,No
Application Fee Received,61,841,685,98,No
Application Fee Received,53,623,668,0,No
Admission Fee Challan Received,42,639,525,65,No
Application Fee Received,45,555,680,91,No
Application Fee Received,47,563,867,41,No
Application Fee Received,52,756,792,0,No
Application Fee Received,49,817,782,122,No
Application Fee Received,34,752,643,0,No
Application Fee Received,41,755,631,114,No
Application Fee Received,50,604,254,44,No
Application Fee Received,60,858,808,139,No
Application Fee Received,53,630,686,95,No
Application Fee Received,17,819,842,170,No
Application Fee Received,56,791,858,0,No
Application Fee Received,22,830,714,95,No
Application Fee Received,29,753,732,0,No
Application Fee Received,50,674,578,110,No
Application Fee Received,38,749,641,125,No
Application Fee Received,56,940,856,160,No
Application Fee Received,51,865,748,103,No
Application Fee Received,59,711,703,120,No
Application Fee Received,0,852,767,74,No
Application Fee Received,57,654,644,0,No
Application Fee Received,53,712,775,0,No
Application Fee Received,50,838,868,0,No
Application Fee Received,40,900,641,44,No
Application Fee Received,58,789,819,0,No
Application Fee Received,11,717,841,0,No
Application Fee Received,64,861,722,136,No
Application Fee Received,54,678,700,142,No
Application Fee Received,10,699,729,45,No
Application Fee Received,50,734,799,0,No
Application Fee Received,59,807,755,142,No
Application Fee Received,53,840,714,116,No
Application Fee Received,52,735,682,144,No
Application Fee Received,54,547,696,162,No
Application Fee Received,51,735,773,95,No
Application Fee Received,49,606,792,90,No
Application Fee Received,52,857,845,0,No
Application Fee Received,61,873,977,175,Yes
Application Fee Received,50,861,817,122,No
Application Fee Received,47,903,780,124,No
Application Fee Received,47,688,615,87,No
Application Fee Received,58,751,595,29,No
Application Fee Received,49,835,770,157,No
Application Fee Received,45,777,841,131,No
Application Fee Received,50,558,585,0,No
Application Fee Received,44,816,782,0,No
Application Fee Received,47,747,701,0,No
Application Fee Received,52,684,589,117,No
Application Fee Received,43,779,682,32,No
Application Fee Received,46,479,723,0,No
Application Fee Received,49,600,761,42,No
Application Fee Received,41,816,827,50,No
Application Fee Received,64,845,754,129,No
Application Fee Received,50,768,657,100,No
Application Fee Received,51,706,633,150,No
Application Fee Received,61,729,706,80,No
Application Fee Received,62,765,907,170,Yes
Application Fee Received,47,665,613,127,No
Application Fee Received,50,840,798,0,No
Admission Fee Challan Received,58,867,902,0,Yes
Application Fee Received,49,691,618,0,No
Application Fee Received,50,574,681,166,No
Application Fee Received,39,793,658,143,No
Application Fee Received,47,857,841,0,No
Application Fee Received,50,645,674,40,No
Application Fee Received,50,641,720,42,No
Application Fee Received,47,878,810,136,No
Application Fee Received,52,687,701,113,No
Application Fee Received,61,770,792,149,No
Application Fee Received,49,527,603,82,No
Application Fee Received,56,651,820,44,No
Application Fee Received,54,782,670,126,No
Application Fee Received,52,811,820,0,No
Admission Fee Challan Received,59,909,935,180,Yes
Application Fee Received,66,933,814,126,No
Application Fee Received,42,584,725,0,No
Application Fee Received,45,837,720,0,No
Application Fee Received,0,566,638,0,No
Application Fee Received,44,648,514,0,No
Admission Fee Challan Received,54,868,885,0,Yes
Application Fee Received,50,651,702,171,No
Application Fee Received,54,738,658,41,No
Application Fee Received,41,715,686,116,No
Application Fee Received,58,831,629,35,No
Application Fee Received,48,760,725,107,No
Application Fee Received,46,756,589,76,No
Application Fee Received,48,729,878,45,Yes
Application Fee Received,41,750,573,0,No
Application Fee Received,58,670,598,113,No
Application Fee Received,58,840,874,0,Yes
Application Fee Received,52,733,672,0,No
Application Fee Received,46,545,564,27,No
Admission Fee Challan Received,53,788,687,139,No
Application Fee Received,49,590,668,143,No
Application Fee Received,48,712,855,177,No
Application Fee Received,58,809,670,0,No
Application Fee Received,42,574,850,68,No
Application Fee Received,50,708,712,0,No
Admission Fee Challan Received,62,815,872,0,Yes
Application Fee Received,50,686,758,0,No
Application Fee Received,50,840,772,144,No
Application Fee Received,52,810,751,124,No
Application Fee Received,51,673,765,116,No
Application Fee Received,49,818,603,35,No
Application Fee Received,56,880,974,189,Yes
Application Fee Received,48,679,643,30,No
Application Fee Received,50,739,636,179,No
Application Fee Received,48,748,753,142,No
Application Fee Received,53,747,729,0,No
Application Fee Received,38,477,508,0,No
Application Fee Received,54,620,859,90,No
Application Fee Received,56,788,604,0,No
Application Fee Received,50,646,588,0,No
Application Fee Received,37,728,832,0,No
Application Fee Received,50,691,675,0,No
Application Fee Received,50,649,653,131,No
Application Fee Received,63,821,852,0,Yes
Application Fee Received,69,918,764,0,No
Application Fee Received,58,598,563,0,No
Application Fee Received,43,644,682,42,No
Application Fee Received,53,796,791,0,No
Admission Fee Challan Received,63,873,861,135,Yes
Application Fee Received,57,720,773,118,No
Admission Fee Challan Received,49,981,907,47,Yes
Application Fee Received,47,697,682,0,No
Application Fee Received,50,703,717,0,No
Application Fee Received,60,778,692,0,No
Application Fee Received,53,747,675,42,No
Application Fee Received,57,801,736,0,No
Application Fee Received,44,674,590,28,No
Application Fee Received,61,866,757,0,No
Application Fee Received,40,852,820,176,No
Application Fee Received,48,780,745,0,No
Application Fee Received,53,775,837,0,No
Application Fee Received,54,785,748,134,No
Application Fee Received,54,469,482,31,No
Application Fee Received,49,614,589,35,No
Application Fee Received,52,708,513,0,No
Application Fee Received,71,778,679,97,No
Application Fee Received,45,686,587,0,No
Application Fee Received,54,903,813,0,No
Application Fee Received,44,791,674,87,No
Application Fee Received,49,529,667,110,No
Application Fee Received,50,869,870,74,No
Application Fee Received,63,773,832,137,No
Application Fee Received,42,796,639,29,No
Application Fee Received,66,678,805,175,No
Application Fee Received,28,739,689,45,No
Application Fee Received,19,839,808,62,No
Application Fee Received,0,832,291,41,No
Application Fee Received,41,860,725,84,No
Application Fee Received,53,794,707,149,No
Application Fee Received,54,835,877,178,Yes
Admission Fee Challan Received,47,733,894,102,Yes
Application Fee Received,0,595,608,0,No
Application Fee Received,50,594,837,0,No
Application Fee Received,48,867,768,128,No
Application Fee Received,49,735,960,0,Yes
Application Fee Received,50,777,830,140,No
Application Fee Received,51,702,697,44,No
Application Fee Received,40,755,586,119,No
Application Fee Received,52,823,607,94,No
Application Fee Received,45,790,849,45,No
Admission Fee Challan Received,58,894,929,86,Yes
Application Fee Received,64,776,825,0,No
Application Fee Received,53,676,728,113,No
Application Fee Received,56,799,829,44,No
Admission Fee Challan Received,55,952,918,166,Yes
Application Fee Received,52,729,635,0,No
Admission Fee Challan Received,60,874,908,0,Yes
Application Fee Received,30,836,656,87,No
Application Fee Received,47,691,513,66,No
Application Fee Received,57,671,623,0,No
Application Fee Received,50,592,562,67,No
Application Fee Received,58,709,584,75,No
Admission Fee Challan Received,61,922,860,155,Yes
Application Fee Received,48,989,734,85,No
Application Fee Received,63,806,776,117,No
Application Fee Received,53,798,724,78,No
Application Fee Received,44,848,829,90,No
Application Fee Received,55,881,802,126,No
Application Fee Received,56,805,780,126,No
Application Fee Received,53,626,567,0,No
Application Fee Received,58,697,742,129,No
Application Fee Received,53,676,728,113,No
Application Fee Received,53,630,686,95,No
Application Fee Received,40,755,586,119,No
Application Fee Received,53,796,791,0,No
Admission Fee Challan Received,61,860,895,150,No
Application Fee Received,54,806,674,0,No
Application Fee Received,50,672,599,72,No
Application Fee Received,64,840,899,67,No
Application Fee Received,65,602,762,46,No
Application Fee Received,50,683,794,180,No
Application Fee Received,58,776,849,62,No
Application Fee Received,48,538,792,0,No
Application Fee Received,61,678,632,0,No
Application Fee Received,59,803,783,125,No
Application Fee Received,56,854,951,187,Yes
Application Fee Received,55,648,713,0,No
Application Fee Received,52,886,836,0,No
Application Fee Received,53,758,769,116,No
Application Fee Received,56,752,684,0,No
Application Fee Received,58,815,748,49,No
Application Fee Received,57,741,958,0,Yes
Application Fee Received,56,690,680,105,No
Application Fee Received,53,664,810,0,No
Application Fee Received,48,595,822,0,No
Application Fee Received,56,819,855,163,No
Application Fee Received,52,694,622,78,No
Application Fee Received,64,842,731,143,No
Application Fee Received,53,703,769,143,No
Application Fee Received,48,756,801,148,No
Application Fee Received,36,554,507,0,No
Application Fee Received,0,621,664,122,No
Application Fee Received,53,774,727,108,No
Application Fee Received,45,815,752,131,No
Application Fee Received,52,672,839,165,No
Application Fee Received,43,733,707,160,No
Application Fee Received,54,667,851,133,No
Application Fee Received,46,700,669,0,No
Application Fee Received,30,650,792,117,No
Application Fee Received,52,741,798,0,No
Application Fee Received,54,705,677,109,No
Application Fee Received,53,669,749,168,No
Application Fee Received,67,836,804,126,No
Application Fee Received,51,590,706,0,No
Application Fee Received,48,674,615,86,No
Application Fee Received,56,804,825,0,No
Application Fee Received,50,653,643,139,No
Application Fee Received,56,833,830,47,No
Application Fee Received,43,891,678,0,No
Application Fee Received,50,672,599,72,No
Application Fee Received,43,843,571,53,No
Application Fee Received,53,517,513,0,No
Application Fee Received,52,868,729,148,No
Application Fee Received,52,597,630,151,No
Application Fee Received,0,738,660,104,No
Application Fee Received,41,751,612,89,No
Application Fee Received,48,871,791,128,No
Application Fee Received,47,462,772,0,No
Application Fee Received,52,827,833,158,No
Application Fee Received,50,906,761,129,No
Application Fee Received,50,822,556,146,No
Application Fee Received,44,851,747,179,No
Application Fee Received,53,758,769,116,No
Application Fee Received,56,752,684,0,No
Application Fee Received,47,560,592,31,No
Application Fee Received,56,687,703,0,No
Application Fee Received,46,770,849,0,No
Application Fee Received,49,676,626,0,No
Application Fee Received,53,836,825,164,No
Application Fee Received,63,831,808,49,No
Application Fee Received,54,828,846,142,No
Application Fee Received,50,949,874,0,No
Application Fee Received,0,884,923,184,No
Application Fee Received,59,780,638,123,No
Application Fee Received,64,840,899,67,No
Application Fee Received,64,883,747,43,No
Application Fee Received,44,787,827,0,No
Application Fee Received,59,809,767,143,No
Application Fee Received,43,645,480,0,No
Application Fee Received,60,672,670,107,No
Application Fee Received,47,831,630,85,No
Application Fee Received,56,891,935,0,Yes
Application Fee Received,0,765,565,69,No
Application Fee Received,50,550,595,0,No
Application Fee Received,66,723,730,116,No
Application Fee Received,65,787,660,36,No
Application Fee Received,55,818,698,112,No
Application Fee Received,41,865,832,0,No
Application Fee Received,56,693,771,46,No
Application Fee Received,53,765,765,166,No
Application Fee Received,49,773,692,25,No
Application Fee Received,41,666,701,102,No
Application Fee Received,33,601,647,0,No
Application Fee Received,50,823,804,165,No
Application Fee Received,58,557,772,130,No
Application Fee Received,56,746,756,108,No
Admission Fee Challan Received,70,866,890,0,Yes
Application Fee Received,55,764,817,42,No
Application Fee Received,36,720,604,0,No
Application Fee Received,60,798,844,38,No
Application Fee Received,68,1002,1019,0,No
Application Fee Received,61,878,784,151,No
Application Fee Received,53,592,560,28,No
Application Fee Received,52,835,761,0,No
Application Fee Received,52,602,667,0,No
Application Fee Received,43,630,672,141,No
Application Fee Received,58,832,844,182,No
Application Fee Received,50,714,731,0,No
Application Fee Received,58,776,849,62,No
Application Fee Received,53,775,872,141,No
Application Fee Received,0,497,536,97,No
Admission Fee Challan Received,57,802,892,45,Yes
Application Fee Received,50,682,826,197,No
Application Fee Received,50,710,718,0,No
Application Fee Received,58,892,844,156,No
Application Fee Received,65,602,762,46,No
Application Fee Received,0,676,649,0,No
Application Fee Received,50,561,745,132,No
Application Fee Received,62,917,750,0,No
Application Fee Received,0,884,878,153,No
Application Fee Received,52,602,859,45,Yes
Application Fee Received,68,772,809,145,No
Application Fee Received,50,661,513,87,No
Application Fee Received,56,811,663,84,No
Application Fee Received,58,719,567,83,No
Application Fee Received,54,814,675,125,No
Application Fee Received,58,920,796,0,No
Application Fee Received,58,835,753,55,No
Application Fee Received,53,811,739,146,No
Application Fee Received,46,859,721,136,No
Application Fee Received,50,824,842,0,No
Application Fee Received,53,718,686,130,No
Application Fee Received,52,694,678,123,No
Application Fee Received,52,818,856,143,No
Application Fee Received,50,683,794,180,No
Application Fee Received,52,816,797,0,No
Application Fee Received,47,800,726,135,No
Application Fee Received,40,553,661,127,No
Application Fee Received,55,518,720,35,No
Application Fee Received,50,685,769,0,No
Application Fee Received,47,605,507,71,No
Application Fee Received,61,678,823,135,No
Application Fee Received,45,736,772,0,No
Application Fee Received,0,544,731,92,No
Application Fee Received,50,655,677,144,No
Application Fee Received,67,561,609,104,No
Application Fee Received,50,761,670,122,No
Application Fee Received,50,649,699,117,No
Application Fee Received,48,691,721,0,No
Application Fee Received,40,674,482,0,No
Application Fee Received,56,798,602,0,No
Application Fee Received,65,890,791,122,No
Application Fee Received,58,693,731,0,No
Application Fee Received,59,649,611,126,No
Application Fee Received,63,764,814,0,No
Application Fee Received,62,798,822,0,No
Application Fee Received,48,610,752,0,No
Application Fee Received,49,554,479,106,No
Application Fee Received,42,882,885,0,No
Application Fee Received,46,836,791,48,No
Application Fee Received,60,798,844,38,No
Application Fee Received,68,1002,1019,0,No
Application Fee Received,59,761,803,148,No
Application Fee Received,50,677,516,0,No
Application Fee Received,59,706,708,0,No
Application Fee Received,59,811,810,134,No
Application Fee Received,50,623,634,0,No
Application Fee Received,52,642,760,133,No
Application Fee Received,43,484,710,0,No
Application Fee Received,52,678,557,89,No
Application Fee Received,52,775,699,92,No
Application Fee Received,44,824,736,130,No
Application Fee Received,55,771,797,147,No
Application Fee Received,42,698,830,0,No
Application Fee Received,61,771,740,120,No
Application Fee Received,16,697,730,0,No
Application Fee Received,50,696,612,134,No
Application Fee Received,35,615,730,101,No
Application Fee Received,58,798,760,131,No
Application Fee Received,58,893,839,150,No
Application Fee Received,51,680,751,132,No
Application Fee Received,62,830,854,0,No
Application Fee Received,60,629,601,101,No
Application Fee Received,43,869,863,0,No
Application Fee Received,40,586,564,126,No
Application Fee Received,50,683,671,100,No
Application Fee Received,50,616,840,33,No
Application Fee Received,60,832,816,139,No
Application Fee Received,44,857,740,134,No
Application Fee Received,52,643,663,86,No
Application Fee Received,53,731,651,40,No
Admission Fee Challan Received,50,664,577,108,No
Application Fee Received,50,742,754,173,No
Application Fee Received,0,745,701,126,No
Application Fee Received,49,765,880,66,No
Application Fee Received,12,789,752,138,No
Application Fee Received,52,843,809,123,No
Application Fee Received,50,865,746,131,No
Application Fee Received,14,819,853,155,No
Application Fee Received,49,680,694,0,No
Application Fee Received,50,648,634,42,No
Application Fee Received,49,736,575,118,No
Application Fee Received,54,726,748,136,No
Application Fee Received,52,622,711,105,No
Application Fee Received,66,836,790,167,No
Application Fee Received,58,746,702,139,No
Application Fee Received,54,806,674,0,No
Application Fee Received,53,837,846,149,No
Application Fee Received,48,695,720,35,No
Application Fee Received,0,820,787,139,No
Application Fee Received,63,905,788,0,No
Application Fee Received,46,719,655,93,No
Application Fee Received,53,796,738,138,No
Application Fee Received,66,902,835,154,No
Application Fee Received,33,852,910,0,Yes
Application Fee Received,55,596,530,41,No
Application Fee Received,62,830,854,0,No
Application Fee Received,49,680,694,0,No
Application Fee Received,49,765,880,66,No
Application Fee Received,43,630,672,141,No
Application Fee Received,48,595,822,0,No
Application Fee Received,53,592,560,28,No
Application Fee Received,36,554,507,0,No
Application Fee Received,52,602,859,45,Yes
Application Fee Received,66,902,835,154,No
Application Fee Received,2,748,624,47,No
Application Fee Received,54,726,712,0,No
Application Fee Received,44,798,716,0,No
Application Fee Received,50,708,577,0,No
Application Fee Received,50,735,673,0,No
Application Fee Received,73,720,536,0,No
Application Fee Received,49,662,814,137,No
Application Fee Received,48,747,668,110,No
Application Fee Received,54,681,767,0,No
Application Fee Received,33,646,691,125,No
Application Fee Received,40,771,570,95,No
Application Fee Received,57,814,788,97,No
Application Fee Received,17,534,798,0,No
Application Fee Received,52,693,700,124,No
Application Fee Received,56,604,641,0,No
Application Fee Received,2,748,624,47,No
Application Fee Received,49,676,761,153,No
Application Fee Received,50,731,504,0,No
Application Fee Received,49,765,795,127,No
Application Fee Received,41,772,647,119,No
Application Fee Received,46,793,599,71,No
Application Fee Received,52,715,728,0,No
Application Fee Received,46,619,570,83,No
Application Fee Received,40,645,700,0,No
Application Fee Received,46,683,722,55,No
Application Fee Received,54,760,667,128,No
Application Fee Received,48,748,813,0,No
Application Fee Received,57,880,702,135,No
Application Fee Received,45,662,571,61,No
Application Fee Received,54,787,725,132,No
Application Fee Received,60,776,725,0,No
Application Fee Received,61,591,800,67,No
Application Fee Received,49,783,781,0,No
Application Fee Received,50,641,664,0,No
Application Fee Received,60,814,731,116,No
Application Fee Received,53,809,784,0,No
Application Fee Received,55,542,762,0,No
Application Fee Received,61,860,817,0,No
Application Fee Received,50,625,570,0,No
Application Fee Received,49,662,814,137,No
Application Fee Received,50,722,770,41,No
Application Fee Received,62,896,667,0,No
Application Fee Received,62,692,816,0,No
Application Fee Received,40,509,766,0,No
Application Fee Received,56,782,758,141,No
Application Fee Received,50,639,561,88,No
Application Fee Received,46,856,841,0,No
Application Fee Received,60,800,793,0,No
Application Fee Received,49,620,737,108,No
Application Fee Received,73,882,904,161,Yes
Application Fee Received,56,782,758,141,No
Application Fee Received,50,639,561,88,No
Application Fee Received,59,813,795,119,No
Application Fee Received,50,502,378,32,No
Application Fee Received,49,823,707,117,No
Application Fee Received,51,724,648,97,No
Application Fee Received,64,846,894,142,Yes
Application Fee Received,57,836,791,131,No
Application Fee Received,19,774,633,0,No
Application Fee Received,44,563,600,117,No
Application Fee Received,62,695,570,143,No
Application Fee Received,44,710,801,0,No
Application Fee Received,52,812,636,30,No
Admission Fee Challan Received,60,849,884,153,Yes
Application Fee Received,41,774,695,0,No
Application Fee Received,43,854,847,179,No
Application Fee Received,51,649,659,140,No
Application Fee Received,50,596,604,131,No
Application Fee Received,33,630,438,69,No
Application Fee Received,47,762,754,129,No
Application Fee Received,52,664,842,0,No
Application Fee Received,0,792,700,130,No
Application Fee Received,56,593,589,128,No
Application Fee Received,52,582,635,0,No
Application Fee Received,25,896,933,47,No
Application Fee Received,46,583,728,145,No
Application Fee Received,43,771,777,148,No
Application Fee Received,0,725,657,163,No
Application Fee Received,55,633,622,73,No
Application Fee Received,54,789,761,134,No
Application Fee Received,52,614,754,0,No
Application Fee Received,54,681,767,0,No
Application Fee Received,42,709,583,95,No
Application Fee Received,51,697,664,48,No
Application Fee Received,53,802,772,152,No
Application Fee Received,48,747,668,110,No
Application Fee Received,52,739,640,0,No
Application Fee Received,57,724,720,96,No
Application Fee Received,52,720,792,148,No
Application Fee Received,40,667,784,36,No
Application Fee Received,52,670,610,44,No
Application Fee Received,50,672,756,0,No
Application Fee Received,54,605,741,92,No
Application Fee Received,40,647,598,113,No
Application Fee Received,50,591,743,165,No
Application Fee Received,48,627,613,42,No
Application Fee Received,46,672,532,68,No
Application Fee Received,77,758,760,126,No
Admission Fee Challan Received,46,748,613,61,No
Application Fee Received,40,594,598,0,No
Application Fee Received,62,906,787,0,No
Application Fee Received,60,813,804,122,No
Application Fee Received,50,735,673,0,No
Application Fee Received,53,832,845,154,No
Application Fee Received,68,902,927,169,Yes
Application Fee Received,55,810,800,135,No
Application Fee Received,19,813,763,117,No
Application Fee Received,52,574,565,75,No
Application Fee Received,55,814,771,130,No
Application Fee Received,46,820,695,0,No
Application Fee Received,54,612,741,0,No
