Application Status,ssc_obtained,Terminal Degree,hsc_opt_1_obtained,hsc_opt_2_obtained,hsc_opt_4_obtained,Offered
Admission Fee Challan Received,831,868,0,0,0,No
Admission Fee Challan Received,617,601,121,131,73,No
Admission Fee Challan Received,670,721,145,152,100,No
Admission Fee Challan Received,834,878,144,170,171,Yes
Admission Fee Challan Received,907,969,166,181,182,Yes
Admission Fee Challan Received,701,977,181,192,194,Yes
Admission Fee Challan Received,1010,914,170,159,185,Yes
Admission Fee Challan Received,931,916,161,171,179,Yes
Admission Fee Challan Received,821,880,178,127,160,Yes
Admission Fee Challan Received,926,975,176,168,177,Yes
Application Fee Received,767,770,129,142,146,No
Application Fee Received,722,690,117,130,34,No
Application Fee Received,729,862,113,44,164,No
Application Fee Received,599,556,68,119,0,No
Application Fee Received,695,702,85,65,0,No
Application Fee Received,806,544,101,75,90,No
Application Fee Received,481,697,120,125,49,No
Application Fee Received,719,897,154,163,166,Yes
Application Fee Received,813,731,159,144,116,No
Application Fee Received,882,823,130,163,158,No
Application Fee Received,807,724,122,108,133,No
Application Fee Received,684,653,110,147,122,No
Application Fee Received,617,616,131,123,30,No
Application Fee Received,515,541,102,55,80,No
Application Fee Received,712,855,149,170,138,Yes
Admission Fee Challan Received,736,807,149,117,145,No
Application Fee Received,764,630,0,0,0,No
Application Fee Received,777,629,115,119,99,No
Application Fee Received,558,813,0,0,0,No
Application Fee Received,695,702,85,65,0,No
Application Fee Received,852,746,106,163,146,No
Application Fee Received,622,598,130,39,101,No
Application Fee Received,799,748,135,130,151,No
Application Fee Received,827,741,141,135,115,No
Application Fee Received,813,775,46,161,134,No
Application Fee Received,721,701,104,149,131,No
Application Fee Received,726,642,90,118,0,No
Application Fee Received,743,625,124,88,95,No
Application Fee Received,665,702,121,143,117,No
Application Fee Received,895,869,0,0,0,No
Application Fee Received,778,771,134,117,183,No
Application Fee Received,684,576,118,77,105,No
Application Fee Received,603,504,102,73,80,No
Application Fee Received,779,708,125,139,126,No
Application Fee Received,796,714,92,173,129,No
Application Fee Received,854,830,134,125,171,Yes
Application Fee Received,733,894,55,95,0,Yes
Application Fee Received,672,701,99,141,126,No
Application Fee Received,776,663,119,129,101,No
Application Fee Received,782,683,107,119,129,No
Application Fee Received,630,638,65,0,0,No
Application Fee Received,735,729,0,0,0,No
Application Fee Received,776,801,127,139,147,No
Application Fee Received,790,528,0,0,0,No
Application Fee Received,794,726,133,131,111,No
Application Fee Received,922,931,140,178,182,No
Application Fee Received,808,672,128,0,0,No
Application Fee Received,633,545,85,130,110,No
Application Fee Received,627,764,0,0,0,No
Application Fee Received,801,708,0,0,0,No
Application Fee Received,783,794,167,147,129,No
Application Fee Received,709,584,142,110,88,No
Application Fee Received,866,963,158,158,174,Yes
Application Fee Received,873,835,0,0,0,No
Application Fee Received,685,658,97,130,90,No
Application Fee Received,570,665,114,105,121,No
Application Fee Received,570,648,160,120,111,No
Application Fee Received,739,657,145,147,72,No
Application Fee Received,672,642,0,0,0,No
Application Fee Received,617,731,117,135,22,No
Application Fee Received,751,572,72,68,40,No
Application Fee Received,778,701,125,120,123,No
Application Fee Received,714,597,89,132,96,No
Admission Fee Challan Received,602,734,127,94,156,No
Application Fee Received,716,808,163,157,167,No
Application Fee Received,793,513,118,72,95,No
Application Fee Received,775,640,119,116,82,No
Application Fee Received,700,669,0,0,0,No
Application Fee Received,567,670,126,114,119,No
Application Fee Received,794,825,167,165,144,Yes
Application Fee Received,843,571,96,96,126,No
Application Fee Received,946,938,168,177,175,Yes
Application Fee Received,472,536,37,23,45,No
Application Fee Received,536,624,79,42,106,No
Application Fee Received,850,818,160,116,170,Yes
Application Fee Received,509,753,50,20,21,No
Application Fee Received,825,840,126,157,159,Yes
Application Fee Received,714,723,139,131,131,No
Application Fee Received,640,752,135,138,115,No
Application Fee Received,669,563,142,124,57,No
Admission Fee Challan Received,896,887,189,160,0,Yes
Application Fee Received,610,606,125,99,117,No
Application Fee Received,746,600,103,0,0,No
Application Fee Received,729,748,129,140,133,No
Application Fee Received,729,862,113,44,164,No
Application Fee Received,555,663,50,117,102,No
Application Fee Received,799,757,144,119,141,No
Application Fee Received,555,609,0,0,0,No
Application Fee Received,693,577,110,97,117,No
Application Fee Received,746,798,142,129,134,No
Application Fee Received,810,783,0,0,0,No
Application Fee Received,753,627,100,136,103,No
Application Fee Received,632,552,94,129,74,No
Application Fee Received,661,687,139,125,144,No
Application Fee Received,575,504,0,0,0,No
Application Fee Received,917,759,134,99,168,No
Application Fee Received,881,760,137,0,0,No
Application Fee Received,599,556,68,119,0,No
Application Fee Received,525,729,0,0,0,No
Application Fee Received,879,824,139,152,160,Yes
Application Fee Received,774,658,114,134,106,No
Application Fee Received,722,690,117,130,34,No
Application Fee Received,835,641,79,97,132,No
Admission Fee Challan Received,909,824,170,161,132,Yes
Application Fee Received,761,631,0,0,0,No
Application Fee Received,728,637,126,30,113,No
Application Fee Received,644,528,85,95,109,No
Application Fee Received,682,775,0,0,0,No
Application Fee Received,555,619,147,83,118,No
Application Fee Received,936,844,168,144,136,No
Application Fee Received,705,628,109,99,93,No
Application Fee Received,656,690,129,90,136,No
Application Fee Received,785,721,124,113,150,No
Application Fee Received,743,687,145,114,117,No
Application Fee Received,777,623,104,88,101,No
Application Fee Received,905,902,186,149,145,Yes
Application Fee Received,617,731,117,135,22,No
Application Fee Received,751,572,72,68,40,No
Application Fee Received,843,830,57,80,78,No
Application Fee Received,767,770,129,142,146,No
Application Fee Received,834,725,145,105,156,No
Application Fee Received,890,692,151,153,76,No
Application Fee Received,746,746,126,81,166,No
Application Fee Received,681,658,136,136,106,No
Application Fee Received,751,636,136,127,83,No
Application Fee Received,917,772,139,154,137,No
Admission Fee Challan Received,815,828,139,141,156,Yes
Application Fee Received,633,559,127,100,97,No
Application Fee Received,608,554,0,0,0,No
Application Fee Received,769,623,111,43,122,No
Application Fee Received,704,597,0,0,0,No
Application Fee Received,864,809,0,0,0,No
Application Fee Received,554,567,125,74,77,No
Application Fee Received,672,569,131,103,82,No
Application Fee Received,800,726,147,154,131,No
Application Fee Received,827,660,0,0,0,No
Application Fee Received,814,650,0,0,0,No
Application Fee Received,808,785,0,0,0,No
Application Fee Received,688,666,95,126,161,No
Application Fee Received,731,666,118,0,0,No
Admission Fee Challan Received,896,856,148,149,178,No
Application Fee Received,712,623,164,68,75,No
Application Fee Received,921,756,143,150,100,No
Application Fee Received,809,784,135,153,109,No
Application Fee Received,552,586,119,93,93,No
Application Fee Received,819,713,138,147,118,No
Application Fee Received,732,756,139,148,88,No
Admission Fee Challan Received,962,918,144,166,177,Yes
Application Fee Received,697,686,127,92,113,No
Admission Fee Challan Received,751,765,118,163,147,No
Application Fee Received,878,874,162,163,149,Yes
Application Fee Received,690,722,163,131,115,No
Application Fee Received,950,993,162,175,177,No
Application Fee Received,832,755,160,42,129,No
Admission Fee Challan Received,948,912,172,47,167,Yes
Application Fee Received,625,712,136,120,134,No
Application Fee Received,945,796,142,140,147,No
Application Fee Received,675,548,84,34,25,No
Application Fee Received,575,504,0,0,0,No
Application Fee Received,576,773,107,124,162,No
Admission Fee Challan Received,581,550,134,106,69,No
Application Fee Received,919,820,120,151,160,Yes
Application Fee Received,540,834,0,0,0,No
Application Fee Received,623,603,125,105,123,No
Application Fee Received,829,699,130,120,103,No
Application Fee Received,689,672,122,116,120,No
Application Fee Received,853,734,152,114,127,No
Application Fee Received,511,605,0,0,0,No
Application Fee Received,831,684,130,123,119,No
Application Fee Received,823,760,122,150,129,No
Application Fee Received,941,809,162,47,139,No
Application Fee Received,813,783,136,150,126,No
Application Fee Received,731,662,138,115,117,No
Application Fee Received,735,710,138,142,101,No
Application Fee Received,849,737,120,144,136,No
Application Fee Received,876,648,83,132,126,No
Application Fee Received,882,729,135,96,117,No
Application Fee Received,556,672,105,39,104,No
Application Fee Received,639,581,96,107,80,No
Application Fee Received,895,901,167,145,173,Yes
Application Fee Received,738,802,143,149,154,Yes
Application Fee Received,569,525,0,0,0,No
Application Fee Received,647,619,0,0,0,No
Application Fee Received,756,707,130,167,126,No
Application Fee Received,749,604,122,111,66,No
Application Fee Received,769,615,108,125,119,No
Admission Fee Challan Received,962,918,144,166,177,Yes
Application Fee Received,672,642,0,0,0,No
Application Fee Received,625,712,136,120,134,No
Admission Fee Challan Received,694,738,94,129,148,Yes
Admission Fee Challan Received,891,907,132,145,44,Yes
Admission Fee Challan Received,800,885,157,169,171,Yes
Application Fee Received,759,619,99,152,105,No
Application Fee Received,770,611,94,90,127,No
Application Fee Received,867,754,120,154,142,No
Application Fee Received,826,748,147,138,124,No
Application Fee Received,653,554,0,0,0,No
Application Fee Received,903,840,121,0,0,Yes
Application Fee Received,580,684,70,46,53,No
Admission Fee Challan Printed,640,700,0,0,0,No
Application Fee Received,684,700,110,139,118,No
Application Fee Received,909,816,135,0,0,No
Admission Fee Challan Received,935,843,132,160,138,Yes
Application Fee Received,618,580,0,0,0,No
Application Fee Received,717,592,127,100,91,No
Application Fee Received,765,795,151,150,135,No
Application Fee Received,919,716,0,0,0,No
Application Fee Received,729,953,170,142,177,Yes
Application Fee Received,779,612,111,139,103,No
Application Fee Received,702,629,108,0,0,No
Application Fee Received,881,711,143,112,0,No
Application Fee Received,700,601,0,0,0,No
Application Fee Received,645,700,113,120,119,No
Application Fee Received,875,740,137,144,125,No
Application Fee Received,861,760,0,0,0,No
Application Fee Received,662,571,128,133,79,No
Application Fee Received,507,636,0,0,0,No
Application Fee Received,666,654,120,128,87,No
Application Fee Received,867,754,120,154,142,No
Application Fee Received,723,623,0,0,0,No
Admission Fee Challan Received,855,781,151,147,122,No
Application Fee Received,814,731,162,129,120,No
Application Fee Received,822,812,170,161,124,No
Application Fee Received,609,598,79,46,17,No
Application Fee Received,520,511,94,103,0,No
Application Fee Received,509,766,35,0,0,No
Application Fee Received,647,722,0,0,0,No
Application Fee Received,760,579,137,78,112,No
Application Fee Received,702,508,79,90,68,No
