Application Status,Merit Score,ssc_obtained,Terminal Degree,Offered
Application Fee Received,561,686,561,No
Application Fee Received,547,766,547,No
Application Fee Received,800,838,822,No
Application Fee Received,748,885,753,No
Application Fee Received,661,821,661,No
Application Fee Received,887,902,887,No
Application Fee Received,746,782,746,No
Application Fee Received,782,810,782,No
Application Fee Received,871,824,871,No
Application Fee Received,771,928,771,No
Application Fee Received,816,888,816,No
Application Fee Received,790,709,790,No
Application Fee Received,890,836,895,No
Application Fee Received,735,775,735,No
Admission Fee Challan Received,921,742,921,Yes
Application Fee Received,834,811,834,No
Application Fee Received,901,844,901,Yes
Application Fee Received,800,836,800,No
Application Fee Received,963,903,963,Yes
Application Fee Received,600,534,600,No
Application Fee Received,861,911,861,No
Application Fee Received,797,861,797,No
Application Fee Received,847,882,847,No
Application Fee Received,804,795,804,No
Application Fee Received,818,939,818,No
Application Fee Received,884,669,884,No
Application Fee Received,681,667,681,No
Application Fee Received,795,824,795,No
Application Fee Received,670,779,670,No
Application Fee Received,866,885,866,No
Application Fee Received,885,905,885,No
Application Fee Received,694,861,699,No
Application Fee Received,757,817,757,No
Application Fee Received,648,832,648,No
Application Fee Received,762,854,762,No
Application Fee Received,700,777,700,No
Application Fee Received,842,768,842,No
Application Fee Received,817,834,817,No
Application Fee Received,774,788,774,No
Application Fee Received,652,758,652,No
Application Fee Received,543,639,543,No
Application Fee Received,857,800,857,No
Application Fee Received,870,886,870,No
Application Fee Received,923,780,923,Yes
Application Fee Received,673,718,673,No
Application Fee Received,775,824,775,No
Application Fee Received,836,873,836,No
Application Fee Received,687,906,687,No
Application Fee Received,840,783,840,No
Application Fee Received,845,754,845,No
Application Fee Received,750.842,689,755,No
Application Fee Received,767.115,849,772,No
Application Fee Received,669,727,669,No
Application Fee Received,851,861,851,No
Application Fee Received,872,892,872,No
Application Fee Received,866.538,882,871,No
Application Fee Received,684,689,689,No
Application Fee Received,742,869,742,No
Application Fee Received,863,874,863,No
Application Fee Received,798,688,798,No
Application Fee Received,886,926,891,No
Application Fee Received,755,679,760,No
Application Fee Received,756,622,756,No
Application Fee Received,789,820,789,No
Application Fee Received,651,609,651,No
Application Fee Received,733,840,733,No
Admission Fee Challan Received,990,962,990,Yes
Application Fee Received,804,703,804,No
Application Fee Received,763,664,763,No
Application Fee Received,893,894,893,No
Application Fee Received,721,836,721,No
Application Fee Received,836,791,836,No
Application Fee Received,696,858,696,No
Application Fee Received,793,779,793,No
Application Fee Received,774,919,774,No
Application Fee Received,749,846,749,No
Application Fee Received,898.269,921,903,No
Application Fee Received,754,729,754,No
Application Fee Received,604,587,604,No
Application Fee Received,755,865,755,No
Application Fee Received,817,652,817,No
Application Fee Received,784,862,789,No
Application Fee Received,744,604,744,No
Admission Fee Challan Received,918,922,918,Yes
Application Fee Received,746,786,746,No
Application Fee Received,612,721,612,No
Application Fee Received,758,854,758,No
Application Fee Received,585,647,585,No
Admission Fee Challan Received,978,882,978,Yes
Application Fee Received,718,583,718,No
Application Fee Received,826,913,826,No
Application Fee Received,815,870,815,No
Application Fee Received,635,727,635,No
Application Fee Received,718,704,698,No
Application Fee Received,768,770,768,No
Application Fee Received,760,890,760,No
Application Fee Received,708,748,708,No
Application Fee Received,823,977,823,No
Application Fee Received,841,816,846,No
Application Fee Received,841,860,841,No
Application Fee Received,603,609,603,No
Application Fee Received,668,735,668,No
Application Fee Received,820,786,820,No
Application Fee Received,695,713,695,No
Application Fee Received,781,842,781,No
Application Fee Received,664,846,664,No
Application Fee Received,747,671,747,No
Application Fee Received,853,846,853,No
Application Fee Received,890,855,890,No
Application Fee Received,830,848,830,No
Application Fee Received,861,800,861,No
Application Fee Received,678.96,802,683,No
Application Fee Received,850,816,850,No
Application Fee Received,648,677,648,No
Application Fee Received,774,971,784,No
Application Fee Received,729,756,734,No
Application Fee Received,714,749,714,No
Application Fee Received,727,691,727,No
Application Fee Received,864,842,864,No
Application Fee Received,853,791,858,No
Application Fee Received,562,676,562,No
Application Fee Received,778.25,712,778,No
Application Fee Received,667,608,672,No
Application Fee Received,767.115,849,772,No
Application Fee Received,841,816,846,No
Application Fee Received,681,866,681,No
Application Fee Received,595.769,603,600,No
Application Fee Received,863,879,863,No
Application Fee Received,904.615,960,845,No
Application Fee Received,910,926,915,Yes
Application Fee Received,687,906,687,No
Application Fee Received,890,836,895,No
Application Fee Received,898.269,921,903,No
Admission Fee Challan Received,0,754,617,No
Admission Fee Challan Received,0,839,813,No
Application Fee Received,991,963,991,Yes
Application Fee Received,690,798,690,No
Application Fee Received,864,888,869,No
Application Fee Received,759,770,759,No
Application Fee Received,669,787,669,No
Application Fee Received,789,714,789,No
Application Fee Received,800,786,800,No
Application Fee Received,809,796,829,No
Application Fee Received,870,898,870,No
Application Fee Received,801,943,801,No
Application Fee Received,818,792,818,No
Application Fee Received,819,789,819,No
Application Fee Received,752,668,752,No
Application Fee Received,722,861,722,No
Application Fee Received,794,734,799,No
Application Fee Received,286,832,291,No
Application Fee Received,655,722,655,No
Application Fee Received,696,547,696,No
Application Fee Received,799,819,799,No
Application Fee Received,640,859,640,No
Application Fee Received,805,635,805,No
Application Fee Received,748,707,748,No
Application Fee Received,640,838,640,No
Application Fee Received,678.269,838,683,No
Application Fee Received,605,688,615,No
Admission Fee Challan Received,891,869,871,Yes
Application Fee Received,778,868,778,No
Application Fee Received,841,777,841,No
Application Fee Received,855,881,855,No
Application Fee Received,800,786,800,No
Application Fee Received,809,796,829,No
Application Fee Received,856.188,635,861,No
Application Fee Received,777,807,777,No
Application Fee Received,751,689,751,No
Application Fee Received,665,733,665,No
Application Fee Received,706,729,706,No
Application Fee Received,860,844,865,No
Application Fee Received,746,760,746,No
Application Fee Received,862,935,862,No
Application Fee Received,954,892,954,Yes
Application Fee Received,798,840,798,No
Application Fee Received,596,641,596,No
Application Fee Received,825,754,825,No
Application Fee Received,880,886,880,No
Application Fee Received,836,644,841,No
Application Fee Received,850,898,850,No
Application Fee Received,613,687,613,No
Application Fee Received,867,642,867,No
Application Fee Received,815,892,815,No
Application Fee Received,837,775,837,No
Application Fee Received,843,833,843,No
Application Fee Received,828,944,828,No
Application Fee Received,889,793,889,No
Application Fee Received,828,627,808,No
Application Fee Received,720,837,720,No
Application Fee Received,737,660,737,No
Application Fee Received,871,873,871,No
Application Fee Received,730,700,730,No
Application Fee Received,908,913,908,Yes
Application Fee Received,616,757,596,No
Application Fee Received,788,819,788,No
Application Fee Received,686,715,686,No
Application Fee Received,797,721,782,No
Application Fee Received,548,777,578,No
Application Fee Received,679,795,679,No
Application Fee Received,574,722,554,No
Application Fee Received,786,801,786,No
Application Fee Received,941,941,921,Yes
Application Fee Received,750,938,750,No
Application Fee Received,629,831,629,No
Application Fee Received,796,831,776,No
Application Fee Received,753,625,753,No
Application Fee Received,716,750,701,No
Application Fee Received,769.231,743,774,No
Application Fee Received,942,848,942,Yes
Application Fee Received,702,684,707,No
Application Fee Received,620,818,620,No
Application Fee Received,782,814,782,No
Application Fee Received,779,891,779,No
Application Fee Received,739,709,739,No
Application Fee Received,832,798,832,No
Application Fee Received,874,840,874,No
Application Fee Received,616,809,616,No
Application Fee Received,701,757,701,No
Application Fee Received,636,617,616,No
Application Fee Received,688,590,668,No
Application Fee Received,833,715,833,No
Application Fee Received,827,696,827,No
Application Fee Received,729,777,729,No
Application Fee Received,823,794,823,No
Application Fee Received,787,815,787,No
Application Fee Received,796,908,796,No
Application Fee Received,862,847,862,No
Admission Fee Challan Received,952,911,952,Yes
Application Fee Received,753,748,753,No
Application Fee Received,723,805,723,No
Application Fee Received,763.429,630,768,No
Application Fee Received,750,738,750,No
Application Fee Received,691,754,691,No
Application Fee Received,833,781,833,No
Application Fee Received,813,891,813,No
Application Fee Received,542,725,542,No
Application Fee Received,690,798,690,No
Application Fee Received,846,865,846,No
Application Fee Received,951,884,951,Yes
Admission Fee Challan Received,981,969,981,Yes
Application Fee Received,657,559,657,No
Application Fee Received,742,817,722,No
Application Fee Received,847,907,847,No
Application Fee Received,858,843,858,No
Application Fee Received,701,721,701,No
Application Fee Received,745,780,745,No
Application Fee Received,879,820,859,No
Application Fee Received,803,764,803,No
Application Fee Received,874,919,874,No
Application Fee Received,819.343,712,819,No
Application Fee Received,694,791,674,No
Application Fee Received,880,815,885,No
Application Fee Received,879,891,884,No
Application Fee Received,839.038,742,844,No
Application Fee Received,679,754,679,No
Application Fee Received,675,705,675,No
Application Fee Received,823,887,823,No
Admission Fee Challan Received,914,877,914,Yes
Application Fee Received,870,869,870,No
Application Fee Received,729,689,729,No
Application Fee Received,750,817,750,No
Application Fee Received,884,791,884,No
Application Fee Received,803.077,839,808,No
Application Fee Received,794,734,799,No
Application Fee Received,286,832,291,No
Application Fee Received,805,809,805,No
Application Fee Received,856.188,635,861,No
Application Fee Received,777,807,777,No
Application Fee Received,846,788,846,No
Application Fee Received,768,867,768,No
Application Fee Received,838,870,843,No
Application Fee Received,853,901,853,No
Application Fee Received,775,806,775,No
Application Fee Received,606,801,606,No
Application Fee Received,821,850,821,No
Application Fee Received,850,777,830,No
Application Fee Received,613,678,613,No
Application Fee Received,751,777,751,No
Application Fee Received,726,794,726,No
Application Fee Received,625.149,739,625,No
Application Fee Received,672,808,672,No
Application Fee Received,545,633,545,No
Application Fee Received,817,828,817,No
Application Fee Received,709,719,714,No
Application Fee Received,918,952,918,Yes
Application Fee Received,686,749,686,No
Application Fee Received,950,994,950,Yes
Application Fee Received,829,840,829,No
Application Fee Received,863,726,863,No
Application Fee Received,563,741,563,No
Application Fee Received,863,957,863,No
Application Fee Received,714,767,714,No
Application Fee Received,776,806,776,No
Application Fee Received,974,828,974,Yes
Application Fee Received,821,857,821,No
Application Fee Received,734,780,734,No
Application Fee Received,967,928,947,Yes
Application Fee Received,744,731,744,No
Application Fee Received,754,722,754,No
Application Fee Received,835,873,835,No
Application Fee Received,821,845,821,No
Application Fee Received,658,685,658,No
Application Fee Received,784,816,784,No
Application Fee Received,909,747,909,No
Application Fee Received,891,894,896,No
Application Fee Received,843,804,843,No
Admission Fee Challan Printed,764,758,769,No
Admission Fee Challan Received,921,966,921,Yes
Application Fee Received,830.145,727,840,No
Application Fee Received,911,760,916,Yes
Application Fee Received,626,761,626,No
Application Fee Received,851,754,851,No
Application Fee Received,597,714,597,No
Admission Fee Challan Printed,764,758,769,No
Admission Fee Challan Received,921,966,921,Yes
Application Fee Received,909,963,914,No
Application Fee Received,699,688,699,No
Application Fee Received,811,890,811,No
Application Fee Received,842,837,842,No
Application Fee Received,902,686,902,Yes
Application Fee Received,747,663,747,No
Application Fee Received,884,874,884,No
Application Fee Received,716,823,716,No
Application Fee Received,942,912,942,Yes
Application Fee Received,815,860,815,No
Application Fee Received,839,672,839,No
Application Fee Received,762,776,762,No
Application Fee Received,707,733,707,No
Application Fee Received,598,684,598,No
Application Fee Received,775,886,775,No
Application Fee Received,796,745,796,No
Application Fee Received,776,681,776,No
Application Fee Received,624,752,624,No
Application Fee Received,812,738,812,No
Application Fee Received,641,602,641,No
Admission Fee Challan Received,970,942,970,Yes
Application Fee Received,804,836,804,No
Application Fee Received,643,653,643,No
Application Fee Received,805,732,810,No
Application Fee Received,729,868,729,No
Application Fee Received,891,805,891,Yes
Application Fee Received,799,783,799,No
Application Fee Received,761,906,761,No
Application Fee Received,749,744,749,No
Application Fee Received,679,752,684,No
Application Fee Received,849.072,770,849,No
Application Fee Received,843,722,843,No
Application Fee Received,820,797,820,No
Application Fee Received,693,667,693,No
Application Fee Received,695,739,695,No
Application Fee Received,901,885,901,Yes
Application Fee Received,739,620,739,No
Application Fee Received,548,777,578,No
Application Fee Received,803.077,839,808,No
Application Fee Received,796,745,796,No
Application Fee Received,863,957,863,No
Application Fee Received,679,752,684,No
Application Fee Received,860,844,865,No
Application Fee Received,931,922,931,No
Application Fee Received,694,680,694,No
Application Fee Received,721,702,721,No
Application Fee Received,724,851,709,No
Application Fee Received,694,649,699,No
Application Fee Received,775,749,780,No
Application Fee Received,881,674,881,No
Application Fee Received,885,811,885,No
Application Fee Received,724,677,724,No
Application Fee Received,761,889,761,No
Application Fee Received,831,839,831,No
Application Fee Received,783,780,783,No
Application Fee Received,775,852,775,No
Application Fee Received,877,904,877,No
Application Fee Received,880,883,880,No
Application Fee Received,565,765,565,No
Application Fee Received,758,822,758,No
Application Fee Received,844,833,844,No
Application Fee Received,579,677,579,No
Application Fee Received,757,799,757,No
Application Fee Received,577,693,577,No
Application Fee Received,730,723,730,No
Application Fee Received,746.485,864,751,No
Application Fee Received,741,748,741,No
Application Fee Received,815,725,815,No
Application Fee Received,658,774,658,No
Application Fee Received,832,865,832,No
Application Fee Received,642,650,642,No
Application Fee Received,800,842,800,No
Application Fee Received,757,878,757,No
Application Fee Received,837,873,837,No
Application Fee Received,883,866,883,No
Application Fee Received,765,884,765,No
Application Fee Received,651,761,631,No
Application Fee Received,756,901,756,No
Application Fee Received,600,707,600,No
Application Fee Received,618,551,618,No
Application Fee Received,772,557,772,No
Application Fee Received,833,746,833,No
Admission Fee Challan Received,940,915,940,Yes
Application Fee Received,817,764,817,No
Application Fee Received,844,828,844,No
Application Fee Received,792,922,797,No
Application Fee Received,691,808,691,No
Application Fee Received,790,905,790,No
Application Fee Received,673,738,678,No
Application Fee Received,704,652,704,No
Application Fee Received,746.485,864,751,No
Application Fee Received,741,748,741,No
Application Fee Received,695,819,695,No
Application Fee Received,812,711,817,No
Application Fee Received,741,892,741,No
Application Fee Received,628,705,628,No
Application Fee Received,793,871,793,No
Application Fee Received,639.752,646,644,No
Application Fee Received,924,943,924,No
Application Fee Received,896,848,896,Yes
Application Fee Received,588,738,588,No
Application Fee Received,918,937,918,Yes
Application Fee Received,888,910,888,No
Application Fee Received,666,732,666,No
Application Fee Received,677,656,677,No
Application Fee Received,672,630,672,No
Application Fee Received,625,787,640,No
Application Fee Received,652,707,652,No
Application Fee Received,625,764,625,No
Application Fee Received,815.824,843,830,No
Application Fee Received,914,924,914,Yes
Application Fee Received,669,664,669,No
Application Fee Received,854,771,854,No
Application Fee Received,880,731,880,No
Application Fee Received,768,924,768,No
Application Fee Received,881,808,881,No
Application Fee Received,818,815,818,No
Application Fee Received,896,934,896,No
Application Fee Received,821,739,821,No
Application Fee Received,723,744,723,No
Application Fee Received,805,949,805,No
Application Fee Received,863,897,863,No
Application Fee Received,943,816,923,Yes
Application Fee Received,515,604,515,No
Application Fee Received,821,921,821,No
Application Fee Received,686,744,686,No
Application Fee Received,683,832,683,No
Admission Fee Challan Received,904,819,904,Yes
Application Fee Received,847,786,847,No
Application Fee Received,766,683,771,No
Application Fee Received,772,917,772,No
Application Fee Received,929,774,929,Yes
Application Fee Received,794,738,794,No
Application Fee Received,819,858,819,No
Application Fee Received,750,662,755,No
Application Fee Received,675,814,675,No
Application Fee Received,655,744,660,No
Application Fee Received,810,843,810,No
Application Fee Received,559,633,559,No
Application Fee Received,725,798,725,No
Application Fee Received,707,636,707,No
Application Fee Received,691,684,691,No
Application Fee Received,739,768,744,No
Application Fee Received,823,782,823,No
Application Fee Received,689,793,689,No
Application Fee Received,641,585,641,No
Application Fee Received,690,811,690,No
Application Fee Received,811,739,811,No
Application Fee Received,696,592,696,No
Application Fee Received,817,782,817,No
Application Fee Received,796,837,796,No
Application Fee Received,748,793,748,No
Application Fee Received,847.5,842,852,No
Application Fee Received,700,890,700,No
Application Fee Received,823,736,823,No
Application Fee Received,858,873,863,No
Application Fee Received,779,863,779,No
Application Fee Received,721,702,721,No
Application Fee Received,784,846,784,No
Application Fee Received,774,716,779,No
Application Fee Received,820,850,825,No
Application Fee Received,815,853,815,No
Application Fee Received,756,614,756,No
Application Fee Received,750,609,750,No
Application Fee Received,819,828,819,No
Application Fee Received,823,750,823,No
Application Fee Received,690,811,690,No
Application Fee Received,641,733,641,No
Application Fee Received,795,817,795,No
Application Fee Received,854,855,854,No
Application Fee Received,694,649,699,No
Application Fee Received,702,838,702,No
Admission Fee Challan Received,934,925,934,Yes
Application Fee Received,828,838,828,No
Application Fee Received,482,674,482,No
Application Fee Received,787,799,787,No
Application Fee Received,731,693,731,No
Application Fee Received,860,748,865,No
Application Fee Received,725,694,725,No
Application Fee Received,701,805,701,No
Application Fee Received,840,766,840,No
Application Fee Received,791,836,791,No
Application Fee Received,803,761,803,No
Application Fee Received,800,929,800,No
Application Fee Received,770,847,770,No
Application Fee Received,703,706,708,No
Application Fee Received,623,693,603,No
Application Fee Received,799,881,799,No
Application Fee Received,685,808,685,No
Application Fee Received,787,849,787,No
Application Fee Received,743,782,743,No
Admission Fee Challan Received,891,866,891,Yes
Application Fee Received,814,805,814,No
Application Fee Received,823,803,823,No
Application Fee Received,868,825,868,No
Application Fee Received,776,595,776,No
Application Fee Received,538,699,538,No
Application Fee Received,570,636,550,No
Application Fee Received,663,500,663,No
Application Fee Received,827.079,917,832,No
Application Fee Received,775,749,780,No
Application Fee Received,693,756,693,No
Application Fee Received,769,888,769,No
Application Fee Received,871,893,871,No
Application Fee Received,746,725,746,No
Application Fee Received,766,855,771,No
Application Fee Received,785,793,785,No
Application Fee Received,831,887,831,No
Application Fee Received,1100,647,1100,Yes
Application Fee Received,602,714,602,No
Application Fee Received,811,680,811,No
Application Fee Received,736,770,736,No
Application Fee Received,828,756,828,No
Application Fee Received,757,736,762,No
Application Fee Received,815.423,698,830,No
Application Fee Received,898,882,878,No
Application Fee Received,679,854,659,No
Application Fee Received,733,777,733,No
Application Fee Received,730,615,730,No
Application Fee Received,708,751,708,No
Application Fee Received,760,798,760,No
Application Fee Received,491,793,491,No
Application Fee Received,709,801,709,No
Application Fee Received,808,790,808,No
Application Fee Received,823,871,823,No
Application Fee Received,569,634,569,No
Application Fee Received,680,846,705,No
Application Fee Received,801,872,801,No
Application Fee Received,758,882,738,No
Application Fee Received,862,768,862,No
Application Fee Received,749,815,749,No
Application Fee Received,864,874,864,No
Application Fee Received,942,823,942,Yes
Application Fee Received,619,683,619,No
Application Fee Received,796,840,796,No
Application Fee Received,863,869,863,No
Application Fee Received,976.056,645,976,Yes
Application Fee Received,823,786,803,No
Application Fee Received,731,644,731,No
Application Fee Received,821,853,821,No
Application Fee Received,548,769,553,No
Application Fee Received,831,870,831,No
Application Fee Received,662,731,662,No
Application Fee Received,816,798,816,No
Application Fee Received,880,908,880,No
Application Fee Received,729,882,729,No
Application Fee Received,659,806,659,No
Application Fee Received,724,851,709,No
Application Fee Received,851,825,851,No
Application Fee Received,746,865,746,No
Application Fee Received,640,672,640,No
Application Fee Received,734,697,734,No
Application Fee Received,752,780,752,No
Application Fee Received,694,680,694,No
Application Fee Received,705,651,705,No
Application Fee Received,710,593,710,No
Admission Fee Challan Received,892,827,892,Yes
Application Fee Received,790,836,790,No
Application Fee Received,879,925,879,No
Application Fee Received,720,721,720,No
Application Fee Received,737,851,737,No
Application Fee Received,748,793,748,No
Application Fee Received,663,500,663,No
Application Fee Received,758,882,738,No
Application Fee Received,827.079,917,832,No
Application Fee Received,548,769,553,No
Application Fee Received,633,678,633,No
Application Fee Received,800,718,800,No
Application Fee Received,858.077,947,863,No
Application Fee Received,758,761,758,No
Application Fee Received,505,670,530,No
Application Fee Received,752,720,757,No
Application Fee Received,766,905,766,No
Application Fee Received,914,908,919,Yes
Application Fee Received,702,746,702,No
Application Fee Received,800,823,800,No
Admission Fee Challan Received,913,848,913,Yes
Application Fee Received,848,661,848,No
Application Fee Received,787,820,787,No
Application Fee Received,648,850,648,No
Application Fee Received,806,880,806,No
Application Fee Received,785,629,785,No
Application Fee Received,772,749,752,No
Application Fee Received,749,697,749,No
Application Fee Received,683,691,683,No
Application Fee Received,797,778,797,No
Application Fee Received,766,905,766,No
Application Fee Received,879,878,879,No
Application Fee Received,800,820,800,No
Application Fee Received,762,614,762,No
Application Fee Received,734,790,739,No
Application Fee Received,641,828,641,No
Application Fee Received,733,814,733,No
Application Fee Received,912,888,912,Yes
Application Fee Received,914,908,919,Yes
Application Fee Received,826,794,826,No
Application Fee Received,536,680,541,No
Admission Fee Challan Received,902,868,902,Yes
Admission Fee Challan Received,905,900,905,Yes
Application Fee Received,614,720,614,No
Application Fee Received,736,760,736,No
Application Fee Received,786,605,786,No
Admission Fee Challan Received,760,861,760,No
Application Fee Received,782,594,782,No
Application Fee Received,605,727,605,No
Application Fee Received,858,847,858,No
Application Fee Received,803,685,803,No
Application Fee Received,896,920,896,Yes
Application Fee Received,690,827,690,No
Admission Fee Challan Received,959,903,959,Yes
Application Fee Received,797,886,797,No
Application Fee Received,858.077,947,863,No
Application Fee Received,675,657,675,No
Application Fee Received,581,686,581,No
Application Fee Received,916,882,916,Yes
Application Fee Received,808,791,808,No
Application Fee Received,757,763,757,No
Application Fee Received,790,840,770,No
Application Fee Received,604,508,604,No
Application Fee Received,696,696,696,No
Application Fee Received,731,814,731,No
Application Fee Received,793,841,793,No
Application Fee Received,883,887,883,No
Application Fee Received,736,712,736,No
Application Fee Received,847,848,852,No
Application Fee Received,703,728,703,No
Application Fee Received,696,708,696,No
Application Fee Received,812,766,812,No
