Application Status,Merit Score,Admission Test,Admission Test 2,ssc_obtained,Terminal Degree,Offered
Application Fee Received,893,48,0,754,845,No
Application Fee Received,990.222,103,0,835,933,No
Application Fee Received,999.333,64,0,916,946,No
Application Fee Received,911,0,0,934,911,No
Application Fee Received,817,1,0,917,817,No
Application Fee Received,891,56,0,879,835,No
Application Fee Received,1027,81,0,826,946,No
Application Fee Received,1040,75,75,894,970,Yes
Application Fee Received,934,0,0,982,934,No
Application Fee Received,865.846,67,0,835,803,No
Application Fee Received,853,53,0,909,800,No
Application Fee Received,940,55,0,801,885,No
Application Fee Received,936.5,27,27,832,909,No
Application Fee Received,1061.364,78,78,930,983,Yes
Application Fee Received,840,51,0,820,789,No
Application Fee Received,956,56,0,904,900,No
Application Fee Received,676,53,0,703,623,No
Application Fee Received,911,47,0,858,844,No
Application Fee Received,943.644,73,0,860,875,No
Application Fee Received,969,60,0,873,914,No
Admission Fee Challan Received,0,69,0,993,1005,Yes
Application Fee Received,950.091,49,49,939,901,No
Application Fee Received,865.846,67,0,835,803,No
Admission Fee Challan Received,1040,74,0,969,971,Yes
Application Fee Received,805,58,0,813,747,No
Application Fee Received,855,58,0,805,802,No
Application Fee Received,584,45,0,572,539,No
Application Fee Received,834,60,0,971,784,No
Application Fee Received,1043,73,0,944,975,Yes
Application Fee Received,987.308,82,82,832,909,No
Application Fee Received,737,51,0,687,686,No
Application Fee Received,650.667,51,0,648,599,No
Application Fee Received,902,51,0,806,856,No
Application Fee Received,858,58,0,838,822,No
Application Fee Received,704,64,0,758,645,No
Application Fee Received,822.577,19,19,839,808,No
Application Fee Received,769,40,0,756,734,No
Application Fee Received,968,53,0,965,920,No
Application Fee Received,953,60,0,894,893,No
Application Fee Received,769,48,0,836,721,No
Application Fee Received,896,55,0,984,841,No
Application Fee Received,911,58,0,844,853,No
Application Fee Received,1029,55,0,940,974,Yes
Application Fee Received,913,0,0,900,913,No
Application Fee Received,952,68,0,780,884,No
Application Fee Received,945,63,0,913,882,No
Application Fee Received,885,0,0,912,890,No
Application Fee Received,935,65,0,887,875,No
Application Fee Received,976,60,0,950,916,No
Application Fee Received,935,77,77,886,885,No
Application Fee Received,757,50,0,762,712,No
Application Fee Received,751,52,0,825,699,No
Application Fee Received,848,55,0,856,793,No
Application Fee Received,827,53,0,919,774,No
Application Fee Received,879,52,0,789,827,No
Application Fee Received,939,69,0,809,875,No
Application Fee Received,857,0,0,945,857,No
Application Fee Received,931.833,60,60,930,871,No
Application Fee Received,930,65,0,861,865,No
Application Fee Received,793,51,0,666,742,No
Application Fee Received,713,43,0,862,670,No
Application Fee Received,942,60,0,869,882,No
Application Fee Received,812,52,0,850,760,No
Application Fee Received,967,58,0,921,909,No
Application Fee Received,877.455,45,45,669,812,No
Application Fee Received,1015,73,35,946,942,No
Application Fee Received,894.444,40,0,802,850,No
Application Fee Received,926,0,0,779,926,No
Application Fee Received,839,54,0,943,785,No
Application Fee Received,820,0,0,648,820,No
Application Fee Received,857,56,0,781,801,No
Application Fee Received,997.909,70,70,1001,932,No
Application Fee Received,952,42,0,893,910,No
Application Fee Received,1021,62,0,896,959,Yes
Application Fee Received,811,54,0,749,757,No
Application Fee Received,946.111,55,0,933,885,No
Application Fee Received,876,60,0,930,821,No
Admission Fee Challan Received,1054,65,0,973,994,Yes
Application Fee Received,879.889,35,14,860,841,No
Application Fee Received,907,52,0,798,855,No
Application Fee Received,970,70,0,927,900,No
Application Fee Received,857,40,0,680,817,No
Application Fee Received,859,50,50,898,809,No
Application Fee Received,912,55,0,788,837,No
Admission Fee Challan Received,1025,67,0,944,958,Yes
Application Fee Received,946,0,0,942,946,No
Application Fee Received,1003,72,0,910,931,No
Application Fee Received,948,58,0,855,890,No
Application Fee Received,877,47,0,848,830,No
Application Fee Received,854,0,0,809,854,No
Admission Fee Challan Received,1031,75,0,904,956,Yes
Application Fee Received,732,42,0,843,690,No
Application Fee Received,907,45,0,907,862,No
Application Fee Received,769,40,0,756,734,No
Application Fee Received,1002,64,0,866,938,No
Application Fee Received,1005,60,0,964,950,No
Application Fee Received,910,46,0,842,864,No
Application Fee Received,813.444,49,0,770,759,No
Application Fee Received,878,55,0,825,823,No
Application Fee Received,789,0,0,714,789,No
Application Fee Received,917,56,0,837,817,No
Application Fee Received,834,53,0,781,781,No
Application Fee Received,1091,80,0,954,1011,Yes
Application Fee Received,985,53,0,764,942,No
Application Fee Received,770,46,0,810,724,No
Application Fee Received,1032,57,0,902,975,Yes
Application Fee Received,912,56,0,940,856,No
Application Fee Received,799,51,0,865,748,No
Application Fee Received,839.545,30,30,818,809,No
Application Fee Received,1013,62,0,902,956,No
Admission Fee Challan Received,1085,54,0,906,985,Yes
Application Fee Received,937,50,0,804,887,No
Application Fee Received,1012,52,0,821,960,No
Application Fee Received,801,49,0,668,752,No
Application Fee Received,872,53,0,794,799,No
Application Fee Received,809,59,0,807,755,No
Application Fee Received,969.545,34,34,922,935,No
Application Fee Received,1019,55,0,907,964,No
Application Fee Received,936.909,53,53,797,883,No
Application Fee Received,955.865,31,31,868,909,No
Application Fee Received,696,56,0,838,640,No
Application Fee Received,779.727,68,68,712,711,No
Application Fee Received,835,57,0,793,778,No
Application Fee Received,975.5,44,44,892,931,No
Application Fee Received,739,0,0,750,739,No
Application Fee Received,703,53,0,716,650,No
Application Fee Received,925,53,0,896,877,No
Admission Fee Challan Received,1039.556,68,0,1001,969,Yes
Application Fee Received,968.545,52,52,916,916,No
Application Fee Received,955,0,0,924,955,No
Application Fee Received,831.333,66,0,838,758,No
Application Fee Received,907.333,48,0,935,854,No
Application Fee Received,758,50,0,821,708,No
Application Fee Received,924,60,0,894,864,No
Application Fee Received,766,60,0,722,711,No
Application Fee Received,797,46,0,689,751,No
Application Fee Received,908,44,0,882,864,No
Application Fee Received,970.636,74,74,813,901,No
Application Fee Received,687,55,0,902,687,No
Application Fee Received,1065.091,69,69,937,996,Yes
Application Fee Received,851,63,0,800,788,No
Application Fee Received,889,60,0,835,829,No
Application Fee Received,904,55,0,791,849,No
Admission Fee Challan Received,1036,68,0,948,968,Yes
Application Fee Received,795,49,0,760,746,No
Application Fee Received,914,52,0,935,862,No
Application Fee Received,902,55,0,843,847,No
Application Fee Received,993,63,0,979,930,No
Application Fee Received,779.545,39,39,761,740,No
Application Fee Received,596,0,0,641,596,No
Application Fee Received,875,50,0,754,825,No
Application Fee Received,874,38,0,644,841,No
Application Fee Received,888,51,0,775,837,No
Application Fee Received,1049,77,0,985,972,Yes
Application Fee Received,971,59,0,776,871,No
Application Fee Received,899,54,0,827,845,No
Application Fee Received,917,46,0,801,871,No
Application Fee Received,1032,58,0,914,979,Yes
Application Fee Received,886,0,0,914,886,No
Application Fee Received,994,59,0,909,935,No
Application Fee Received,1027,80,0,949,947,No
Application Fee Received,715,0,0,727,715,No
Application Fee Received,898,44,0,930,859,No
Application Fee Received,939,54,0,868,885,No
Application Fee Received,962,54,0,913,908,No
Application Fee Received,664,44,0,825,620,No
Application Fee Received,868,60,0,623,813,No
Application Fee Received,1037.727,72,72,903,970,Yes
Application Fee Received,993,81,0,911,892,No
Application Fee Received,954,57,0,719,897,No
Application Fee Received,928,56,0,839,908,No
Application Fee Received,855,1,0,779,835,No
Application Fee Received,800,50,0,938,750,No
Application Fee Received,1024,61,0,977,948,Yes
Application Fee Received,828,0,0,764,828,No
Admission Fee Challan Received,1070,72,0,972,1003,Yes
Application Fee Received,1028,54,0,903,974,Yes
Application Fee Received,753,1,0,822,753,No
Application Fee Received,836,0,0,838,836,No
Application Fee Received,790,0,0,852,790,No
Application Fee Received,882,0,0,882,882,No
Application Fee Received,800,51,0,874,749,No
Application Fee Received,869.273,57,57,903,812,No
Application Fee Received,832,0,0,798,832,No
Application Fee Received,666,50,0,809,616,No
Application Fee Received,971,58,0,786,913,No
Application Fee Received,932,0,0,884,932,No
Application Fee Received,965,0,0,826,965,No
Application Fee Received,833,0,0,715,833,No
Application Fee Received,912,0,0,968,912,No
Application Fee Received,929,62,0,815,872,No
Application Fee Received,978,54,0,938,928,No
Application Fee Received,1063.818,73,73,918,995,Yes
Application Fee Received,1028,67,0,971,961,Yes
Application Fee Received,803,52,0,810,751,No
Application Fee Received,745,45,0,729,700,No
Application Fee Received,870,0,0,854,870,No
Application Fee Received,910,69,0,857,841,No
Application Fee Received,1004,61,0,909,943,No
Application Fee Received,946,45,0,909,901,No
Application Fee Received,949.455,80,80,828,869,No
Application Fee Received,737,68,0,923,669,No
Application Fee Received,1017,67,0,967,950,No
Application Fee Received,952,52,0,948,900,No
Application Fee Received,986.889,68,68,966,918,No
Application Fee Received,858,0,0,842,858,No
Application Fee Received,925,20,20,900,905,No
Application Fee Received,862,0,0,893,862,No
Application Fee Received,728,53,0,747,675,No
Application Fee Received,708,47,0,737,661,No
Application Fee Received,903,56,0,907,847,No
Application Fee Received,1003.364,55,55,930,948,No
Application Fee Received,944,57,0,913,887,No
Application Fee Received,649,43,0,734,606,No
Application Fee Received,902,54,0,813,848,No
Application Fee Received,928,49,0,820,859,No
Application Fee Received,951,0,0,912,951,No
Application Fee Received,855,44,0,800,811,No
Application Fee Received,785,50,0,737,735,No
Application Fee Received,930,56,32,919,874,No
Application Fee Received,934.273,520,47,851,887,No
Application Fee Received,920,0,0,892,920,No
Application Fee Received,930,51,0,891,884,No
Application Fee Received,993,63,0,894,930,No
Application Fee Received,942,70,0,887,861,No
Application Fee Received,986.667,68,47,980,930,No
Application Fee Received,934,52,0,740,862,No
Application Fee Received,962,56,0,929,906,No
Application Fee Received,817,60,0,801,757,No
Application Fee Received,1047.222,64,64,934,985,Yes
Application Fee Received,937,63,0,891,874,No
Application Fee Received,997.455,75,75,923,922,No
Application Fee Received,822.577,19,19,839,808,No
Application Fee Received,924,55,0,893,869,No
Application Fee Received,939,65,0,920,874,No
Application Fee Received,983,66,66,924,931,No
Application Fee Received,945,54,0,960,896,No
Application Fee Received,893,55,0,870,843,No
Application Fee Received,821,36,0,842,785,No
Admission Fee Challan Received,1024,50,0,937,974,Yes
Application Fee Received,945,51,0,960,894,No
Application Fee Received,834.444,49,49,847,785,No
Application Fee Received,850,52,0,906,798,No
Application Fee Received,854,53,0,776,801,No
Application Fee Received,853,55,0,789,798,No
Application Fee Received,872,51,0,850,821,No
Application Fee Received,827,45,0,877,782,No
Application Fee Received,937,0,0,849,917,No
Application Fee Received,851,50,0,777,801,No
Application Fee Received,883,50,0,786,833,No
Application Fee Received,953,45,0,769,913,No
Application Fee Received,715,61,0,880,634,No
Application Fee Received,944.182,38,38,861,906,No
Application Fee Received,955.865,31,31,868,909,No
Application Fee Received,945,51,0,960,894,No
Application Fee Received,737,68,0,923,669,No
Application Fee Received,942,60,0,869,882,No
Admission Fee Challan Received,0,148,0,842,884,No
Application Fee Received,956,65,0,969,896,No
Application Fee Received,978.818,67,67,874,916,No
Application Fee Received,981,61,0,907,925,No
Application Fee Received,976.273,45,45,922,931,No
Application Fee Received,862,0,0,910,862,No
Application Fee Received,1020,64,0,792,956,No
Application Fee Received,990,62,0,919,928,No
Application Fee Received,953,52,0,915,901,No
Application Fee Received,893.889,44,0,939,845,No
Application Fee Received,824.115,57,0,769,772,No
Application Fee Received,911,42,0,870,869,No
Application Fee Received,958.818,56,56,843,902,No
Application Fee Received,955.364,60,60,782,895,No
Application Fee Received,1020,70,0,994,950,No
Application Fee Received,933,42,0,924,891,No
Application Fee Received,901,52,0,884,849,No
Application Fee Received,921.222,65,0,929,849,No
Application Fee Received,1042.5,38,38,936,1004,Yes
Application Fee Received,954,63,0,833,954,No
Application Fee Received,839,63,0,806,776,No
Application Fee Received,1040.273,77,77,966,963,Yes
Application Fee Received,1047,73,0,828,974,Yes
Application Fee Received,1064.091,75,75,926,969,Yes
Application Fee Received,877,55,0,881,802,No
Application Fee Received,744,0,0,731,744,No
Application Fee Received,861.333,37,37,793,828,No
Application Fee Received,919,52,0,818,819,No
Application Fee Received,1031.455,57,57,993,974,No
Application Fee Received,806,67,14,841,739,No
Application Fee Received,1047,57,0,951,947,No
Application Fee Received,970,0,0,807,950,No
Application Fee Received,901.75,10,10,894,896,No
Application Fee Received,1038,84,0,936,959,Yes
Application Fee Received,869.545,34,34,838,835,No
Application Fee Received,775.909,40,40,770,735,No
Application Fee Received,978.778,43,0,920,931,No
Application Fee Received,978.818,67,67,874,916,No
Application Fee Received,992,64,0,931,928,No
Application Fee Received,956,55,0,918,901,No
Application Fee Received,770,50,0,791,720,No
Application Fee Received,750,49,0,778,701,No
Application Fee Received,895,30,0,939,845,No
Application Fee Received,984,63,22,966,921,No
Application Fee Received,947,60,0,743,892,No
Application Fee Received,903,0,0,882,903,No
Application Fee Received,1000,64,0,893,936,No
Application Fee Received,1011,64,0,948,947,No
Application Fee Received,937,53,0,874,884,No
Application Fee Received,1066.778,122,0,955,999,Yes
Application Fee Received,828,53,0,886,775,No
Application Fee Received,891,55,0,903,836,No
Application Fee Received,980,52,0,850,908,No
Application Fee Received,752,75,0,715,677,No
Application Fee Received,677,53,0,752,624,No
Application Fee Received,975.909,65,65,898,910,No
Application Fee Received,852,40,0,738,812,No
Application Fee Received,890,63,0,836,827,No
Application Fee Received,1035.364,60,60,844,975,Yes
Application Fee Received,985,51,0,870,934,No
Application Fee Received,1041.364,56,56,904,985,Yes
Application Fee Received,896,52,52,839,844,No
Application Fee Received,965,60,0,987,905,No
Application Fee Received,934,52,0,834,882,No
Application Fee Received,866,61,0,732,810,No
Application Fee Received,877.222,29,0,794,825,No
Application Fee Received,932,52,0,941,880,No
Application Fee Received,751,51,0,650,700,No
Application Fee Received,956,54,0,871,901,No
Application Fee Received,767,0,0,898,767,No
Application Fee Received,897,44,0,896,853,No
Application Fee Received,944,53,0,805,891,No
Application Fee Received,862,61,0,833,801,No
Application Fee Received,811,50,0,906,761,No
Application Fee Received,879,44,0,825,840,No
Application Fee Received,906,49,0,865,862,No
Admission Fee Challan Received,1038,57,0,956,981,Yes
Application Fee Received,1001,53,0,796,948,No
Application Fee Received,735,56,0,752,684,No
Application Fee Received,881,59,0,737,822,No
Application Fee Received,981,41,0,905,940,No
Application Fee Received,891,46,0,872,825,No
Application Fee Received,854,51,0,808,808,No
Application Fee Received,893,50,0,722,843,No
Application Fee Received,931.636,63,63,891,868,No
Application Fee Received,968.634,37,0,900,936,No
Application Fee Received,1085.364,78,78,975,1007,Yes
Application Fee Received,990,63,0,860,927,No
Application Fee Received,931,50,0,674,881,No
Application Fee Received,956,65,0,969,896,No
Admission Fee Challan Received,1027,59,0,883,968,Yes
Application Fee Received,818.444,54,54,732,769,No
Application Fee Received,874,43,0,839,831,No
Application Fee Received,826,51,0,852,775,No
Application Fee Received,1026,56,0,871,970,No
Application Fee Received,939,59,0,758,880,No
Application Fee Received,945,65,0,883,880,No
Application Fee Received,975,62,0,848,913,No
Application Fee Received,888,49,0,740,839,No
Application Fee Received,1008,66,0,923,942,No
Application Fee Received,850.727,72,72,698,778,No
Application Fee Received,893,49,18,833,844,No
Application Fee Received,623,44,0,677,579,No
Application Fee Received,887,52,0,808,835,No
Application Fee Received,796,66,16,723,730,No
Application Fee Received,1059,60,0,939,999,Yes
Application Fee Received,739,60,0,819,679,No
Application Fee Received,939,50,0,868,869,No
Application Fee Received,1004.727,83,83,850,921,No
Application Fee Received,1040.727,75,75,898,970,Yes
Application Fee Received,824,0,0,879,824,No
Application Fee Received,1052,56,0,957,996,Yes
Application Fee Received,896,53,0,934,843,No
Application Fee Received,1003.111,55,0,809,942,No
Application Fee Received,900,0,0,893,905,No
Application Fee Received,926,51,0,845,880,No
Application Fee Received,945,55,0,894,890,No
Application Fee Received,600,0,0,735,580,No
Application Fee Received,997.182,73,73,855,924,No
Application Fee Received,987.909,51,51,889,936,No
Admission Fee Challan Printed,1042.455,74,74,948,973,Yes
Application Fee Received,883,50,0,746,833,No
Application Fee Received,861,57,0,885,814,No
Application Fee Received,1034.455,77,77,937,957,Yes
Application Fee Received,739.904,8,8,735,736,No
Application Fee Received,973,58,0,925,915,No
Application Fee Received,973.727,64,64,844,909,No
Application Fee Received,932,67,0,928,865,No
Application Fee Received,990,62,0,905,928,No
Application Fee Received,1060,65,0,964,995,Yes
Application Fee Received,974.556,136,0,870,899,No
Application Fee Received,985.182,48,48,935,937,No
Application Fee Received,844,51,0,871,793,No
Application Fee Received,733,44,0,670,689,No
Application Fee Received,684.752,45,0,646,644,No
Application Fee Received,989,65,0,943,924,No
Application Fee Received,896,0,0,848,896,No
Application Fee Received,1036.455,65,65,981,976,Yes
Application Fee Received,855,53,0,731,802,No
Application Fee Received,608.577,53,0,592,560,No
Application Fee Received,964,52,0,864,912,No
Application Fee Received,729,63,0,732,666,No
Application Fee Received,920.222,56,0,867,858,No
Application Fee Received,922,42,0,919,880,No
Application Fee Received,978,53,0,941,925,No
Application Fee Received,755,50,0,843,705,No
Application Fee Received,898,56,0,749,842,No
Application Fee Received,870,58,0,872,812,No
Admission Fee Challan Received,1044,62,0,906,982,Yes
Application Fee Received,925,53,13,775,872,No
Application Fee Received,943,54,0,905,883,No
Application Fee Received,945,0,0,932,950,No
Application Fee Received,998,45,45,884,953,No
Admission Fee Challan Printed,1028,70,70,965,948,Yes
Application Fee Received,819,63,0,825,756,No
Application Fee Received,836,45,45,855,836,No
Application Fee Received,1039,85,85,972,983,Yes
Application Fee Received,1041.545,74,74,928,972,Yes
Application Fee Received,905,40,0,895,865,No
Application Fee Received,823,44,0,877,779,No
Application Fee Received,1077,58,0,926,977,Yes
Application Fee Received,872,54,0,815,818,No
Application Fee Received,952,56,0,934,896,No
Application Fee Received,830,60,0,767,770,No
Application Fee Received,978,70,70,770,908,No
Application Fee Received,942.75,24,24,945,923,No
Application Fee Received,983,54,0,989,923,No
Application Fee Received,1062,54,25,933,1008,Yes
Admission Fee Challan Received,1035,63,0,830,972,Yes
Application Fee Received,640,42,0,549,598,No
Application Fee Received,981,61,0,907,925,No
Application Fee Received,864,57,0,814,807,No
Application Fee Received,892,62,0,848,830,No
Application Fee Received,904,58,0,811,804,No
Application Fee Received,999,66,0,952,943,No
Application Fee Received,989.545,54,54,724,935,No
Application Fee Received,924,0,0,877,924,No
Application Fee Received,909,0,0,883,909,No
Application Fee Received,978,70,70,770,908,No
Application Fee Received,942.75,24,24,945,923,No
Application Fee Received,1039.111,55,0,962,978,Yes
Application Fee Received,866,58,19,683,771,No
Application Fee Received,821,49,0,917,772,No
Application Fee Received,864,52,0,843,817,No
Application Fee Received,949,0,0,967,949,No
Application Fee Received,846,52,0,738,794,No
Application Fee Received,1004,52,0,924,952,No
Application Fee Received,929,50,0,753,879,No
Application Fee Received,913.333,96,0,803,860,No
Application Fee Received,852,42,0,843,810,No
Application Fee Received,1005,47,0,931,958,No
Admission Fee Challan Received,1028,52,0,906,976,Yes
Application Fee Received,855,56,0,798,799,No
Application Fee Received,845,55,0,710,790,No
Application Fee Received,758,46,0,711,712,No
Admission Fee Challan Received,1045,57,0,922,988,Yes
Application Fee Received,958,53,0,884,905,No
Application Fee Received,942,53,0,910,889,No
Application Fee Received,1001.545,54,54,927,947,No
Application Fee Received,851,46,28,767,805,No
Application Fee Received,731,42,0,793,689,No
Admission Fee Challan Received,1023,65,0,873,958,Yes
Application Fee Received,854,51,0,746,803,No
Application Fee Received,866,0,0,868,866,No
Application Fee Received,968,64,0,911,904,No
Application Fee Received,857,52,0,884,805,No
Application Fee Received,967,70,70,961,972,No
Application Fee Received,809,0,0,800,809,No
Application Fee Received,747,47,0,890,700,No
Application Fee Received,846,40,0,792,806,No
Application Fee Received,1019,57,0,759,899,No
Application Fee Received,962,0,0,954,967,No
