Application Status,Admission Test,SCC,Terminal Degree,Offered
Complete,55,822,818,No
Complete,45,669,812,No
Complete,40,802,850,No
Complete,42,630,556,No
Complete,52,902,904,No
Complete,71,966,909,No
Complete,68,865,812,No
Complete,56,804,884,No
Complete,52,902,904,No
Complete,57,872,848,No
Complete,61,752,832,No
Complete,64,962,928,No
Complete,67,971,991,Yes
Complete,64,946,774,No
Complete,42,630,556,No
Complete,22,873,809,No
Complete,46,906,687,No
Complete,9,576,710,No
Complete,61,951,963,No
Complete,42,852,1,No
Complete,51,806,856,No
Complete,53,798,1,No
Complete,82,972,947,No
Complete,0,634,568,No
Complete,38,846,817,No
Complete,61,847,810,No
Complete,64,820,926,No
Complete,56,781,801,No
Complete,76,966,990,Yes
Complete,49,875,813,No
Complete,73,977,823,No
Complete,62,896,959,No
Complete,60,845,915,No
Complete,0,851,852,No
Complete,52,798,855,No
Complete,70,927,900,No
Complete,65,890,871,No
Complete,40,680,817,No
Complete,50,898,809,No
Complete,55,788,837,No
Complete,0,788,887,No
Complete,67,944,958,Yes
Complete,46,903,825,No
Complete,47,756,763,No
Complete,57,870,843,No
Complete,52,886,902,No
Complete,50,884,712,No
Complete,75,904,956,Yes
Complete,42,843,690,No
Complete,47,921,886,No
Complete,66,802,683,No
Complete,58,838,789,No
Complete,40,888,862,No
Complete,48,967,853,No
Complete,49,770,759,No
Complete,55,825,823,No
Complete,0,714,789,No
Complete,56,837,817,No
Complete,65,866,866,No
Complete,44,794,830,No
Complete,44,870,733,No
Complete,51,961,926,No
Complete,53,764,942,No
Complete,61,942,962,Yes
Complete,56,940,856,No
Complete,51,865,748,No
Complete,54,776,705,No
Complete,30,818,809,No
Complete,62,902,956,No
Complete,54,906,985,Yes
Complete,53,794,799,No
Complete,45,892,874,No
Complete,46,738,688,No
Complete,55,907,964,No
Complete,38,846,817,No
Complete,64,820,926,No
Complete,57,793,778,No
Complete,70,950,975,Yes
Complete,50,858,779,No
Complete,57,890,886,No
Complete,52,916,916,No
Complete,43,834,784,No
Complete,55,806,865,No
Complete,73,854,969,Yes
Complete,66,847,857,No
Complete,58,870,958,No
Complete,0,953,895,No
Complete,44,882,864,No
Complete,74,813,901,No
Complete,57,871,863,No
Complete,0,833,876,No
Complete,0,707,872,No
Complete,50,882,804,No
Complete,68,948,968,Yes
Complete,45,841,953,No
Complete,53,840,819,No
Complete,57,754,906,No
Complete,63,979,930,No
Complete,45,821,755,No
Complete,0,881,830,No
Complete,50,785,898,No
Complete,50,933,891,No
Complete,0,868,949,No
Complete,40,882,841,No
Complete,54,944,828,No
Complete,38,883,800,No
Complete,0,727,715,No
Complete,44,930,859,No
Complete,51,739,834,No
Complete,60,623,813,No
Complete,72,903,970,Yes
Complete,51,819,788,No
Complete,57,719,897,No
Complete,20,752,280,No
Complete,48,861,889,No
Complete,44,801,786,No
Complete,57,914,962,No
Complete,51,826,895,No
Complete,51,806,861,No
Complete,46,756,589,No
Complete,72,972,1003,Yes
Complete,54,903,974,Yes
Complete,0,798,832,No
Complete,53,866,783,No
Complete,56,801,848,No
Complete,66,971,918,No
Complete,67,971,961,Yes
Complete,63,955,932,No
Complete,0,854,870,No
Complete,43,908,796,No
Complete,69,857,841,No
Complete,61,707,827,No
Complete,80,828,869,No
Complete,78,937,891,No
Complete,60,892,883,No
Complete,50,688,779,No
Complete,60,790,831,No
Complete,67,967,950,No
Complete,45,931,861,No
Complete,62,819,704,No
Complete,59,926,828,No
Complete,59,866,894,No
Complete,61,826,884,No
Complete,44,844,777,No
Complete,57,913,887,No
Complete,43,734,606,No
Complete,57,820,822,No
Complete,0,912,951,No
Complete,48,758,621,No
Complete,0,895,869,No
Complete,50,737,735,No
Complete,59,795,675,No
Complete,53,839,812,No
Complete,0,892,920,No
Complete,63,894,930,No
Complete,74,861,909,No
Complete,51,879,756,No
Complete,61,847,810,No
Complete,63,893,932,No
Complete,50,931,823,No
Complete,55,937,851,No
Complete,63,893,932,No
Complete,50,931,823,No
Complete,59,931,908,No
Complete,53,840,854,No
Complete,63,967,877,No
Complete,65,945,884,No
Complete,58,676,544,No
Complete,51,888,893,No
Complete,63,885,966,Yes
Complete,66,924,931,No
Complete,56,793,776,No
Complete,54,960,896,No
Complete,36,842,785,No
Complete,51,960,894,No
Complete,53,594,822,No
Complete,70,908,972,Yes
Complete,55,789,798,No
Complete,68,840,738,No
Complete,31,573,718,No
Complete,0,849,917,No
Complete,0,660,737,No
Complete,67,945,958,No
Complete,50,786,833,No
Complete,45,769,913,No
Complete,36,932,928,No
Complete,74,906,983,Yes
Complete,64,792,956,No
Complete,41,672,772,No
Complete,60,816,885,No
Complete,54,865,890,No
Complete,42,870,869,No
Complete,77,779,953,Yes
Complete,56,843,902,No
Complete,63,922,935,No
Complete,59,633,958,No
Complete,52,883,875,No
Complete,0,891,873,No
Complete,65,929,849,No
Complete,0,897,939,No
Complete,46,778,842,No
Complete,0,731,744,No
Complete,75,904,865,No
Complete,65,938,967,Yes
Complete,54,940,960,No
Complete,64,931,928,No
Complete,55,918,901,No
Complete,73,780,789,No
Complete,30,755,711,No
Complete,39,819,613,No
Complete,30,939,845,No
Complete,61,838,794,No
Complete,56,851,831,No
Complete,32,847,733,No
Complete,63,923,977,Yes
Complete,60,743,892,No
Complete,0,882,903,No
Complete,64,893,936,No
Complete,56,871,969,Yes
Complete,348,814,801,No
Complete,46,950,918,No
Complete,46,694,656,No
Complete,33,932,715,No
Complete,76,772,968,Yes
Complete,52,850,908,No
Complete,0,912,741,No
Complete,65,898,910,No
Complete,53,942,919,No
Complete,50,749,741,No
Complete,60,987,905,No
Complete,52,834,882,No
Complete,52,941,880,No
Complete,53,671,759,No
Complete,0,768,880,No
Complete,54,871,901,No
Complete,59,952,938,No
Complete,50,858,779,No
Complete,63,967,877,No
Complete,57,820,822,No
Complete,51,960,894,No
Complete,44,844,777,No
Complete,68,840,738,No
Complete,60,743,892,No
Complete,66,802,683,No
Complete,63,754,862,No
Complete,85,972,983,Yes
Complete,53,860,836,No
Complete,60,767,770,No
Complete,68,1002,1019,No
Complete,54,752,729,No
Complete,65,969,896,No
Complete,77,936,879,No
Complete,70,770,908,No
Complete,51,794,768,No
Complete,66,928,962,No
Complete,50,743,700,No
Complete,55,853,876,No
Complete,61,890,965,Yes
Complete,75,912,959,Yes
Complete,52,869,784,No
Complete,59,737,822,No
Complete,0,768,785,No
Complete,51,808,808,No
Complete,63,891,868,No
Complete,77,849,961,Yes
Complete,57,737,715,No
Complete,39,761,831,No
Complete,85,888,799,No
Complete,50,674,881,No
Complete,55,962,908,No
Complete,65,969,896,No
Complete,53,865,911,No
Complete,64,840,899,No
Complete,56,871,970,No
Complete,49,740,839,No
Complete,72,698,778,No
Complete,0,983,956,No
Complete,47,856,849,No
Complete,44,810,783,No
Complete,60,939,999,Yes
Complete,70,918,903,No
Complete,40,893,915,No
Complete,42,968,954,No
Complete,50,868,869,No
Complete,43,959,893,No
Complete,75,898,970,Yes
Complete,0,924,854,No
Complete,42,832,809,No
Complete,46,917,912,No
Complete,44,877,834,No
Complete,0,735,664,No
Complete,73,855,924,No
Complete,48,764,898,No
Complete,44,707,600,No
Complete,58,95,892,No
Complete,47,872,946,No
Complete,57,885,814,No
Complete,77,937,957,Yes
Complete,53,913,1000,Yes
Complete,53,860,836,No
Complete,67,928,865,No
Complete,53,936,844,No
Complete,65,964,995,Yes
Complete,45,646,644,No
Complete,0,848,896,No
Complete,42,670,765,No
Complete,65,981,976,Yes
Complete,42,899,857,No
Complete,53,731,802,No
Complete,54,911,862,No
Complete,80,945,949,Yes
Complete,56,867,858,No
Complete,62,954,886,No
Complete,71,895,933,No
Complete,50,843,705,No
Complete,53,892,744,No
Complete,52,954,830,No
Complete,56,749,842,No
Complete,58,872,812,No
Complete,64,875,989,Yes
Complete,56,866,830,No
Complete,0,932,950,No
Complete,52,901,950,No
Complete,45,855,836,No
Complete,85,972,983,Yes
Complete,40,895,865,No
Complete,44,963,884,No
Complete,56,858,932,No
Complete,60,767,770,No
Complete,70,770,908,No
Complete,0,703,736,No
Complete,54,989,923,No
Complete,49,708,575,No
Complete,63,830,972,Yes
Complete,40,728,591,No
Complete,59,926,886,No
Complete,54,724,935,No
Complete,59,868,830,No
Complete,96,790,789,No
Complete,48,902,908,No
Complete,66,872,906,No
Complete,51,873,804,No
Complete,70,933,931,No
Complete,0,916,865,No
Complete,50,809,804,No
Complete,52,810,755,No
Complete,49,917,772,No
Complete,50,921,790,No
Complete,52,843,817,No
Complete,55,881,783,No
Complete,56,815,828,No
Complete,69,840,947,No
Complete,56,798,799,No
Complete,57,739,657,No
Complete,65,715,809,No
Complete,58,823,877,No
Complete,65,873,958,No
Complete,60,899,884,No
Complete,0,868,866,No
Complete,52,831,847,No
Complete,0,800,809,No
Complete,57,759,899,No
Complete,53,695,901,No
Complete,57,790,754,No
Complete,60,899,938,No
Complete,80,926,991,Yes
Complete,52,802,765,No
Complete,77,936,879,No
Complete,57,819,805,No
Complete,58,915,795,No
Complete,79,935,971,Yes
Complete,40,962,918,No
Complete,61,960,977,Yes
Complete,71,882,920,No
Complete,56,824,920,No
Complete,41,766,840,No
Complete,68,1002,1019,No
Complete,45,648,805,No
Complete,47,738,702,No
Complete,76,711,930,No
Complete,48,826,838,No
Complete,45,782,743,No
Complete,55,824,824,No
Complete,55,923,897,No
Complete,42,739,751,No
Complete,44,833,767,No
Complete,51,893,863,No
Complete,73,912,919,No
Complete,55,771,797,No
Complete,0,888,891,No
Complete,50,920,850,No
Complete,44,801,900,No
Complete,59,790,808,No
Complete,68,831,919,No
Complete,51,654,749,No
Complete,54,757,791,No
Complete,45,749,818,No
Complete,54,752,729,No
Complete,65,908,880,No
Complete,41,697,734,No
Complete,44,676,686,No
Complete,56,738,802,No
Complete,61,902,837,No
Complete,52,883,937,No
Complete,0,906,916,No
Complete,55,925,879,No
Complete,44,957,977,Yes
Complete,60,877,950,No
Complete,52,830,761,No
Complete,57,914,925,No
Complete,48,861,780,No
Complete,55,823,800,No
Complete,52,945,911,No
Complete,56,825,765,No
Complete,61,769,615,No
Complete,66,840,883,No
Complete,45,866,760,No
Complete,47,887,886,No
Complete,0,617,822,No
Complete,45,896,920,No
Complete,63,754,862,No
Complete,80,969,953,Yes
Complete,60,880,878,No
Complete,51,794,768,No
Complete,57,840,853,No
Complete,55,872,928,No
Complete,42,842,896,No
Complete,44,899,864,No
Complete,71,869,968,Yes
Complete,54,935,936,No
Complete,70,948,987,Yes
Complete,52,935,930,No
Complete,56,830,837,No
Complete,66,944,938,No
Complete,66,990,959,No
Complete,51,769,623,No
Complete,60,908,936,No
Complete,47,727,605,No
Complete,71,930,962,Yes
Complete,49,794,800,No
Complete,61,854,884,No
Complete,63,941,974,Yes
Complete,50,688,582,No
Complete,0,954,910,No
Complete,72,966,965,Yes
Complete,41,672,717,No
Complete,69,754,934,No
Complete,0,956,921,No
Complete,53,841,793,No
Complete,52,943,927,No
Complete,60,822,812,No
Complete,57,738,763,No
Complete,47,914,844,No
Complete,44,796,782,No
Complete,52,905,965,No
Complete,63,863,956,No
Complete,63,832,830,No
Complete,55,951,929,No
Complete,65,990,995,Yes
Complete,64,840,899,No
Complete,60,880,878,No
Complete,52,901,950,No
Complete,63,830,972,Yes
Complete,56,824,920,No
Complete,0,496,782,No
Complete,54,840,887,No
Complete,52,670,610,No
Complete,46,594,688,No
Complete,70,892,898,No
Complete,68,951,944,No
Complete,45,675,777,No
Complete,66,964,838,No
Complete,57,871,929,No
Complete,49,795,761,No
Complete,50,697,800,No
Complete,65,719,894,No
