Application Status,Merit Score,Admission Test,Admission Test 2,ssc_obtained,Terminal Degree,Offered
Application Fee Received,821,53,0,706,768,No
Application Fee Received,968,67,0,926,906,No
Application Fee Received,1002.455,65,65,848,937,No
Application Fee Received,919,59,0,929,860,No
Application Fee Received,883,55,0,760,833,No
Application Fee Received,775,58,0,879,722,No
Application Fee Received,838,55,55,865,783,No
Admission Fee Challan Received,1040,65,0,921,980,Yes
Application Fee Received,840,53,0,682,767,No
Application Fee Received,790,0,0,948,790,No
Application Fee Received,887,54,0,889,833,No
Application Fee Received,1058.909,51,51,933,1007,Yes
Application Fee Received,1014.545,54,54,966,960,No
Application Fee Received,935,0,0,845,935,No
Application Fee Received,837,45,0,675,777,No
Application Fee Received,765,61,0,769,684,No
Application Fee Received,1007.778,70,0,905,930,No
Application Fee Received,906,51,0,745,865,No
Application Fee Received,894,55,0,847,869,No
Application Fee Received,812,48,0,770,764,No
Application Fee Received,892,57,0,710,835,No
Application Fee Received,990,67,0,926,928,No
Admission Fee Challan Received,875,48,0,629,827,No
Application Fee Received,1030,50,0,958,980,Yes
Application Fee Received,917,0,0,880,917,No
Application Fee Received,988,50,0,924,938,No
Application Fee Received,808,60,0,873,748,No
Application Fee Received,832,54,0,793,772,No
Application Fee Received,745,49,0,827,696,No
Application Fee Received,858,51,0,892,807,No
Application Fee Received,895.364,50,50,848,845,No
Application Fee Received,1034,59,57,947,975,Yes
Application Fee Received,1053.778,72,72,877,981,Yes
Application Fee Received,923,46,0,888,877,No
Application Fee Received,799,52,0,715,747,No
Application Fee Received,1011,60,0,898,951,No
Application Fee Received,998,40,0,884,958,No
Application Fee Received,885,51,0,895,834,No
Application Fee Received,872,46,0,834,826,No
Application Fee Received,896,54,0,923,842,No
Application Fee Received,703,51,0,735,657,No
Application Fee Received,966,58,0,753,908,No
Application Fee Received,936.167,71,59,774,877,No
Admission Fee Challan Received,694,57,0,735,637,No
Application Fee Received,926,44,0,895,882,No
Application Fee Received,947,45,45,949,947,No
Application Fee Received,1018,60,0,850,958,No
Application Fee Received,601,0,0,815,601,No
Application Fee Received,994.455,75,75,942,919,No
Admission Fee Challan Received,1037,58,0,811,984,Yes
Application Fee Received,891,0,0,952,891,No
Application Fee Received,979,0,0,843,979,No
Admission Fee Challan Received,1044.889,71,0,922,971,Yes
Application Fee Received,1001,62,0,889,944,No
Application Fee Received,915,0,0,942,915,No
Application Fee Received,1038,76,0,912,967,Yes
Application Fee Received,933.364,36,36,861,897,No
Application Fee Received,902,63,0,746,844,No
Application Fee Received,959,58,0,774,901,No
Application Fee Received,801,70,0,784,731,No
Application Fee Received,1053,71,0,930,982,Yes
Application Fee Received,931.455,45,45,844,886,No
Application Fee Received,921,53,0,672,868,No
Application Fee Received,941,50,50,858,891,No
Application Fee Received,861,49,0,922,812,No
Application Fee Received,1004.727,57,57,824,947,No
Application Fee Received,843.333,48,0,929,790,No
Application Fee Received,925,46,0,861,879,No
Application Fee Received,947,50,0,865,897,No
Application Fee Received,811,54,0,855,757,No
Application Fee Received,985,48,0,798,937,No
Application Fee Received,727,50,0,870,677,No
Application Fee Received,994,58,0,784,936,No
Application Fee Received,910,58,0,940,852,No
Admission Fee Challan Received,1041,77,0,954,969,Yes
Application Fee Received,995,58,0,868,942,No
Admission Fee Challan Received,1043.778,61,0,956,981,Yes
Application Fee Received,959.182,68,68,891,891,No
Application Fee Received,914,0,0,828,914,No
Application Fee Received,855,54,0,814,801,No
Application Fee Received,866,57,0,861,809,No
Application Fee Received,953,55,0,866,898,No
Application Fee Received,897,62,0,827,835,No
Application Fee Received,979,0,0,957,984,Yes
Application Fee Received,921,0,0,970,921,No
Application Fee Received,1015,71,0,962,944,No
Application Fee Received,926,59,0,912,867,No
Application Fee Received,835,55,0,894,785,No
Admission Fee Challan Printed,1057,71,0,958,991,Yes
Admission Fee Challan Printed,941,66,0,929,880,No
Application Fee Received,866,59,0,828,807,No
Application Fee Received,868,54,0,703,814,No
Application Fee Received,991,53,0,939,938,No
Application Fee Received,897,50,0,833,847,No
Application Fee Received,1100,66,0,987,1034,Yes
Admission Fee Challan Received,900,50,0,787,850,No
Application Fee Received,827,52,25,795,755,No
Admission Fee Challan Printed,1057,71,0,958,991,Yes
Admission Fee Challan Printed,941,66,0,929,880,No
Application Fee Received,879,51,0,947,828,No
