Application Status,Admission Test,Admission Test 2,Terminal Degree,Document Verified,Offered
Complete,58,0,901,0,No
Complete,63,0,980,1,Yes
Complete,48,0,751,0,No
Complete,59,0,854,0,No
Complete,70,70,952,0,No
NotComplete,55,55,958,0,No
Complete,71,0,933,0,No
Complete,73,73,950,1,No
NotComplete,52,0,851,0,No
Complete,58,0,942,0,No
NotComplete,52,0,783,0,No
Complete,68,0,939,0,No
Complete,64,0,916,0,No
Complete,50,0,862,0,No
Complete,72,72,951,1,No
Complete,74,0,894,0,No
Complete,42,0,690,0,No
Complete,88,88,969,0,No
Complete,53,0,855,0,No
Complete,88,88,942,1,No
Complete,43,0,863,0,No
Complete,60,0,946,0,No
Complete,75,75,968,1,Yes
Complete,67,67,919,0,No
Complete,67,0,825,0,No
Complete,40,0,557,0,No
Complete,50,0,686,0,No
Complete,48,0,836,0,No
Complete,89,89,953,1,Yes
Complete,60,0,860,0,No
Complete,69,0,972,1,Yes
Complete,68,0,825,0,No
NotComplete,86,86,970,0,No
Complete,55,0,802,0,No
Complete,57,0,964,0,No
Complete,88,88,948,1,Yes
Complete,62,0,742,0,No
Complete,74,74,947,1,No
NotComplete,0,0,827,0,No
Complete,46,0,571,0,No
Complete,64,0,949,0,No
Complete,46,0,811,0,No
Complete,79,79,993,1,Yes
Complete,54,0,903,0,No
NotComplete,61,0,666,0,No
Complete,67,67,954,1,No
Complete,41,0,717,0,No
Complete,78,78,916,0,No
Complete,51,0,819,0,No
Complete,44,44,853,0,No
Complete,48,0,968,0,No
Complete,54,54,804,0,No
Complete,40,0,705,0,No
Complete,64,0,885,0,No
Complete,55,0,924,0,No
Complete,69,69,877,0,No
NotComplete,50,0,571,0,No
Complete,58,0,871,0,No
Complete,53,0,801,0,No
Complete,64,0,955,1,No
NotComplete,53,0,919,0,No
Complete,54,0,913,0,No
Complete,71,0,740,0,No
Complete,68,53,833,0,No
Complete,52,0,739,0,No
NotComplete,43,0,802,0,No
Complete,56,0,855,0,No
NotComplete,0,0,524,0,No
Complete,57,0,899,0,No
Complete,62,0,948,0,No
Complete,73,66,918,0,No
NotComplete,64,64,955,0,No
Complete,56,0,874,0,No
Complete,78,78,966,0,No
Complete,52,0,596,0,No
Complete,59,59,921,0,No
Complete,59,0,724,0,No
Complete,62,0,771,0,No
Complete,60,0,829,0,No
NotComplete,59,0,911,0,No
Complete,41,0,772,0,No
Complete,58,0,891,0,No
Complete,51,0,788,0,No
NotComplete,68,0,924,0,No
Complete,45,0,755,0,No
Complete,78,78,920,0,No
NotComplete,82,82,983,0,No
Complete,48,0,650,0,No
NotComplete,60,60,935,0,No
Complete,39,39,812,0,No
NotComplete,88,88,930,0,No
Complete,55,0,846,0,No
Complete,56,56,861,0,No
Complete,63,63,933,0,No
NotComplete,66,64,884,0,No
Complete,42,0,839,0,No
Complete,55,0,904,0,No
Complete,74,74,887,0,No
Complete,84,84,950,1,No
Complete,69,0,885,0,No
Complete,47,0,837,0,No
Complete,75,75,933,0,No
Complete,67,0,980,0,No
Complete,69,0,799,1,No
Complete,52,0,832,0,No
Complete,42,0,667,0,No
Complete,52,0,889,0,No
Complete,50,0,702,0,No
Complete,49,47,760,0,No
Complete,74,74,922,0,No
Complete,82,0,946,1,No
Complete,81,81,947,0,No
NotComplete,57,57,850,0,No
Complete,71,0,744,0,No
Complete,78,78,926,0,No
Complete,63,0,957,0,No
NotComplete,64,0,648,0,No
Complete,82,82,974,1,Yes
Complete,67,67,911,0,No
Complete,53,53,836,0,No
Complete,79,79,993,1,Yes
Complete,76,76,914,0,No
Complete,49,49,980,1,No
Complete,86,86,978,1,Yes
Complete,49,0,598,0,No
Complete,54,0,844,0,No
Complete,63,0,947,0,No
NotComplete,78,78,953,0,No
Complete,83,83,938,1,No
Complete,57,0,951,0,No
Complete,66,66,913,0,No
Complete,78,78,919,0,No
Complete,68,0,941,0,No
Complete,61,0,809,0,No
Complete,51,0,907,0,No
Complete,79,79,989,1,Yes
Complete,85,85,979,1,Yes
Complete,65,0,888,0,No
Complete,84,84,982,1,Yes
Complete,82,82,975,1,Yes
NotComplete,69,69,883,0,No
Complete,67,26,647,0,No
Complete,71,0,770,0,No
Complete,78,78,937,0,No
Complete,44,0,824,0,No
Complete,65,0,888,0,No
NotComplete,45,0,657,0,No
Complete,73,73,913,0,No
Complete,63,0,907,0,No
Complete,71,0,958,1,No
NotComplete,52,0,784,0,No
Complete,66,66,885,0,No
Complete,77,77,849,0,No
NotComplete,61,0,881,0,No
Complete,64,0,890,0,No
Complete,76,76,961,1,Yes
Complete,44,0,701,0,No
Complete,59,0,732,0,No
Complete,67,0,947,0,No
Complete,64,64,884,0,No
NotComplete,79,79,890,0,No
Complete,40,0,833,0,No
NotComplete,49,0,741,0,No
Complete,53,0,650,0,No
Complete,46,0,817,0,No
Complete,49,0,865,0,No
Complete,47,0,877,0,No
Complete,60,0,879,0,No
Complete,47,47,898,0,No
Complete,52,0,930,0,No
Complete,65,0,929,0,No
Complete,59,0,900,0,No
Complete,60,0,858,0,No
Complete,47,0,802,0,No
Complete,63,0,934,0,No
NotComplete,48,0,853,0,No
Complete,50,0,917,0,No
Complete,69,69,957,1,No
NotComplete,43,0,926,0,No
Complete,44,0,796,0,No
Complete,51,0,796,0,No
Complete,56,56,877,0,No
Complete,74,74,971,1,Yes
Complete,62,0,957,0,No
NotComplete,52,0,745,0,No
Complete,55,0,901,0,No
Complete,82,0,972,1,Yes
NotComplete,57,0,859,0,No
Complete,62,0,886,0,No
NotComplete,50,27,825,0,No
Complete,54,0,853,0,No
Complete,53,0,618,0,No
Complete,70,0,900,0,No
NotComplete,60,0,918,0,No
Complete,51,0,742,0,No
Complete,80,0,956,1,No
Complete,62,0,800,0,No
Complete,52,0,902,0,No
Complete,64,0,919,0,No
NotComplete,55,0,800,0,No
Complete,55,0,773,0,No
Complete,81,81,961,1,Yes
Complete,57,0,879,0,No
NotComplete,55,55,864,0,No
Complete,67,0,930,0,No
Complete,53,0,615,0,No
Complete,53,0,932,0,No
Complete,48,0,703,0,No
Complete,81,81,975,1,Yes
Complete,61,0,907,0,No
Complete,84,84,980,1,Yes
Complete,35,0,576,0,No
Complete,57,0,814,0,No
NotComplete,52,0,586,0,No
Complete,85,0,868,0,No
Complete,69,69,973,0,No
Complete,58,0,756,0,No
Complete,67,0,964,1,No
Complete,59,59,897,0,No
Complete,59,0,912,0,No
Complete,69,69,930,0,No
Complete,63,0,928,0,No
Complete,72,72,975,1,No
Complete,56,0,691,0,No
Complete,50,0,889,0,No
Complete,45,0,618,0,No
Complete,45,45,804,0,No
Complete,44,0,913,0,No
Complete,58,0,852,0,No
Complete,60,0,892,0,No
NotComplete,0,0,912,0,No
Complete,64,64,873,0,No
Complete,70,70,931,0,No
Complete,52,0,909,0,No
Complete,43,0,729,0,No
Complete,47,0,802,0,No
NotComplete,59,0,916,0,No
Complete,74,74,937,0,No
Complete,84,84,978,0,No
Complete,62,0,874,0,No
Complete,54,54,824,0,No
Complete,80,80,953,1,No
Complete,51,0,862,0,No
NotComplete,43,0,893,0,No
Complete,58,0,880,0,No
Complete,70,0,950,0,No
NotComplete,50,50,878,0,No
Complete,84,84,965,1,Yes
Complete,70,0,935,0,No
Complete,73,73,940,0,No
Complete,60,0,869,0,No
NotComplete,57,0,842,0,No
NotComplete,0,0,0,0,No
Complete,67,67,942,0,No
Complete,48,0,841,0,No
Complete,69,69,939,0,No
Complete,48,0,796,0,No
Complete,29,29,800,0,No
Complete,53,0,705,0,No
NotComplete,0,0,595,0,No
NotComplete,83,83,944,0,No
NotComplete,0,0,849,0,No
Complete,65,0,934,0,No
Complete,66,66,935,0,No
Complete,62,0,689,0,No
Complete,82,82,989,1,Yes
Complete,50,0,849,0,No
Complete,50,0,935,0,No
Complete,80,80,1013,0,No
Complete,53,0,931,0,No
Complete,63,0,901,0,No
Complete,81,0,975,1,Yes
Complete,65,0,814,0,No
Complete,70,0,982,1,Yes
Complete,51,0,755,0,No
Complete,57,0,689,0,No
Complete,72,72,971,1,Yes
Complete,66,0,852,0,No
Complete,64,0,950,0,No
Complete,42,0,755,0,No
Complete,58,0,928,0,No
Complete,58,0,697,1,No
Complete,50,0,752,0,No
Complete,62,0,972,1,No
Complete,51,0,907,0,No
Complete,42,0,757,0,No
Complete,65,0,936,0,No
Complete,85,85,981,1,Yes
NotComplete,51,0,834,0,No
Complete,66,66,970,0,No
NotComplete,55,0,817,0,No
Complete,76,76,979,1,Yes
Complete,55,0,882,0,No
Complete,67,67,959,1,No
Complete,52,0,897,0,No
Complete,60,0,951,0,No
NotComplete,0,0,594,0,No
Complete,64,0,957,0,No
Complete,67,67,940,0,No
NotComplete,64,64,891,0,No
NotComplete,58,0,932,0,No
Complete,49,0,0,0,No
NotComplete,38,0,651,0,No
NotComplete,65,65,913,0,No
Complete,72,72,940,0,No
Complete,49,0,799,0,No
Complete,46,0,770,0,No
Complete,83,83,1005,0,No
Complete,84,84,948,0,No
Complete,58,0,782,0,No
NotComplete,63,0,850,0,No
Complete,67,67,958,1,No
Complete,60,0,955,0,No
Complete,52,0,872,0,No
Complete,81,81,934,0,No
Complete,60,0,836,0,No
Complete,55,0,959,0,No
Complete,75,0,949,1,No
NotComplete,50,0,843,0,No
Complete,32,32,713,0,No
Complete,51,0,842,0,No
Complete,37,0,748,0,No
Complete,47,0,837,0,No
Complete,40,0,817,0,No
Complete,47,41,851,0,No
NotComplete,41,41,834,0,No
Complete,77,77,927,0,No
Complete,75,0,912,0,No
Complete,53,0,795,0,No
Complete,55,0,687,0,No
NotComplete,70,0,958,0,No
Complete,53,53,859,0,No
Complete,71,71,932,0,No
NotComplete,87,87,977,0,No
Complete,74,74,943,1,No
Complete,43,0,790,0,No
Complete,59,59,890,0,No
Complete,45,0,604,0,No
Complete,56,0,780,0,No
NotComplete,59,0,894,0,No
Complete,51,0,893,0,No
Complete,84,84,949,0,No
NotComplete,44,0,844,0,No
Complete,55,0,775,0,No
Complete,49,0,578,0,No
Complete,50,0,925,0,No
Complete,29,29,715,0,No
Complete,57,0,911,0,No
NotComplete,69,69,966,0,No
NotComplete,72,72,970,0,No
Complete,0,0,913,0,No
NotComplete,47,0,804,0,No
Complete,70,70,940,0,No
NotComplete,40,23,715,0,No
Complete,61,61,961,0,No
Complete,60,0,864,0,No
NotComplete,60,60,861,0,No
Complete,44,0,901,0,No
NotComplete,0,0,907,0,No
NotComplete,42,42,912,0,No
Complete,59,0,953,0,No
Complete,45,45,908,0,No
Complete,47,35,916,0,No
Complete,38,0,804,1,No
Complete,79,79,992,0,No
Complete,79,79,970,1,No
NotComplete,0,0,0,0,No
NotComplete,52,0,882,0,No
Complete,55,0,945,0,No
Complete,71,71,948,0,No
Complete,86,86,934,0,No
Complete,44,0,946,0,No
Complete,65,65,953,0,No
Complete,59,59,932,0,No
Complete,75,75,934,0,No
Complete,87,87,983,1,Yes
Complete,82,82,921,0,No
Complete,82,82,969,0,No
Complete,54,0,919,0,No
Complete,72,72,935,0,No
Complete,82,82,950,0,No
Complete,48,0,924,0,No
Complete,54,0,891,0,No
Complete,37,0,702,0,No
Complete,78,78,945,0,No
Complete,62,0,887,0,No
Complete,76,76,961,0,No
NotComplete,53,53,919,0,No
Complete,82,82,965,0,No
Complete,57,57,936,0,No
Complete,67,67,917,0,No
Complete,60,0,914,0,No
Complete,86,86,941,0,No
Complete,81,81,941,0,No
NotComplete,60,60,930,0,No
Complete,78,78,927,0,No
Complete,0,0,902,0,No
Complete,23,23,722,0,No
Complete,69,69,969,0,No
Complete,0,0,961,0,No
Complete,50,50,907,0,No
Complete,87,87,963,0,No
Complete,62,62,914,0,No
Complete,67,67,931,0,No
Complete,84,84,937,0,No
Complete,38,29,858,0,No
NotComplete,52,52,945,0,No
Complete,67,63,957,0,No
NotComplete,77,0,940,0,No
Complete,50,0,932,0,No
Complete,55,55,950,0,No
Complete,72,72,932,0,No
Complete,56,56,936,0,No
Complete,68,68,940,0,No
NotComplete,68,68,954,0,No
Complete,55,55,967,0,No
Complete,80,80,951,0,No
Complete,68,68,951,0,No
NotComplete,42,0,910,0,No
Complete,52,0,756,1,No
Complete,46,46,919,0,No
Complete,87,87,973,1,No
Complete,48,48,956,0,No
Complete,41,41,902,0,No
Complete,51,0,928,0,No
Complete,63,0,884,0,No
Complete,50,0,913,0,No
Complete,30,0,836,0,No
Complete,65,65,961,0,No
Complete,49,49,934,0,No
Complete,61,61,942,0,No
Complete,41,41,902,0,No
NotComplete,57,0,947,0,No
Complete,62,62,933,0,No
Complete,66,20,814,0,No
Complete,46,46,941,0,No
Complete,32,0,839,0,No
Complete,64,64,950,0,No
Complete,78,78,981,0,No
Complete,59,59,933,0,No
Complete,54,0,891,0,No
Complete,49,0,933,0,No
Complete,52,0,899,0,No
Complete,40,0,780,0,No
Complete,59,0,889,0,No
Complete,44,0,856,0,No
Complete,45,45,931,0,No
Complete,38,38,804,0,No
NotComplete,51,0,890,0,No
NotComplete,54,0,850,0,No
Complete,57,0,933,0,No
Complete,80,80,969,1,Yes
Complete,52,47,923,0,No
Complete,50,0,924,0,No
Complete,52,35,832,0,No
Complete,42,0,869,0,No
Complete,46,45,810,1,No
Complete,41,41,926,0,No
Complete,58,58,875,0,No
Complete,56,0,951,0,No
Complete,74,0,866,0,No
Complete,47,0,906,0,No
NotComplete,0,0,756,0,No
Complete,52,0,828,1,No
Complete,59,59,885,0,No
Complete,83,83,956,0,No
Complete,58,0,957,0,No
Complete,75,75,952,0,No
NotComplete,52,0,875,0,No
Complete,64,0,927,0,No
NotComplete,55,55,830,0,No
NotComplete,64,64,899,0,No
Complete,61,61,936,0,No
Complete,81,81,949,0,No
NotComplete,47,0,927,0,No
NotComplete,49,0,744,0,No
Complete,49,49,945,0,No
NotComplete,0,0,887,0,No
Complete,34,0,937,0,No
Complete,78,78,990,1,Yes
NotComplete,84,84,933,0,No
Complete,50,0,957,0,No
Complete,82,82,957,0,No
Complete,82,82,963,1,Yes
Complete,64,0,908,0,No
Complete,64,64,953,0,No
Complete,70,70,959,0,No
NotComplete,84,84,974,0,No
NotComplete,0,0,960,0,No
Complete,72,72,960,1,No
Complete,73,73,948,0,No
NotComplete,44,0,920,0,No
NotComplete,64,64,956,0,No
Complete,44,0,915,0,No
Complete,67,67,962,0,No
Complete,54,0,955,0,No
Complete,63,0,945,0,No
Complete,50,0,853,0,No
Complete,43,0,606,0,No
NotComplete,85,85,949,0,No
Complete,62,0,937,0,No
Complete,44,0,871,0,No
NotComplete,84,84,985,0,No
Complete,48,0,881,0,No
Complete,58,58,943,0,No
Complete,79,79,977,0,No
Complete,58,58,882,0,No
NotComplete,87,87,951,0,No
Complete,53,0,760,1,No
Complete,49,0,922,0,No
NotComplete,0,0,871,0,No
NotComplete,72,0,931,0,No
NotComplete,77,77,927,0,No
Complete,59,0,822,0,No
Complete,46,0,931,0,No
Complete,0,0,789,0,No
Complete,65,0,880,0,No
NotComplete,56,0,740,0,No
Complete,59,0,899,0,No
Complete,75,75,886,0,No
Complete,48,48,932,0,No
Complete,48,0,935,0,No
NotComplete,47,0,877,0,No
Complete,57,54,973,0,No
Complete,47,0,886,0,No
Complete,76,76,931,0,No
Complete,82,82,954,0,No
Complete,45,45,905,0,No
NotComplete,54,0,769,0,No
Complete,76,76,917,0,No
NotComplete,47,0,856,0,No
NotComplete,54,0,848,0,No
Complete,50,0,705,0,No
Complete,62,0,948,0,No
Complete,57,0,805,0,No
NotComplete,74,74,945,0,No
Complete,63,63,889,0,No
Complete,53,0,860,0,No
Complete,80,73,931,0,No
Complete,48,0,954,0,No
Complete,57,0,880,0,No
NotComplete,43,43,923,0,No
Complete,79,79,969,0,No
NotComplete,80,80,917,0,No
Complete,76,76,958,0,No
NotComplete,53,52,938,0,No
NotComplete,51,51,849,0,No
NotComplete,69,69,925,0,No
Complete,75,75,958,0,No
NotComplete,50,0,903,0,No
Complete,85,85,953,1,Yes
Complete,48,0,779,0,No
Complete,59,59,926,1,No
NotComplete,60,54,845,0,No
NotComplete,79,79,935,0,No
NotComplete,53,0,717,0,No
Complete,64,0,794,0,No
Complete,74,74,976,1,No
Complete,48,48,940,0,No
Complete,61,0,909,0,No
Complete,62,0,878,0,No
Complete,52,52,892,0,No
Complete,50,0,903,0,No
Complete,50,50,902,0,No
Complete,51,0,907,0,No
Complete,59,59,913,0,No
Complete,43,0,882,0,No
Complete,51,0,875,0,No
Complete,54,0,922,0,No
Complete,79,79,926,0,No
Complete,73,73,920,0,No
NotComplete,70,70,944,0,No
NotComplete,46,0,689,0,No
Complete,52,0,803,0,No
Complete,51,51,842,0,No
Complete,59,0,876,0,No
Complete,53,53,901,0,No
NotComplete,63,0,941,0,No
Complete,65,65,893,0,No
Complete,61,61,912,0,No
Complete,44,0,836,0,No
Complete,57,0,905,0,No
Complete,49,0,808,0,No
Complete,52,0,873,0,No
NotComplete,63,63,940,0,No
Complete,39,35,840,0,No
NotComplete,50,0,929,0,No
NotComplete,60,0,940,0,No
Complete,52,0,834,0,No
Complete,54,0,896,0,No
Complete,60,0,683,0,No
Complete,74,74,864,0,No
Complete,59,59,884,0,No
NotComplete,57,0,921,0,No
Complete,43,0,872,0,No
NotComplete,52,0,787,0,No
Complete,58,0,771,0,No
Complete,46,0,918,0,No
Complete,50,0,856,0,No
Complete,63,63,951,0,No
Complete,62,0,905,0,No
Complete,69,69,926,0,No
NotComplete,76,76,909,0,No
Complete,68,0,992,1,Yes
Complete,52,0,939,0,No
Complete,59,59,890,1,No
Complete,62,0,938,0,No
Complete,42,0,779,0,No
Complete,34,0,765,0,No
Complete,53,0,945,0,No
Complete,57,0,982,0,No
Complete,69,69,904,0,No
Complete,63,60,947,0,No
Complete,63,0,937,0,No
Complete,56,0,851,0,No
Complete,56,0,662,0,No
Complete,85,85,975,1,Yes
Complete,86,86,972,1,Yes
NotComplete,53,0,707,0,No
Complete,42,0,878,0,No
Complete,44,0,834,0,No
Complete,55,0,823,0,No
NotComplete,53,0,774,0,No
Complete,44,0,750,0,No
Complete,49,0,823,0,No
Complete,63,0,889,0,No
Complete,62,0,946,0,No
Complete,65,0,891,0,No
Complete,50,0,787,0,No
Complete,71,0,958,0,No
Complete,67,67,960,0,No
Complete,82,82,1007,1,Yes
Complete,40,0,603,0,No
Complete,54,0,933,0,No
NotComplete,42,0,604,0,No
Complete,47,0,864,0,No
Complete,54,0,916,0,No
Complete,49,0,879,0,No
Complete,60,0,831,0,No
Complete,53,0,919,0,No
Complete,54,0,936,0,No
Complete,74,0,909,0,No
Complete,68,68,946,0,No
Complete,72,72,973,1,No
Complete,79,79,987,1,Yes
Complete,52,0,793,0,No
Complete,78,0,943,0,No
Complete,51,0,727,1,No
Complete,69,0,833,0,No
Complete,49,0,752,0,No
Complete,68,0,942,0,No
Complete,56,0,837,0,No
Complete,56,0,881,0,No
NotComplete,48,0,816,0,No
NotComplete,79,79,939,0,No
Complete,63,0,928,0,No
Complete,74,74,961,0,No
Complete,44,0,803,0,No
Complete,54,54,921,0,No
NotComplete,42,0,930,0,No
Complete,81,81,961,0,No
NotComplete,48,0,935,0,No
Complete,50,45,876,0,No
NotComplete,44,0,652,0,No
Complete,53,0,934,0,No
Complete,32,0,752,0,No
Complete,60,0,915,0,No
Complete,76,0,932,0,No
Complete,51,0,857,0,No
Complete,58,58,912,0,No
Complete,55,55,814,0,No
Complete,58,0,892,0,No
Complete,81,81,946,0,No
Complete,78,78,962,0,No
Complete,56,0,912,0,No
Complete,43,0,614,0,No
NotComplete,45,0,737,0,No
Complete,45,0,760,0,No
Complete,81,0,984,1,Yes
Complete,74,0,926,0,No
NotComplete,80,80,985,0,No
NotComplete,88,0,893,0,No
Complete,63,63,864,0,No
Complete,52,0,937,0,No
Complete,64,0,863,0,No
Complete,72,72,928,0,No
Complete,58,0,846,0,No
Complete,63,0,927,0,No
Complete,37,37,859,0,No
Complete,46,0,841,0,No
Complete,55,0,898,0,No
Complete,46,46,912,0,No
Complete,77,77,938,0,No
Complete,21,0,644,0,No
Complete,54,0,831,0,No
NotComplete,72,72,922,0,No
Complete,57,0,651,0,No
Complete,73,0,911,0,No
Complete,62,62,995,0,No
Complete,55,0,841,0,No
NotComplete,67,0,887,0,No
Complete,69,0,947,0,No
Complete,63,0,987,0,No
Complete,59,0,929,0,No
Complete,0,0,808,0,No
Complete,56,0,821,0,No
Complete,84,84,943,0,No
Complete,68,67,936,0,No
Complete,55,55,948,0,No
Complete,0,0,890,0,No
NotComplete,54,0,840,0,No
NotComplete,47,22,841,0,No
Complete,70,70,883,0,No
Complete,48,48,914,0,No
NotComplete,52,0,863,0,No
Complete,45,0,755,0,No
Complete,55,0,971,0,No
Complete,58,58,903,0,No
Complete,71,71,924,0,No
Complete,56,56,924,0,No
Complete,34,34,885,0,No
Complete,75,75,939,0,No
Complete,81,81,942,0,No
Complete,0,0,0,0,No
Complete,83,83,958,1,Yes
Complete,69,69,924,0,No
Complete,53,0,864,0,No
Complete,52,0,908,0,No
Complete,86,86,957,0,No
Complete,53,0,557,0,No
Complete,0,0,696,0,No
Complete,59,53,893,0,No
Complete,0,0,770,0,No
Complete,71,71,957,0,No
Complete,53,50,929,0,No
Complete,75,75,931,0,No
Complete,57,0,795,0,No
NotComplete,62,62,916,0,No
Complete,78,78,953,0,No
Complete,78,78,950,0,No
Complete,71,71,953,0,No
Complete,84,70,947,0,No
Complete,52,0,842,0,No
Complete,57,57,897,0,No
Complete,53,0,917,0,No
Complete,53,0,839,0,No
Complete,51,0,882,0,No
NotComplete,54,0,777,0,No
Complete,77,77,913,0,No
Complete,65,0,974,0,No
NotComplete,86,86,946,0,No
NotComplete,58,0,925,0,No
Complete,57,0,824,0,No
Complete,45,0,823,0,No
Complete,84,84,992,1,Yes
Complete,59,0,936,0,No
Complete,41,0,885,0,No
NotComplete,44,0,862,0,No
Complete,77,77,947,0,No
Complete,72,72,920,0,No
Complete,49,0,765,0,No
Complete,81,81,991,1,Yes
Complete,67,0,833,0,No
Complete,58,0,931,0,No
Complete,73,73,951,0,No
Complete,62,0,918,0,No
Complete,67,67,943,0,No
NotComplete,69,0,866,0,No
Complete,68,0,951,0,No
Complete,57,0,763,0,No
Complete,42,42,895,0,No
Complete,42,0,776,0,No
Complete,63,0,935,0,No
NotComplete,38,0,854,0,No
Complete,74,0,930,0,No
NotComplete,69,69,986,0,No
Complete,41,38,870,0,No
NotComplete,31,0,893,0,No
NotComplete,67,67,954,0,No
Complete,52,0,956,0,No
NotComplete,0,0,718,0,No
NotComplete,72,72,943,0,No
Complete,50,0,795,0,No
Complete,52,0,780,0,No
Complete,37,0,803,0,No
Complete,70,70,911,0,No
Complete,50,50,916,1,No
NotComplete,83,83,957,0,No
Complete,65,65,923,0,No
NotComplete,0,0,881,0,No
NotComplete,0,0,836,0,No
NotComplete,0,0,850,0,No
NotComplete,80,0,914,0,No
Complete,55,0,839,0,No
Complete,50,50,854,0,No
Complete,54,0,871,0,No
Complete,63,0,858,0,No
Complete,63,0,905,0,No
Complete,39,0,517,0,No
Complete,82,82,937,1,No
Complete,50,0,946,0,No
Complete,54,0,902,1,No
Complete,59,0,854,0,No
NotComplete,79,79,976,0,No
Complete,50,0,879,0,No
Complete,50,0,824,1,No
Complete,50,50,895,0,No
NotComplete,60,0,684,0,No
